Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
CODEC;ASF;Apache Commons Committee;library;CODEC-76;Major;Closed;al0;;;changes:2 report:2 http:2 apache:2 links:1 fixed:1 bugs:1 commons:1 html:1 point:1 nowhere:1 e:1 g:1 issues:1 browse:1 looks:1 tickets:1;changes:2 report:2 http:2 apache:2 links:1 fixed:1 bugs:1 commons:1 html:1 point:1 nowhere:1 e:1 g:1 issues:1 browse:1 looks:1 tickets:1;migrated:2 old:2 numbers:2 tickets:2 fixed:2 later:2 bug:1 system:1 documents:1 bit:1 sooner:1 expected:1 ids:1 gone:1 changes:1 file:1 next:1 time:1 site:1 published:1 ie:1 forthcoming:1 release:1;2009-05-27T07:47:17.000+0000;2009-07-16T03:45:57.000+0000;;1.4 1.3 1.2 1.1;1.4;3;2009-07-13T22:41:24.281+0000;2009-07-16T03:45:57.229+0000;0;0;;;0;;;;
CODEC;ASF;Apache Commons Committee;library;CODEC-77;Major;Closed;juliusdavies;;;bug:1 empty:1 input:1 new:1 byte:1;byte:2 encode:1 new:1 return:1 empty:1 array:1 back:1 returns:1;empty:2 byte:2 array:2 fix:1 including:1 also:1 fixed:1 two:1 minor:1 naming:1 glitches:1 note:1 properly:1 encodes:1 regression:1 trunk:1 caused:1 patch:1 submitted:1 committed:1;2009-07-13T21:38:09.000+0000;2009-07-13T22:36:13.000+0000;;Nightly Builds;1.4;3;2009-07-13T21:40:27.961+0000;2009-07-13T22:36:13.726+0000;0;1;2009-07-13T21:40:27.958+0000;2009-07-13T21:40:27.958+0000;1;2009-07-13T21:40:27.958+0000;2009-07-13T21:40:27.958+0000;;
CODEC;ASF;Apache Commons Committee;library;CODEC-80;Major;Closed;juliusdavies;;;regression:1 encode:1 chunk:1 true:1 bug:1 input:1 length:1 multiple:1;regression:1 encode:1 chunk:1 true:1 bug:1 input:1 length:1 multiple:1 resulting:1 array:1 correct:1 except:1 two:1 extra:1 bytes:1 appended:1 end:1;patch:3 two:1 patches:1 attached:1 make:1 fail:1 fix:1 committed:1 small:1 changes:1 thank:1;2009-07-23T05:50:06.000+0000;2009-07-24T00:43:18.000+0000;;1.4;1.4;2;2009-07-23T06:06:58.002+0000;2009-07-24T00:43:18.093+0000;0;2;2009-07-23T06:06:57.958+0000;2009-07-23T06:06:57.998+0000;2;2009-07-23T06:06:57.958+0000;2009-07-23T06:06:57.998+0000;;
CODEC;ASF;Apache Commons Committee;library;CODEC-81;Trivial;Closed;juliusdavies;;;new:1 constructor:1 parameters:1 ignored:1;new:1 constructor:1 parameters:1 ignored:1 e:1 g:1 using:1 interface:1;patch:7 fix:3 two:2 bug:2 string:2 methods:2 patches:1 attached:1 highlights:1 fixes:1 tiny:1 bit:1 code:1 cleanup:1 anticipating:1 next:1 attempt:1 particular:1 hopefully:1 become:1 valid:1 object:1 type:1 decode:1 moves:1 logic:1 main:1 public:1 static:1 member:1 instead:1 line:1 replace:1 url:1 safe:1 padding:1 uses:1 java:1 yet:1 moved:1 please:1 thank:1 whoops:1 previous:1 compatible:1 sorry:1 applied:1;2009-07-26T22:25:58.000+0000;2009-07-28T06:06:11.000+0000;;Nightly Builds;1.4;5;2009-07-26T22:32:54.520+0000;2009-07-28T06:06:10.978+0000;0;2;2009-07-26T22:32:54.517+0000;2009-07-27T18:42:10.711+0000;2;2009-07-26T22:32:54.517+0000;2009-07-27T18:42:10.711+0000;;
CODEC;ASF;Apache Commons Committee;library;CODEC-84;Minor;Closed;niallp;;;double:1 bugs:1 alternative:1 encoding:1;method:8 alternative:7 encoding:7 results:4 rather:4 bug:3 problem:3 caused:2 wrong:2 instead:2 used:2 contains:2 l:2 position:2 new:1 test:1 case:1 highlighted:1 number:1 issues:1 double:1 implementation:1 g:1 followed:1 ier:1 length:1 first:1 thing:1 append:1 primary:1 returns:1 true:1 appended:1 suggest:1 words:1 ending:1 os:1 start:1 means:1 checking:1 last:1 two:1 characters:1 word:1 checks:1 previous:1 current:1 attach:1 patch:1 review:1;;2009-08-02T00:09:31.000+0000;2009-08-03T00:38:21.000+0000;;1.3;1.4;0;;;0;1;2009-08-02T00:22:17.166+0000;2009-08-02T00:22:17.166+0000;1;2009-08-02T00:22:17.166+0000;2009-08-02T00:22:17.166+0000;;
CODEC;ASF;Apache Commons Committee;library;CODEC-87;Major;Closed;salamander;;;checksum:1 calculated:1 correctly:1 platforms:1;hash:4 calculated:3 behaviour:2 class:2 hashes:2 used:2 think:2 windows:2 byte:2 hex:2 produces:2 actual:1 calculates:1 different:1 depending:1 sles:1 bit:1 testing:1 effect:1 depends:1 calculation:1 correctly:1 correct:1 one:1 checked:1 using:1 library:1 calculating:1 tested:1 libraries:1 internally:1 make:1 use:1 java:1 security:1 differ:1 way:1 transformed:1 string:1 problem:1 located:1 method:1 expected:1 depend:1 platform:1 equal:1 platforms:1 system:1 instruction:1 enterprise:1 linux:1;windows:7 using:6 test:6 linux:6 jar:5 correct:4 encoding:4 string:4 file:4 get:3 java:3 results:3 result:3 please:3 still:3 think:3 problem:3 character:3 ascii:3 like:3 provided:3 right:3 however:3 able:3 digest:2 confirmed:2 case:2 default:2 created:2 following:2 class:2 echo:2 n:2 first:2 unix:2 provide:2 issue:2 problematic:2 behaviour:2 one:2 correctly:2 reproduce:2 use:2 source:2 show:2 stable:2 try:2 see:2 shell:2 may:2 creating:2 checksum:2 actually:1 sure:1 used:1 systems:1 os:1 x:1 commons:1 obtained:1 notice:1 came:1 command:1 details:1 surprised:1 lower:1 characters:1 place:1 better:1 suited:1 catch:1 sorry:1 guessed:1 entirely:1 shows:1 calculated:1 platforms:1 hash:1 odd:1 talking:1 code:1 attached:1 contains:1 classes:1 needed:1 execution:1 start:1 ok:1 made:1 extension:1 print:1 involved:1 enterprise:1 thanks:1 might:1 useful:1 portable:1 relying:1 private:1 sun:1 property:1 version:1 based:1 includes:1 indeed:1 look:1 tests:1 looks:1 fixed:1 yes:1 thank:1 responding:1 fast:1 requests:1 bothers:1 produces:1 maybe:1 check:1 alternative:1 platform:1 suspect:1 handling:1 conversion:1 e:1 seeing:1 assume:1 unlikely:1 incorrect:1 containing:1 special:1 behaves:1 different:1 hosts:1 little:1 bit:1 trying:1 around:1 utility:1 guessing:1 responsible:1 effect:1 editor:1 bad:1 idea:1 also:1 checked:1;2009-09-11T12:37:00.000+0000;2009-09-14T14:33:28.000+0000;;1.4 1.3;;14;2009-09-11T13:53:01.467+0000;2009-09-14T12:41:29.329+0000;0;2;2009-09-14T08:16:57.931+0000;2009-09-14T09:34:14.197+0000;0;;;;
CODEC;ASF;Apache Commons Committee;library;CODEC-89;Major;Closed;juliusdavies;;;new:1 encode:1 appends:1 chunks:1 results:1 character:1 lines:1;encode:3 method:3 commons:3 instance:2 output:2 java:2 jar:2 e:1 g:1 new:1 appends:1 actually:1 fully:1 chunking:1 character:1 lines:1 static:1 behaves:1 problem:1 affects:1;new:10 patch:8 behavior:8 change:8 behaviour:8 note:6 string:6 tests:5 commons:5 see:5 code:5 null:5 work:5 n:5 back:4 seems:4 call:4 release:4 encode:4 system:4 also:3 changed:3 output:3 like:3 fix:3 think:3 looks:3 use:3 boolean:3 second:3 public:3 still:3 encoding:3 line:3 constructor:3 problem:2 method:2 two:2 current:2 documented:2 go:2 asking:2 switching:2 twice:2 community:2 issue:2 list:2 people:2 version:2 ok:2 changes:2 byte:2 constructors:2 instead:2 developer:2 dependency:2 encrypted:2 users:2 daniel:2 signpost:2 right:2 r:2 attached:1 fixes:1 introduces:1 avoid:1 future:1 introduced:1 longer:1 chunks:1 lines:1 adjusted:1 reflect:1 pickle:1 released:1 different:1 sites:1 lot:1 thinks:1 put:1 b:1 either:1 case:1 clients:1 forth:1 painful:1 want:1 post:1 ask:1 feedback:1 good:1 prefer:1 old:1 spirit:1 minor:1 bump:1 interface:1 definitely:1 feels:1 regression:1 tempted:1 apply:1 distributed:1 fedora:1 linux:1 maintainer:1 anywhere:1 compatibility:1 section:1 notes:1 awesome:1 dated:1 pm:1 except:1 odd:1 provide:1 chunking:1 better:1 make:1 corresponding:1 benefit:1 accidental:1 trigger:1 outside:1 accesses:1 thoughts:1 actually:1 need:1 therefore:1 simplest:1 calls:1 false:1 follow:1 minimal:1 revert:1 clearly:1 inadequate:1 fact:1 even:1 io:1 stream:1 files:1 patched:1 lead:1 http:1 www:1 uses:1 wonderful:1 library:1 default:1 importance:1 vote:1 makes:1 difference:1 please:1 asap:1 breaking:1 texts:1 many:1 allowing:1 date:1 forced:1 remove:1 bug:1 solved:1 soon:1 thanks:1 project:1 complaining:1 breaks:1 cc:1 worked:1 fine:1 already:1 trim:1 methods:1 apparently:1 enough:1 reporting:1 issues:1 disappear:1 goes:1 approach:1 rather:1 thing:1 inferring:1 agreed:1 quote:1 framework:1 present:1 non:1 empty:1 seem:1 address:1 trying:1 say:1 construct:1 specifying:1 ignored:1 example:1 true:1 sequence:1 ends:1 get:1 split:1 specified:1 double:1 check:1 using:1 larger:1 believe:1 least:1 blame:1 lies:1 java:1 request:1 chunked:1 overrides:1 parameters:1 passed:1 misunderstanding:1 supposed:1 apologies:1 calling:1 static:1 instanced:1 class:1 another:1 user:1 impacted:1 around:1 great:1 done:1 pick:1;2009-10-28T06:15:12.000+0000;2010-03-27T00:05:31.000+0000;;1.4;1.5;17;2009-10-28T16:52:29.992+0000;2011-01-09T11:14:50.021+0000;0;2;2009-10-28T16:52:29.988+0000;2009-12-03T01:42:49.977+0000;2;2009-10-28T16:52:29.988+0000;2009-12-03T01:42:49.977+0000;Duplicate:CODEC-97;
CODEC;ASF;Apache Commons Committee;library;CODEC-92;Minor;Closed;sebb;;;many:1 test:1 cases:1 use:1 uses:1 default:1 platform:1 encoding:1 tests:1 may:1 fail:1 platforms:1;use:4 e:3 bytes:2 encoding:2 tests:2 g:2 l:2 many:1 test:1 cases:1 new:1 string:1 byte:1 default:1 platform:1 may:1 fail:1 platforms:1 either:1 known:1 directly:1 h:1 instead:1 hello:1 seem:1 examples:1 method:1 calls:1 main:1 code:1 priority:1 set:1 minor:1;calls:1 seems:1 addressed:1 back:1;2009-12-02T19:30:47.000+0000;2011-01-22T15:43:55.000+0000;;1.4;1.5;1;2011-01-22T15:43:55.779+0000;2011-01-22T15:43:55.779+0000;0;0;;;0;;;;
CODEC;ASF;Apache Commons Committee;library;CODEC-96;Major;Closed;mjryall;;;encode:1 method:1 longer:1 thread:1 safe:1 breaking:1 clients:1 using:1 shared:1;commons:5 thread:3 safe:3 java:3 instance:2 longer:2 used:2 shared:2 like:2 code:2 apache:2 binary:2 encode:2 streaming:1 support:1 added:1 introduced:1 variables:1 means:1 class:1 example:1 interface:1 accessed:1 multiple:1 threads:1 throw:1 application:1 looking:1 implementation:1 think:1 making:1 kind:1 usage:1 quite:1 tricky:1 attempted:1 prepare:1 patch:1 happy:1 indicated:1 however:1 users:1 might:1 worried:1 regression:1;patch:25 thread:14 issue:11 methods:9 like:9 new:7 instance:6 class:6 safety:6 safe:6 fields:6 context:6 code:5 see:5 document:5 way:5 commons:5 classes:5 protected:5 mark:5 reset:5 problem:4 create:4 use:4 think:4 attempt:4 looks:4 test:4 used:4 stream:4 package:4 codex:4 e:3 old:3 static:3 good:3 3rd:3 public:3 apache:3 resolve:3 need:3 mutable:3 private:3 underlying:3 separate:3 apply:3 example:2 course:2 creating:2 byte:2 data:2 try:2 agree:2 note:2 maintain:2 attached:2 usage:2 got:2 calls:2 go:2 encoding:2 one:2 another:2 particular:2 report:2 call:2 java:2 already:2 happy:2 important:2 base:2 original:2 someone:2 possible:2 really:2 member:2 never:2 implemented:2 nothing:2 addresses:2 aspects:2 quote:2 errors:2 breakage:2 must:1 cheap:1 return:1 encode:1 catch:1 throw:1 documented:1 even:1 thought:1 submitted:1 thanks:1 construct:1 object:1 makes:1 decoder:1 interfaces:1 2nd:1 little:1 cleaner:1 work:1 unfortunately:1 environment:1 removed:1 style:1 replaced:1 add:1 unit:1 hooks:1 process:1 allow:1 stop:1 kicks:1 leave:1 discretion:1 kind:1 worth:1 pursuing:1 excuse:1 close:1 ridiculous:1 first:1 quite:1 time:1 reasonable:1 fact:1 instead:1 constructing:1 always:1 internally:1 much:1 implementation:1 reference:1 link:1 http:1 proper:1 tags:1 binary:1 view:1 markup:1 simply:1 documenting:1 resolving:1 contains:1 additionally:1 access:1 functionality:1 instances:1 also:1 propose:1 resolved:1 saying:1 thing:1 arguably:1 require:1 state:1 across:1 method:1 maintainers:1 response:1 comment:1 main:1 threaded:1 applications:1 upgrading:1 broke:1 non:1 obvious:1 despite:1 reporter:1 necessary:1 power:1 facts:1 assignee:1 ready:1 os:1 might:1 move:1 lower:1 level:1 back:1 streaming:1 ones:1 actually:1 compatible:1 yet:1 know:1 give:1 next:1 week:1 prototype:1 passes:1 tests:1 basically:1 put:1 created:1 appropriate:1 allows:1 immutable:1 reports:1 several:1 incompatibilities:1 moved:1 however:1 intended:1 external:1 unlikely:1 cause:1 problems:1 change:1 except:1 overriding:1 testing:1 sign:1 attachment:1 follow:1 reviewed:1 general:1 minor:1 things:1 noticed:1 may:1 opt:1 supporting:1 returns:1 false:1 throws:1 support:1 depends:1 supported:1 saves:1 marks:1 restores:1 resets:1 thomas:1 sorry:1 bit:1 debug:1 left:1 probably:1 amended:1 supersedes:1 true:1 realised:1 reviewing:1 fix:1 together:1 applies:1 cleanly:1 trunk:1 provide:1 definitive:1 push:1 seems:1 last:1 skip:1 thank:1 gary:1 ignored:1 latest:1 mentioned:1 list:1 causes:1 harmless:1 affect:1 far:1 tell:1 earnest:1 ok:1 applying:1 locally:1 normal:1 users:1 affected:1 advanced:1 scheme:1 sure:1 user:1 story:1 though:1 according:1 break:1 made:1 choices:1 n:1 unsafe:1 thoughts:1 post:1 ml:1 better:1 discussion:1 released:1 today:1;2010-02-26T04:59:01.000+0000;2012-04-03T17:25:22.000+0000;;1.4;1.7;24;2010-02-26T08:38:08.919+0000;2012-09-14T20:27:20.757+0000;0;3;2010-03-30T18:04:42.922+0000;2012-03-28T17:23:29.990+0000;3;2010-03-30T18:04:42.922+0000;2012-03-28T17:23:29.990+0000;;"Reference:CODEC-97
Reference:CODEC-69"
CODEC;ASF;Apache Commons Committee;library;CODEC-97;Major;Closed;mjryall;;;default:1 constructor:1 behaviour:1 changed:1 enable:1 chunking:1;commons:3 test:2 returns:2 behaviour:2 trunk:2 following:1 passes:1 fails:1 r:1 n:1 understand:1 want:1 close:1 fix:1 documented:1 constructor:1 even:1 present:1 however:1 still:1 far:1 tell:1 good:1 add:1 one:1 change:1 future:1 attach:1 patch:1 apply:1;tests:2 test:2 encoding:2 think:1 duplicates:1 needs:1 unit:1 thanks:1 provided:1 applied:1 patch:1 minor:1 change:1 used:1 avoid:1 possible:1 problems:1 different:1 may:1 want:1 update:1 file:1 also:1 call:1 drew:1 inspiration:1 see:1 example:1 new:1;2010-02-26T05:15:35.000+0000;2010-03-27T00:15:49.000+0000;;1.4;1.5;3;2010-02-26T16:43:14.092+0000;2010-03-29T01:13:43.524+0000;0;1;2010-02-26T05:16:05.816+0000;2010-02-26T05:16:05.816+0000;1;2010-02-26T05:16:05.816+0000;2010-02-26T05:16:05.816+0000;Reference:CODEC-96;Duplicate:CODEC-89
