Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-310;Minor;Closed;chsemrau;;List;modifications:1 invalidate:1 parent:1 list:1;list:22 hello:15 world:10 add:10 new:9 element:8 fails:7 parent:6 arrays:6 object:6 set:4 goodbye:4 public:3 void:3 decorate:3 returned:2 contained:2 happen:2 old:2 removed:2 contract:1 says:1 supports:1 operations:1 backed:1 equal:1 get:1 containing:1 last:1 behave:1 like:1 meaning:1 changes:1 position:1 place:1 gets:1 equals:1 added:1 already:1 thereby:1 violating:1 ness:1 prefer:1 former:1 behaviour:1 modifications:1 made:1 explained:1 replace:1 using:1 instead:1 adding:1 contain:1 duplicate:1 course:1 know:1 happens:1 specifically:1 uniqueness:1 current:1 snapshot:1 contains:1;list:44 new:16 behavior:14 method:14 issue:12 backing:12 class:11 element:11 first:11 set:11 implementation:10 parent:10 example:9 adding:9 solution:9 range:9 e:9 offset:9 value:9 may:8 underlying:8 g:8 tests:7 java:7 position:7 comment:7 variant:7 exists:6 create:6 f:6 test:5 return:5 already:5 contract:5 also:5 elements:5 reference:5 think:5 hi:5 thomas:5 modifications:5 contains:5 result:5 based:5 index:5 patch:5 fails:4 implemented:4 add:4 specified:4 added:4 internal:4 remove:4 understand:4 current:4 problem:4 two:4 outside:4 subset:4 returned:4 change:4 functionality:4 existing:4 c:4 h:4 seems:3 false:3 still:3 clear:3 semantics:3 possibly:3 removing:3 way:3 many:3 use:3 agree:3 keep:3 right:3 moving:3 item:3 move:3 offsets:3 solve:3 modified:3 calling:3 means:3 attempt:3 holds:3 according:3 effort:3 instead:2 must:2 maybe:2 different:2 stated:2 well:2 violation:2 states:2 violates:2 removed:2 invocation:2 algorithm:2 lists:2 probably:2 concerning:2 makes:2 cases:2 took:2 time:2 suggest:2 personally:2 code:2 coding:2 good:2 decorator:2 general:2 statement:2 see:2 wonder:2 prefer:2 write:2 look:2 returns:2 changes:2 somewhere:2 another:2 created:2 second:2 quote:2 results:2 fact:2 uniqueness:2 inner:2 support:2 required:2 functions:2 possible:2 solutions:2 following:2 corresponding:2 necessary:2 provided:2 sure:2 decorated:2 creates:2 values:2 provide:2 b:2 j:2 every:2 maintains:2 2nd:2 side:2 make:2 view:2 thanks:2 contained:2 thus:2 christian:2 like:2 simple:2 unmodifiable:2 properties:1 currently:1 tested:1 bulk:1 disabled:1 managed:1 enable:1 using:1 copy:1 disables:1 outer:1 one:1 subject:1 adhere:1 name:1 interface:1 implies:1 true:1 several:1 methods:1 violate:1 state:1 furthermore:1 enough:1 imagine:1 generic:1 sort:1 moves:1 old:1 opinion:1 solved:1 expectable:1 user:1 providing:1 work:1 sometimes:1 describing:1 strange:1 throw:1 consider:1 whole:1 developers:1 apache:1 commons:1 classes:1 concrete:1 problems:1 pattern:1 addition:1 substitution:1 principle:1 better:1 described:1 comments:1 observation:1 looking:1 fail:1 happen:1 case:1 describe:1 explicitly:1 call:1 related:1 previous:1 used:1 lot:1 care:1 know:1 exactly:1 convincing:1 either:1 improve:1 limitations:1 never:1 fully:1 resolved:1 tired:1 sorting:1 nonsense:1 please:1 ignore:1 try:1 additions:1 clarify:1 deeper:1 suggested:1 tried:1 issues:1 regarding:1 items:1 delegated:1 default:1 entry:1 defined:1 corrupt:1 easy:1 holding:1 maintain:1 collections:1 sets:1 similar:1 direct:1 modification:1 supported:1 become:1 undefined:1 structurally:1 structural:1 size:1 otherwise:1 perturb:1 fashion:1 iterations:1 progress:1 yield:1 incorrect:1 track:1 adjust:1 accordingly:1 duplicate:1 front:1 decrement:1 wrote:1 short:1 perhaps:1 independent:1 filled:1 comes:1 check:1 delegate:1 calls:1 properly:1 adjusting:1 arguments:1 calculate:1 real:1 order:1 maintained:1 validated:1 trying:1 conforms:1 checking:1 posts:1 next:1 days:1 realized:1 supports:1 needs:1 start:1 iteration:1 later:1 correct:1 format:1 able:1 apply:1 attached:1 files:1 recognized:1 uses:1 fills:1 requires:1 certain:1 invocations:1 modify:1 inside:1 reuse:1 service:1 contracts:1 original:1 slightly:1 setting:1 top:1 adds:1 expected:1 movement:1 causes:1 mentioned:1 requirements:1 decided:1 updated:1 adjusted:1 copied:1 creating:1 things:1 missing:1 details:1 explaining:1 continued:1 even:1 contrast:1 inherit:1 inherits:1 shared:1 found:1 bit:1 elegant:1 looked:1 variants:1 undecided:1 generally:1 inheritance:1 remain:1 fields:1 actual:1 need:1 serialization:1 works:1 correctly:1 static:1 play:1 give:1 feedback:1 take:1 location:1 expect:1 backed:1 present:1 visible:1 reported:1 provides:1 description:1 inconsistency:1 nutshell:1 behaves:1 moved:1 breaking:1 nothing:1 happens:1 behave:1 preferred:1 proposed:1 decide:1 switch:1 unit:1 ok:1 invoking:1 mention:1 happy:1 obviously:1 inconsistent:1 construct:1 describes:1 manner:1 read:1 mean:1 criticize:1 outstanding:1 choice:1 perfectly:1 reasonable:1 really:1 safe:1 put:1 much:1 feel:1 criticized:1 sorry:1 sounds:1 interesting:1 programming:1 challenge:1 regardless:1 efforts:1 convinced:1 mixture:1 difficult:1 intuitive:1 consistent:1 appreciate:1 decision:1 let:1 applied:1 far:1;2009-01-10T13:58:28.000+0000;2013-04-27T11:57:35.000+0000;;Nightly Builds 3.2;4.0 4.0-alpha1;17;2009-01-10T20:25:58.294+0000;2013-04-27T11:57:35.463+0000;0;5;2013-02-18T20:34:05.505+0000;2013-03-04T20:35:53.825+0000;1;2013-02-18T20:34:05.505+0000;2013-02-18T20:34:05.505+0000;;Reference:COLLECTIONS-444
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-316;Minor;Closed;os111;;Map;constructor:1 behavior:1 inconsistent:1 less:1;size:2 map:2 constructor:1 specifies:1 maximum:1 limit:1 first:1 line:1 throw:1 new:1 max:1 must:1 greater:1 nothing:1 wrong:1 allowing:1 negative:1 way:1 used:1 order:1 elements:1 relative:1 access:1 time:1 think:1 code:1 remove:1 stay:1;exception:2 one:2 limit:2 two:1 say:1 throw:1 quote:1 code:1 tries:1 make:1 part:1 also:1 wrong:1 removed:1 means:1;2009-02-10T21:55:15.000+0000;2013-02-28T20:04:53.000+0000;;3.1;4.0 4.0-alpha1;1;2009-05-20T04:22:33.823+0000;2009-05-20T04:22:33.823+0000;0;0;;;0;;;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-317;Minor;Closed;sebb;;Map;map:2 constructor:1 calls:1 non:1 final:1 method:1;method:5 map:2 final:2 class:2 constructor:1 calls:1 public:1 non:1 likely:1 cause:1 problems:1 ever:1 overridden:1 parent:1 may:1 completely:1 initialised:1 sub:1 invoked:1 possible:1 solution:1 extract:1 code:1 common:1 private:1 make:1;different:2 implementation:2 subclass:2 call:2 constructor:2 collections:2 java:2 another:1 somewhat:1 option:1 expose:1 detail:1 called:1 specification:1 method:1 simply:1 choose:1 super:1 appropriate:1 better:1 nothing:1 prefer:1 make:1 impossible:1 user:1 accidentally:1 mess:1 things:1 ci:1 copying:1 code:1 running:1 reported:1 sending:1 apache:1 commons:1 map:1 transmitting:1 file:1 data:1 committed:1 revision:1;2009-02-16T16:18:08.000+0000;2013-02-28T20:04:44.000+0000;;;4.0 4.0-alpha1;3;2009-02-16T16:47:57.653+0000;2009-05-20T04:30:21.053+0000;0;0;;;0;;;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-318;Minor;Closed;sebb;;Collection;object:2 size:1 impossible:1 null:1 check:1;object:3 null:3 size:1 impossible:1 check:1 specifically:1 says:1 allowed:1 think:1 clause:1 needs:1 removed:1 never:1 true:1 confusing:1;collections:2 java:2 ci:1 removing:1 unnecessary:1 null:1 check:1 sending:1 apache:1 commons:1 transmitting:1 file:1 data:1 committed:1 revision:1;2009-02-16T19:28:08.000+0000;2013-02-28T19:58:40.000+0000;;;4.0 4.0-alpha1;1;2009-04-23T02:39:07.861+0000;2009-04-23T02:39:07.861+0000;0;0;;;0;;;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-319;Minor;Closed;sebb;;Collection;object:1 performs:1 redundant:1 null:1 check:1;null:3 check:2 object:1 performs:1 redundant:1 point:1 removed:1 also:1 prevent:1 false:1 positive:1 eclipse:1 later:1 says:1 may:1;collections:2 java:2 ci:1 fixing:1 unnecessary:1 null:1 check:1 sending:1 apache:1 commons:1 transmitting:1 file:1 data:1 committed:1 revision:1;2009-02-16T19:35:08.000+0000;2013-02-28T20:24:42.000+0000;;;4.0 4.0-alpha1;1;2009-04-23T02:37:18.031+0000;2009-04-23T02:37:18.031+0000;0;0;;;0;;;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-320;Minor;Closed;sebb;;Map;uses:1 inefficient:1 use:1;uses:1 inefficient:1 use:1 patch:1 follow:1;java:4 collections:3 apache:2 commons:2 map:2 ci:1 improving:1 sending:1 transmitting:1 file:1 data:1 committed:1 revision:1;2009-02-16T21:58:12.000+0000;2013-02-28T19:58:30.000+0000;;;4.0 4.0-alpha1;1;2009-04-23T02:45:51.103+0000;2009-04-23T02:45:51.103+0000;0;1;2009-02-16T21:58:41.583+0000;2009-02-16T21:58:41.583+0000;1;2009-02-16T21:58:41.583+0000;2009-02-16T21:58:41.583+0000;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-321;Major;Closed;daniel.golesny;;Comparator;compiler:1;java:6 integer:4 e:4 apache:3 commons:3 collections:3 c:2 compiler:2 error:2 line:1 valid:1 eclipse:1 returns:1 j:1 workspace:1 trunk:1 incompatible:1 types:1 instance:1 type:1 variable:1 exist:1 conforms:1 found:1 required:1;generics:1 branch:1 use:1 integer:1 rev:1;2009-02-24T11:10:08.000+0000;2013-02-28T20:24:53.000+0000;;;4.0 4.0-alpha1;1;2009-09-11T16:14:54.051+0000;2009-09-11T16:14:54.051+0000;0;0;;;0;;;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-323;Minor;Closed;mbrak;jochen@apache.org;Map;behavior:1 constructors:1 inconsistent:1 standard:1 java:1;constructor:3 throws:3 initial:2 capacity:2 new:2 change:2 code:2 less:1 one:1 inconsistent:1 standard:1 java:1 negative:1 thus:1 exception:1 inconsistency:1 confusing:1 actions:1 problem:1 practice:1 surely:1 around:1 depending:1 fact:1;size:8 map:7 capacity:5 one:4 collections:4 case:3 initial:3 commons:3 changes:3 load:2 factor:2 exception:2 mean:2 throw:2 behaviour:2 classes:2 report:2 silently:2 increase:2 user:2 use:2 see:2 constructor:2 java:2 important:2 create:2 sense:2 apache:2 rev:2 holds:1 true:1 quick:1 question:1 far:1 hash:1 concerned:1 changed:1 treated:1 throws:1 interested:1 negative:1 number:1 match:1 whatever:1 hope:1 patch:1 solve:1 problem:1 please:1 check:1 inconsistency:1 thought:1 may:1 emerge:1 thanks:1 advance:1 applied:1 mentioned:1 hen:1 except:1 likely:1 expect:1 like:1 want:1 code:1 list:1 empty:1 hint:1 real:1 doc:1 comment:1 solution:1 used:1 well:1 fine:1 maps:1 really:1 matter:1 explicitly:1 choosing:1 particular:1 silent:1 increment:1 imply:1 violate:1 explicit:1 wishes:1 imo:1 option:1 understand:1 agree:1 useful:1 described:1 put:1 anyway:1 quoting:1 bug:1 inconsistent:1 standard:1 choose:1 consistency:1 current:1 latter:1 made:1 much:1 think:1 reason:1 intentionally:1 makes:1 perfect:1 integrated:1 https:1 builds:1 job:1 add:1 change:1 revision:1 result:1 unstable:1 tn:1 http:1 view:1 files:1 proper:1 trunk:1;2009-04-22T08:43:38.000+0000;2011-03-08T23:39:03.000+0000;;3.2;4.0 4.0-alpha1;11;2009-05-20T04:32:12.852+0000;2012-07-26T20:11:49.309+0000;0;1;2011-01-08T18:18:10.971+0000;2011-01-08T18:18:10.971+0000;1;2011-01-08T18:18:10.971+0000;2011-01-08T18:18:10.971+0000;;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-330;Major;Closed;joehni;;Collection;using:1 remove:1;remove:2 returned:2 even:1 access:1 synced:1 method:1 used:1 possible:1 get:1 happen:1 values:1 see:1 currently:1 executed:1 unit:1 test:1 marked:1 collection:1;get:8 map:6 test:6 fails:4 tests:4 one:4 single:4 remove:3 works:3 next:3 thread:3 threaded:3 call:3 entry:3 still:2 added:2 code:2 fine:2 current:2 even:2 check:2 looks:2 like:2 also:2 fail:2 commented:2 contract:2 actually:1 work:1 either:1 needs:1 thanks:1 heads:1 fixed:1 invalid:1 recognize:1 rename:1 two:1 comment:1 running:1 unit:1 fix:1 different:1 mine:1 became:1 however:1 note:1 appear:1 threading:1 issue:1 similarly:1 perhaps:1 separate:1 least:1 first:1 attempting:1 multiple:1 threads:1 detail:1 shows:1 failing:1 e:1 less:1 parent:1 methods:1 updating:1 correctly:1 leaving:1 mode:1 maintaining:1 adds:1 following:1 loop:1 problem:1 side:1 effects:1 correct:1 permits:1 iteration:1 order:1 based:1 ru:1 concerns:1 calling:1 restructures:1 underlying:1 data:1 becomes:1 modified:1 answer:1 therefore:1 testing:1 behavior:1 commit:1 forthcoming:1 resolved:1 r:1;2009-06-17T09:52:58.000+0000;2011-02-21T19:17:52.000+0000;;;4.0 4.0-alpha1;9;2009-06-17T22:41:25.215+0000;2011-02-21T22:16:33.842+0000;0;0;;;0;;;Reference:COLLECTIONS-3;
COLLECTIONS;ASF;Apache Commons Committee;library;COLLECTIONS-331;Minor;Closed;krkoska;jochen@apache.org;Iterator;null:1;test:2 commons:2 collections:2 use:2 sort:2 null:2 run:1 attached:1 claims:1 comp:1 natural:1 order:1 fails:1 fixing:1 requires:1 change:1 apache:1 least:1 replaced:1 provide:1 course:1;comparable:6 collections:6 commons:5 bug:4 e:4 use:4 apache:3 throw:2 verified:2 revision:2 upwards:2 natural:2 sort:2 order:2 change:2 rev:2 proper:2 trunk:2 changes:2 java:2 showing:1 patch:1 fixes:1 using:1 null:1 adapted:1 well:1 confirm:1 issue:1 used:1 objects:1 things:1 even:1 compile:1 specifically:1 extends:1 super:1 match:1 one:1 option:1 exception:1 agree:1 hen:1 assessment:1 might:1 likely:1 cause:1 bunch:1 problems:1 exists:1 every:1 words:1 need:1 care:1 compatibility:1 code:1 floating:1 around:1 depends:1 consequently:1 decided:1 least:1 message:1 describing:1 problem:1 present:1 meets:1 current:1 behaviour:1 compatible:1 documentation:1 default:1 constructor:1 require:1 call:1 remove:1 references:1 replace:1 recommendation:1 required:1 integrated:1 see:1 https:1 builds:1 job:1 add:1 also:1 release:1 fix:1 result:1 success:1 tn:1 http:1 view:1 files:1 main:1;2009-06-24T14:32:05.000+0000;2011-03-08T22:33:02.000+0000;;3.2;4.0 4.0-alpha1;5;2009-06-24T14:33:41.988+0000;2012-07-26T23:07:49.554+0000;0;2;2009-06-24T14:33:41.953+0000;2009-06-25T08:44:04.348+0000;1;2009-06-25T08:44:04.348+0000;2009-06-25T08:44:04.348+0000;;
