Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-1;Major;Closed;cgrobmeier;tcurdt;;make:1 use:1 internal:1 offset:1;offset:3 header:2 read:2 entering:1 investigated:1 arch:1 searched:1 method:1 var:1 updated:1 course:1 stays:1 next:1 time:1 invalid:1 exception:1 thrown:1 solution:1 operations:1 must:1 update:1 field:1;patch:1 fix:1 offset:1 trouble:1;2009-01-09T05:57:44.000+0000;2009-01-09T09:32:26.000+0000;;;;1;2009-01-09T05:58:23.290+0000;2009-01-09T05:58:23.290+0000;0;1;2009-01-09T05:58:22.796+0000;2009-01-09T05:58:22.796+0000;1;2009-01-09T05:58:22.796+0000;2009-01-09T05:58:22.796+0000;;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-11;Major;Resolved;cgrobmeier;bodewig;;ar:1 delete:1 correct:1;ar:8 file:3 archive:2 brings:2 following:2 test:2 working:1 figured:1 deletion:1 successful:1 look:1 first:1 glance:1 example:1 contains:1 delete:1 method:1 delivers:1 looks:1 correct:1 checking:1 result:1 vi:1 shows:1 still:1 entry:1 even:1 returns:1 null:1 deleting:1 adding:1 afterward:1 inappropriate:1 type:1 format:1;read:6 entry:4 problem:3 method:3 chunks:2 methods:2 end:2 byte:2 b:2 copy:1 stop:1 boundary:1 also:1 copies:1 entries:1 expand:1 previous:1 comment:1 break:1 stream:1 report:1 allows:1 continue:1 new:1 three:1 update:1 offset:1 variable:1 looks:1 like:1 mistake:1 patch:1 respects:1 perfect:1 ar:1 runs:1 however:1 still:1 error:1 happen:1 due:1 apply:1 account:1 please:1 review:1 cheers:1 public:1 deleted:1 parent:1 checking:1 probably:1 best:1 replace:1 call:1 revision:1;2009-03-03T07:10:25.000+0000;2009-03-30T16:34:34.000+0000;;;1.0;5;2009-03-27T21:16:25.694+0000;2009-03-30T16:34:34.028+0000;0;1;2009-03-28T12:34:28.354+0000;2009-03-28T12:34:28.354+0000;1;2009-03-28T12:34:28.354+0000;2009-03-28T12:34:28.354+0000;;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-12;Minor;Resolved;sebb;;;change:1 make:1 fields:1 private:1 possible:1;field:2 constructor:2 also:2 never:1 read:1 locally:1 need:1 stored:1 passed:1 fields:1 buffer:1 made:1 final:1;fields:3 private:3 protected:2 things:2 change:2 really:2 make:2 many:2 mutable:2 requirements:2 patch:2 rather:1 turn:1 general:1 think:1 task:1 applies:1 zip:1 package:1 well:1 comments:1 indicate:1 used:1 way:1 early:1 versions:1 ant:1 backwards:1 compatibility:1 requirement:1 compress:1 share:1 free:1 sense:1 want:1 subclasses:1 buffer:1 example:1 agreed:1 time:1 grab:1 back:1 non:1 possible:1 much:1 easier:1 relax:1 later:1 prove:1 necessary:1 field:1 documented:1 good:1 reason:1 making:1 synchronisation:1 stated:1 protect:1 classes:1 revision:1;2009-02-26T20:40:22.000+0000;2009-03-20T15:42:49.000+0000;;;1.0;5;2009-03-13T05:34:34.324+0000;2009-03-20T15:42:49.778+0000;0;2;2009-03-14T02:42:25.386+0000;2009-03-19T06:05:22.094+0000;2;2009-03-14T02:42:25.386+0000;2009-03-19T06:05:22.094+0000;;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-13;Major;Resolved;irockel;bodewig;;commons:1 compress:1 fails:1 read:1 file:1 create:1 unix:1 tool:1;commons:1 compress:1 fails:1 read:1 files:1 created:1 unix:1 tool:1 incorrectly:1 checks:1 h:1 first:1 char:1 stream:1 magic:1 number:1 according:1 http:1 en:1;ant:3 reads:2 instead:2 patch:1 fixing:1 issue:1 updated:1 test:1 case:1 file:1 reason:1 task:1 first:1 two:1 bytes:1 validates:1 b:1 z:1 handing:1 rest:1 stream:1 implemented:1 way:1 certainly:1 late:1 change:1 fix:1 commons:1 compress:1 applies:1 well:1 writes:1 h:1 used:1 three:1 separate:1 character:1 byte:1 string:1 avoid:1 encoding:1 issues:1 also:1 fixed:1 revision:1;2009-02-11T17:21:45.000+0000;2009-02-12T10:28:02.000+0000;;;1.0;5;2009-02-11T17:22:39.561+0000;2009-02-12T10:28:02.659+0000;0;2;2009-02-11T17:22:39.504+0000;2009-02-11T17:23:50.802+0000;1;2009-02-11T17:22:39.504+0000;2009-02-11T17:22:39.504+0000;;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-16;Major;Resolved;bbatman;;Archivers;unable:1 extract:1 tar:1 file:1 contains:1 entry:1 gb:1 size:1;file:8 tar:6 gb:3 java:3 size:2 using:2 apache:2 commons:2 compress:2 files:2 made:1 contains:1 entry:1 attempt:1 extract:1 fails:1 following:1 stack:1 trace:1 io:1 unexpected:1 bytes:1 unread:1 read:1 seem:1 support:1 large:1 note:1 created:1 complain:1 asked:1 write:1 assume:1 limits:1 silently:1 create:1 corrupted:1 worst:1 situation:1;tar:49 gnu:16 compress:15 star:15 files:14 support:14 fields:12 patch:11 character:11 format:10 number:10 first:9 byte:9 field:9 negative:9 one:8 size:8 ant:8 bit:8 base:8 issue:7 well:7 used:7 numbers:7 bits:7 code:6 use:6 file:6 writing:6 http:6 octal:6 archive:5 commons:5 added:5 may:5 value:5 get:4 read:4 java:4 apache:4 error:4 really:4 ice:4 large:4 long:4 current:4 set:4 numeric:4 native:3 command:3 e:3 ok:3 new:3 revision:3 output:3 currently:3 supports:3 digits:3 create:3 limit:3 problem:3 least:3 entries:3 reading:3 zip:3 add:3 two:3 way:3 supporting:3 pax:3 contain:3 significant:3 look:3 man:3 coding:3 non:3 think:2 say:2 test:2 using:2 checked:2 bytes:2 must:2 tried:2 opened:2 header:2 seems:2 prove:2 result:2 enough:2 sure:2 know:2 sandbox:2 according:2 en:2 original:2 maximum:2 extensions:2 longer:2 fixed:2 check:2 illegal:2 rev:2 sizes:2 fellow:2 full:2 package:2 www:2 extension:2 version:2 part:2 david:2 created:2 things:2 dealing:2 different:2 idea:2 handling:2 like:2 needs:2 agree:2 sets:2 high:2 order:2 wrong:2 archives:2 larger:2 followed:2 binary:2 change:2 setting:2 write:2 primarily:2 need:2 run:2 correct:2 says:2 right:2 though:2 believe:2 page:2 specific:2 bigger:2 remaining:2 hold:2 allowed:2 lower:2 implementation:2 lengths:2 doc:2 time:2 case:2 unsigned:2 rest:2 executed:1 build:1 hours:1 ago:1 also:1 changed:1 behavior:1 writes:1 gib:1 chokes:1 attempting:1 io:1 unexpected:1 unread:1 silently:1 corrupt:1 data:1 programs:1 bomb:1 extracting:1 immediately:1 fails:1 dialog:1 installed:1 bash:1 shell:1 recommended:1 failed:1 skipping:1 next:1 exit:1 delayed:1 previous:1 errors:1 probably:1 useful:1 buggy:1 expected:1 unfortunately:1 familiar:1 yet:1 even:1 big:1 inside:1 yes:1 specified:1 bug:1 feature:1 decimal:1 allow:1 handle:1 throw:1 user:1 tries:1 entry:1 purposes:1 url:1 view:1 log:1 reject:1 temporary:1 measure:1 implemented:1 upper:1 removed:1 found:1 figured:1 appears:1 public:1 domain:1 source:1 adapted:1 attaching:1 nice:1 incorporated:1 thanks:1 huge:1 priority:1 element:1 go:1 link:1 patched:1 ml:1 arch:1 mayer:1 looks:1 including:1 verification:1 similar:1 ancestor:1 feasible:1 port:1 work:1 regards:1 based:1 commit:1 till:1 got:1 tested:1 somebody:1 gig:1 around:1 please:1 help:1 testing:1 note:1 expect:1 separate:1 https:1 issues:1 id:1 surprised:1 variants:1 good:1 make:1 names:1 later:1 plug:1 strategy:1 ways:1 g:1 interchange:1 simpler:1 far:1 concerned:1 bugs:1 patches:1 whole:1 refers:1 parsing:1 rather:1 formatting:1 attached:1 imposed:1 approach:1 taken:1 utility:1 continue:1 switch:1 representation:1 noting:1 detecting:1 written:1 correctly:1 processed:1 linux:1 mac:1 os:1 x:1 windows:1 reshuffle:1 maven:1 profile:1 sufficient:1 mean:1 corrects:1 expression:1 representing:1 largest:1 eleven:1 digit:1 forced:1 integer:1 otherwise:1 overflows:1 limits:1 evaluates:1 zero:1 split:1 tests:1 understands:1 variant:1 treatment:1 leading:1 de:1 private:1 html:1 sorry:1 saw:1 busy:1 checks:1 actual:1 detected:1 end:1 signal:1 length:1 match:1 description:1 referenced:1 previously:1 claims:1 overcome:1 limitation:1 introduced:1 indicated:1 leftmost:1 implements:1 vendor:1 thus:1 put:1 done:1 top:1 appropriate:1 flag:1 cod:1 characters:1 results:1 complement:1 extended:1 worry:1 values:1 stands:1 signed:1 integers:1 following:1 included:1 possible:1 encode:1 decode:1 obviously:1 cause:1 potentially:1 maybe:1 means:1 certain:1 ones:1 treated:1 parse:1 method:1 feeling:1 plan:1 take:1 days:1 outgrown:1 specifically:1 dealt:1 restricted:1 either:1 start:1 group:1 date:1 c:1 uses:1 positive:1 occur:1 atm:1 anyway:1 real:1 becomes:1 dialects:1 required:1 suggest:1 broaden:1 reopen:1 extend:1 alternatively:1 close:1;2009-02-10T16:16:26.000+0000;2012-03-01T11:52:30.000+0000;;;1.4;24;2009-02-10T16:30:10.782+0000;2012-03-01T11:52:30.885+0000;0;5;2009-05-04T15:46:12.052+0000;2011-12-06T16:28:26.801+0000;5;2009-05-04T15:46:12.052+0000;2011-12-06T16:28:26.801+0000;Blocker:COMPRESS-121;"Reference:COMPRESS-177
dependent:COMPRESS-17"
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-17;Major;Resolved;bbatman;;;tar:1 format:1 unspecified:1;tar:7 format:3 support:3 formats:3 e:2 g:2 http:2 file:2 sizes:2 make:2 sure:2 say:1 nothing:1 specific:1 merely:1 use:1 phrase:1 unix:1 archive:1 way:1 generic:1 statement:1 discussions:1 various:1 www:1 gnu:1 software:1 manual:1 html:1 leaf:1 web:1 man:1 command:1 section:1 highly:1 urge:1 specification:1 solves:1 many:1 issues:1 supports:1 unlimited:1 path:1 lengths:1 corollary:1 decide:1 needs:1 added:1 discuss:1 limitations:1 whatever:1 supported:1 especially:1 character:1 sets:1 also:1 include:1 hyperlink:1 webpage:1 describes:1 standards:1;tar:5 gnu:3 one:3 files:3 know:2 implement:2 long:2 code:2 leading:2 old:2 new:2 format:2 tell:1 truth:1 probably:1 exactly:1 classes:1 ant:1 early:1 never:1 clearly:1 documented:1 spec:1 based:1 support:1 part:1 extensions:1 filenames:1 good:1 agreed:1 appears:1 set:1 magic:1 string:1 formatting:1 octal:1 numbers:1 uses:1 spaces:1 requires:1 ascii:1 also:1 stream:1 writes:1 header:1 reporter:1 perhaps:1 provide:1 two:1 small:1 sample:1 use:1 test:1 data:1 ideally:1 ones:1 require:1 features:1 huge:1 record:1 package:1 really:1 supports:1 mode:1 names:1 actually:1 deprecated:1 yes:1 full:1 compliance:1 day:1 matter:1 finding:1 time:1 revision:1 documents:1 supported:1;2009-02-10T20:43:29.000+0000;2010-02-11T16:16:16.000+0000;;;1.1;4;2009-02-11T17:16:50.151+0000;2010-02-11T16:16:16.327+0000;0;0;;;0;;;dependent:COMPRESS-16;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-19;Minor;Resolved;sebb;;;throw:1 exception:1 recognised:1;throw:2 exception:1 recognised:1 present:1 returns:1 null:1 particularly:1 helpful:1 method:1 says:1 throws:1 however:1 also:1 likewise:1;throw:2 compressor:2 stream:2 thrown:2 final:2 attached:1 patch:1 fixes:1 following:1 exception:1 fitting:1 found:1 name:1 null:1 anymore:1 wrapped:1 around:1 like:1 factory:1 checks:1 incoming:1 true:1 also:1 removed:1 place:1 revision:1;2009-03-04T19:23:40.000+0000;2009-03-13T05:23:48.000+0000;;;1.0;2;2009-03-12T06:55:04.790+0000;2009-03-13T05:23:48.763+0000;0;1;2009-03-12T06:55:04.749+0000;2009-03-12T06:55:04.749+0000;1;2009-03-12T06:55:04.749+0000;2009-03-12T06:55:04.749+0000;;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-21;Major;Resolved;sebb;;;looks:1 wrong:1;source:4 match:3 arrays:2 bytes:2 looks:1 wrong:1 says:1 compares:1 two:1 byte:1 however:1 treated:1 differently:1 code:1 keep:1 checking:1 mismatch:1 generated:1 longer:1 trailing:1 ignored:1 neither:1 behaviour:1 seems:1 particularly:1 useful:1 method:1 appear:1 used:1 perhaps:1 deleted:1;class:2 whole:1 seems:1 unused:1 see:1 reason:1 keep:1 deleted:1 revision:1;2009-02-11T19:15:02.000+0000;2009-02-23T16:33:30.000+0000;;;1.0;2;2009-02-12T11:02:42.372+0000;2009-02-23T16:33:30.887+0000;0;0;;;0;;;;
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-24;Major;Closed;cgrobmeier;tcurdt;;old:1 tar:1 implementation:1 causes:1 bugs:1 extracting:1 files:1;old:2 newer:2 ant:2 correctly:2 code:2 currently:1 used:1 stream:1 implementations:1 trunk:1 implementation:1 project:1 fix:1 many:1 bugs:1 example:1 method:1 skip:1 size:1 set:1 compress:1 tar:1 updated:1 also:1 blocks:1 features:1 like:1 proposed:1;code:2 patch:1 updates:1 compress:1 newer:1 ant:1 tar:1;2009-01-08T08:07:08.000+0000;2009-01-08T11:09:31.000+0000;;;;1;2009-01-08T08:07:55.042+0000;2009-01-08T08:07:55.042+0000;0;1;2009-01-08T08:07:54.976+0000;2009-01-08T08:07:54.976+0000;1;2009-01-08T08:07:54.976+0000;2009-01-08T08:07:54.976+0000;dependent:COMPRESS-8;Blocker:COMPRESS-34
COMPRESS;ASF;Apache Commons Committee;library;COMPRESS-25;Major;Resolved;cgrobmeier;;;missing:1;missing:1 site:1 run:1 successfully:1;patch:1 removes:1 cs:1 file:1 pom:1 nobody:1 contributing:1 project:1 seems:1 like:1 revision:1;2009-03-23T12:27:08.000+0000;2009-03-25T14:37:50.000+0000;;;1.0;2;2009-03-25T14:10:44.735+0000;2009-03-25T14:37:50.090+0000;0;1;2009-03-25T14:10:44.539+0000;2009-03-25T14:10:44.539+0000;1;2009-03-25T14:10:44.539+0000;2009-03-25T14:10:44.539+0000;;
