Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-256;Major;Closed;kuhn;niklas;Core;ftp:1 session:1 null:1;command:1 site:1 fails:1 calling:1 line:1 almost:1 never:1 updated:1 initialized:1 seems:1 session:1 placed:1 somewhere:1;fixed:1;2009-01-06T06:37:59.000+0000;2009-01-09T21:40:44.000+0000;;1.0.0-M4;1.0.0-RC1;1;2009-01-09T21:40:44.144+0000;2009-01-09T21:40:44.144+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-257;Major;Closed;kuhn;niklas;Core;override:1;command:1 site:1 prints:1 instance:1 line:1 result:1 like:1 apache:1 override:1;fixed:1;2009-01-06T07:05:08.000+0000;2009-01-09T21:41:01.000+0000;;1.0.0-M4;1.0.0-RC1;1;2009-01-09T21:41:01.007+0000;2009-01-09T21:41:01.007+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-258;Major;Closed;kuhn;niklas;Core;user:1 work:1;idle:3 mina:3 user:2 time:2 session:2 construction:2 setting:1 property:1 effect:1 working:1 one:1 provided:1 global:1 stored:1 ftp:1 attribute:1 pass:1 command:1 nothing:1 happens:1 event:1 completely:1 handled:1 knowledge:1 value:1 takes:1 instantiated:1 precisely:1 created:1 copy:1 understanding:1 hope:1 right:1;value:11 idle:8 time:8 user:8 listener:6 set:5 patch:4 use:4 users:3 say:3 attached:2 values:2 one:2 session:2 like:2 store:2 case:2 think:2 limit:2 see:2 complicated:2 code:2 delegates:1 calls:1 wrapped:1 two:1 sources:1 imagine:1 takes:1 effect:1 always:1 wins:1 propose:1 special:1 let:1 pass:1 command:1 update:1 coming:1 quite:1 useless:1 ability:1 sessions:1 logged:1 override:1 larger:1 enforce:1 maximum:1 enable:1 setting:1 specific:1 lower:1 alone:1 used:1 anyways:1 good:1 start:1 implement:1 solution:1 describe:1 complains:1 point:1 mean:1 limits:1 makes:1 sense:1 idea:1 merged:1 zero:1 positive:1 defined:1 meaning:1 default:1 permit:1 undefined:1 null:1 clear:1 way:1 details:1 note:1 negative:1 times:1 listeners:1 prohibited:1 apache:1 mina:1 core:1 accepting:1 whatever:1 want:1 make:1 okay:1 current:1 trunk:1 document:1 maybe:1 get:1 right:1 difference:1 really:1 small:1 less:1 mine:1 issue:1 closed:1;2009-01-06T13:34:54.000+0000;2009-01-09T06:38:33.000+0000;;1.0.0-M4;1.0.0-RC1;7;2009-01-06T13:40:11.631+0000;2009-01-09T05:40:01.030+0000;0;2;2009-01-06T13:40:11.603+0000;2009-01-07T09:34:01.181+0000;2;2009-01-06T13:40:11.603+0000;2009-01-07T09:34:01.181+0000;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-259;Major;Closed;kuhn;niklas;Core;connection:1 statistics:1 updated:1;counters:3 methods:2 apache:2 really:2 never:1 called:1 production:1 code:1 command:1 shows:1 zeros:1 connection:1 statistics:1 side:1 note:1 looked:1 class:1 modified:1 inside:1 synchronized:1 think:1 need:1 enough:1;fixed:2 man:1 obsessive:1 commands:1 love:1 rev:1 also:1 discovered:1;2009-01-07T15:26:25.000+0000;2009-01-09T21:40:25.000+0000;;1.0.0-M4;1.0.0-RC1;1;2009-01-09T21:40:25.284+0000;2009-01-09T21:40:25.284+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-261;Major;Closed;niklas;niklas;;remove:1 directories:1 returned:1 incorrectly:1;directories:2 remove:1 count:1 returns:1 number:1 create:1;fixed:1 rev:1;2009-01-09T21:36:37.000+0000;2009-01-09T21:41:32.000+0000;;1.0.0-M4 1.0.0-M3;1.0.0-RC1;1;2009-01-09T21:41:32.907+0000;2009-01-09T21:41:32.907+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-262;Major;Closed;daniel.santos;niklas;Ftplets;dispose:1 never:1 called:1;user:2 dispose:1 function:1 never:1 called:1 method:1 seems:1 interesting:1 release:1 critical:1 resources:1 connections:1 email:1 sessions:1 think:1 good:1 idea:1 call:1 closes:1 maybe:1 related:1;session:6 think:3 closed:3 data:3 maybe:2 fix:2 fixed:2 take:2 account:2 guess:2 possible:2 thread:2 still:2 writing:2 close:2 transfer:2 issue:2 rev:2 confirm:1 bug:1 exists:1 also:1 code:1 currently:1 vote:1 needed:1 released:1 release:1 good:1 point:1 view:1 side:1 either:1 complete:1 closes:1 keeping:1 ongoing:1 transfers:1 going:1 lead:1 troubles:1 look:1 affects:1 please:1 verify:1 fixes:1 issues:1 dispose:1;2009-01-12T17:45:13.000+0000;2009-01-13T21:55:38.000+0000;;1.0.0-M4;1.0.0-RC2;6;2009-01-13T08:09:34.158+0000;2009-01-14T08:27:25.417+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-264;Major;Closed;fredmoore;niklas;Server;passive:2 takes:1 minute:1 cpu:1 set:1 wide:1 port:1 range:1 apache:1;observed:2 cpu:2 long:1 minute:1 plateau:1 trying:1 apache:1 passive:1 wide:1 port:1 ranges:1 internally:1 performs:1 apparently:1 expensive:1 scan:1 range:1 made:1 less:1 intensive:1 quicker:1 shorten:1 server:1 downtime:1 reduce:1 resource:1 consumption:1 production:1;fixed:1 rev:1;2009-01-14T16:51:08.000+0000;2011-06-18T21:41:38.000+0000;;1.0.0-M2;1.1.0 1.0.6;1;2011-06-18T21:41:38.075+0000;2011-06-18T21:41:38.075+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-265;Major;Closed;niklas;niklas;;parent:2 pom:2 examples:1 inherit:1 thus:1 get:1 signed:1 correctly:1;parent:2 pom:2 poms:1 must:1 inherit:1 get:1 signed:1 correctly:1 however:1 example:1;fixed:1 rev:1;2009-01-14T17:12:39.000+0000;2009-01-22T12:31:43.000+0000;;1.0.0-RC1;1.0.0-RC2;1;2009-01-22T12:31:42.406+0000;2009-01-22T12:31:42.406+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-268;Minor;Closed;dlatorre;dlatorre;;statements:1 provided:1 distribution:1 full:1 need:1 updated:1 latest:1 version:1 documentation:1;https:1 issues:1 apache:1 browse:1 page:1 system:1 reports:1 log:1 using:1 authentication:1 statement:1 contained:1 file:1;fixed:1 rev:1;2009-01-20T12:26:17.000+0000;2009-01-20T15:37:28.000+0000;;;1.0.0-RC2;1;2009-01-20T15:37:28.001+0000;2009-01-20T15:37:28.001+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-269;Major;Closed;niklas;niklas;Core;stream:1 closed:1 statistics:1 updated:1 data:1 transfers:1;close:2 stream:2 transfer:2 done:2 updating:1 statistics:1 logging:1 successful:1 data:1 soon:1;fixed:1 rev:1;2009-01-25T13:20:44.000+0000;2009-03-08T09:33:52.000+0000;;1.0.0 1.0.0-RC2 1.0.0-RC1;1.1.0 1.0.1;1;2009-03-08T09:33:52.343+0000;2009-03-08T09:33:52.343+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-275;Major;Closed;niklas;niklas;;updated:1 resume:1;port:2 resume:2 using:1 dynamic:1 updated:1 likely:1 change:1;fixed:1 rev:1;2009-02-14T20:48:18.000+0000;2009-02-14T21:06:36.000+0000;;1.0.0-RC2;1.1.0 1.0.0;1;2009-02-14T21:06:36.886+0000;2009-02-14T21:06:36.886+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-279;Major;Closed;niklas;niklas;Core;equals:1 work:1 correctly:1 different:1 casing:1 os:1 x:1;fail:2 discussed:1 thread:1 http:1 message:1 equals:1 detect:1 two:1 files:1 equal:1 different:1 case:1 e:1 g:1 used:1 os:1 x:1 thus:1 inhibit:1 deletion:1 current:1 directory:1;fixed:2 rev:2 commited:1 trunk:1 x:1;2009-03-01T20:02:33.000+0000;2009-03-08T09:24:39.000+0000;;1.0.0;1.1.0 1.0.1;2;2009-03-06T09:40:46.947+0000;2009-03-08T09:24:39.441+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-293;Major;Closed;niklas;niklas;Core;passive:1 data:1 connections:1 hang:1 forever:1 thus:1 block:1 port:1;hang:2 socket:1 used:1 passive:1 data:1 connection:1 example:1 due:1 network:1 error:1 client:1 misbehavior:1 causing:1 apache:1 transfer:1 never:1 return:1 therefore:1 block:1 port:1 forever:1 long:1 run:1 entire:1 server:1;fixed:1 rev:1 solution:1;2009-04-23T10:48:35.000+0000;2009-04-24T19:32:53.000+0000;;1.0.0;1.1.0 1.0.1;2;2009-04-24T19:32:53.437+0000;2013-10-04T13:18:43.715+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-297;Major;Closed;niklas;niklas;Core;data:1 connection:1 closed:1 filter:1 chain:1 exception:1;closed:4 session:2 data:2 exception:1 happens:1 filter:1 chain:1 e:1 g:1 decoding:1 problem:1 open:1 connection:1 ensure:1;fix:1 rev:1;2009-05-12T07:25:31.000+0000;2009-05-13T20:17:12.000+0000;;1.0.0;1.1.0 1.0.1;1;2009-05-13T20:17:12.341+0000;2009-05-13T20:17:12.341+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-298;Major;Closed;niklas;niklas;Core;disconnect:1 returned:1 ignored:1 server:1;session:2 returns:1 disconnect:1 callback:1 ignored:1 server:1 continues:1 opened:1 instead:1 immediately:1 closed:1 reported:1 basilica:1 users:1;fix:1 rev:1;2009-05-13T20:10:29.000+0000;2009-05-13T20:16:58.000+0000;;1.0.0;1.1.0 1.0.1;1;2009-05-13T20:16:58.864+0000;2009-05-13T20:16:58.864+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-301;Major;Closed;user0814;niklas;Core;db:1 user:1 manager:1 res:1 full:1;java:34 apache:29 sun:16 internal:16 support:11 beans:10 factory:10 http:8 mina:8 spring:8 context:7 parse:5 xs:4 parsers:4 res:3 full:3 invalid:3 main:3 configuration:2 file:2 sax:2 complex:2 type:2 content:2 found:2 starting:2 element:2 db:2 user:2 manager:2 one:2 native:2 commands:2 messages:2 expected:2 new:1 installation:1 made:1 following:1 command:1 performed:1 root:1 bin:1 using:1 line:1 document:1 home:1 nested:1 exception:1 refresh:1 caused:1 error:1 dispatch:1;thanks:1 reporting:1 fixed:1 rev:1;2009-05-14T14:00:34.000+0000;2009-05-30T22:17:29.000+0000;;1.0.0;1.1.0 1.0.2;1;2009-05-30T22:17:29.619+0000;2009-05-30T22:17:29.619+0000;0;0;;;0;;;Duplicate:FTPSERVER-311;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-302;Major;Closed;gbenawi;niklas;Core;free:2 passive:1 port:1 returned:1 checked:1 really:1;port:6 free:3 returned:3 passive:1 requested:1 calling:1 method:1 search:1 done:1 based:1 internal:1 boolean:1 flag:1 determines:1 bad:1 actually:1 used:1 another:1 application:1 still:1 exception:1 thrown:1 fail:1 create:1 data:1 socket:1;fixed:1 rev:1 thanks:1 reporting:1;2009-05-14T15:02:36.000+0000;2009-06-07T20:05:39.000+0000;;1.0.0;1.1.0 1.0.2;1;2009-06-07T20:05:39.937+0000;2009-06-07T20:05:39.937+0000;0;0;;;0;;;;
FTPSERVER;ASF;Apache MINA Committee;network-server;FTPSERVER-303;Major;Closed;albertovazquez;dlatorre;Core;passive:1 data:1 connection:1 stuck:1;using:3 client:3 server:3 reported:2 data:2 connection:2 passive:2 linux:2 state:2 week:1 old:1 snapshot:1 seems:1 bit:1 newer:1 freeze:1 one:1 clients:1 kept:1 open:1 long:1 time:1 name:1 remember:1 mode:1 checking:1 windows:1 running:1 top:1 sun:1 java:1 application:1 noticed:1 ftp:1 several:1 sockets:1 side:1 mind:1 related:1 socket:1 leaking:1 bug:1 previously:1 connections:1 might:1 fault:1 knows:1 machine:1 available:1 testing:1 know:1 real:1 problem:1;seems:3 problem:3 socket:3 true:3 bug:2 closed:2 changing:2 make:2 trunk:2 fix:2 versions:2 confirmed:1 using:1 passive:1 mode:1 modifications:1 wrapping:1 regular:1 false:1 last:1 parameter:1 boolean:1 close:1 underlying:1 want:1 value:1 gets:1 rid:1 foresee:1 problems:1 changed:1 good:1 feel:1 free:1 go:1 ahead:1 change:1 x:1 committed:1 sorry:1 delay:1 proceed:1 test:1 see:1 solving:1 tests:1 connections:1 immediately:1 expect:1 issues:1 though:1 fixes:1 future:1 already:1 released:1;2009-05-19T23:02:50.000+0000;2009-05-25T07:53:22.000+0000;;1.0.1 1.0.0;1.1.0 1.0.2;4;2009-05-20T09:56:18.282+0000;2009-05-25T19:05:23.335+0000;0;0;;;0;;;;
