Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-3;Major;Resolved;jghoman;jghoman;;vertex:1;method:1 vertex:1 java:1;patch:4 import:2 avoid:2 abbreviations:2 method:2 names:2 another:2 address:2 naming:2 issue:2 guess:1 wait:1 finished:1 general:1 like:1 maybe:1 yeah:1 generate:1 necessary:1 apply:1 opinion:1 msg:1 message:1 style:1 change:1 large:1 want:1 let:1 completed:1 safe:1 commit:1 post:1 review:1 agree:1 good:1 convention:1 separate:1 vote:1 conventions:1 committed:1 resolving:1 fixed:1;2011-08-23T21:32:43.000+0000;2011-08-26T01:14:07.000+0000;;0.1.0;0.1.0;7;2011-08-23T22:34:13.570+0000;2011-08-26T01:14:07.965+0000;0;1;2011-08-26T00:42:05.179+0000;2011-08-26T00:42:05.179+0000;1;2011-08-26T00:42:05.179+0000;2011-08-26T00:42:05.179+0000;Blocker:INFRA-3855;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-6;Blocker;Resolved;jghoman;jghoman;;remove:1 yahoo:1 specific:1 code:1 pom:1;remaining:1 references:1 infrastructure:1 pom:1 prevents:1 build:1 succeeding:1;build:3 patch:2 removes:1 remaining:1 references:1 run:1 tests:1 jars:1 breaking:1 gone:1 ahead:1 committed:1 resolving:1 fixed:1 thanks:1;2011-08-26T19:29:07.000+0000;2011-08-26T20:05:59.000+0000;;0.1.0;0.1.0;3;2011-08-26T19:31:05.033+0000;2011-08-26T23:05:23.198+0000;0;1;2011-08-26T19:31:04.675+0000;2011-08-26T19:31:04.675+0000;1;2011-08-26T19:31:04.675+0000;2011-08-26T19:31:04.675+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-17;Minor;Resolved;aching;aching;;give:1 properly:1 maximum:1 connect:1 attempts:1;produces:1 incorrect:1 strange:1 behavior:1;fix:2 limit:2 thanks:2 explain:1 looks:1 like:1 cleanup:1 making:1 sure:1 main:1 part:1 basically:1 condition:1 hit:1 max:1 connect:1 attempts:1 tried:1 never:1 became:1 sync:1 point:1 probably:1 used:1 address:1 later:1 issue:1 ok:1 case:1 taking:1 look:1 committed:1;2011-08-30T04:53:41.000+0000;2011-08-30T16:15:59.000+0000;;0.1.0;0.1.0;4;2011-08-30T14:58:28.313+0000;2011-08-30T16:15:53.726+0000;0;1;2011-08-30T04:54:41.740+0000;2011-08-30T04:54:41.740+0000;0;;;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-24;Major;Resolved;jghoman;jghoman;;job:1 level:1 statistics:1 reports:1 one:1 greater:1 workers:1;job:2 n:2 coordination:1 begins:1 counter:1 starts:1 zero:1 level:1 statistic:1 workers:1 reporting:1 working:1 discrepancy:1 persists:1 throughout:1;job:2 unit:2 part:2 patch:1 increments:1 counter:1 zeroth:1 keep:1 count:1 consistent:1 workers:1 test:1 difficult:1 access:1 current:1 form:1 manually:1 tested:1 nice:1 work:1 another:1 side:1 need:1 create:1 components:1 thought:1 noticed:1 point:1 forgot:1 looks:1 good:1 verified:1 tests:1 pass:1 committed:1 resolving:1;2011-09-01T00:37:27.000+0000;2011-09-01T01:20:04.000+0000;;0.1.0;0.1.0;4;2011-09-01T00:38:38.550+0000;2011-09-01T01:20:04.891+0000;0;1;2011-09-01T00:38:38.528+0000;2011-09-01T00:38:38.528+0000;1;2011-09-01T00:38:38.528+0000;2011-09-01T00:38:38.528+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-25;Minor;Resolved;dvryaboy;dvryaboy;;failing:1 job:1;times:1 waiting:1 workers:1 check:1 dies:1 perhaps:1 handled:1 bit:1 gracefully:1;apache:16 graph:10 java:8 trunk:7 thanks:6 commit:6 info:6 incubator:5 issue:4 job:4 message:4 patch:3 error:3 got:3 main:3 master:2 failing:2 exception:2 throw:2 succinct:2 change:2 test:2 sure:2 way:2 added:2 enough:2 instance:2 cleanup:2 children:2 minor:2 changes:2 behalf:2 committed:2 aching:2 rev:2 contributors:2 list:2 think:2 description:2 close:2 weekend:2 log:1 saw:1 timed:1 definitely:1 handled:1 gracefully:1 filing:1 attached:1 basic:1 fix:1 problem:1 correctly:1 stop:1 proceed:1 two:1 choices:1 declare:1 case:1 deal:1 upstream:1 c:1 style:1 return:1 chose:1 latter:1 makes:1 code:1 deals:1 public:1 rewrite:1 prefer:1 best:1 fit:1 tests:1 set:1 review:1 add:1 works:1 expected:1 worked:1 nicely:1 tweaked:1 example:1 output:1 looks:1 much:1 better:1 found:1 responses:1 needed:1 start:1 sleeping:1 msecs:1 used:1 attempts:1 receive:1 processes:1 time:1 required:1 occurs:1 map:1 tasks:1 available:1 simultaneously:1 fulfill:1 number:1 requested:1 workers:1 failed:1 fatal:1 killing:1 notifying:1 okay:1 node:1 already:1 exists:1 need:1 create:1 desired:1 waiting:1 nodes:1 warn:1 forced:1 shutdown:1 hook:1 kill:1 process:1 upload:1 ran:1 local:1 mode:1 also:1 small:1 original:1 integrated:1 see:1 https:1 builds:1 http:1 root:1 view:1 files:1 mind:1 adding:1 project:1 post:1 assign:1 one:1 done:1 attribution:1 pig:1 assigned:1 agree:1 fill:1 logs:1 supposed:1 reporter:1 please:1 reopen:1 usually:1 resolves:1 taking:1 going:1 try:1 break:1 ways:1 advice:1;2011-09-04T05:27:12.000+0000;2011-09-10T00:48:30.000+0000;;0.1.0;0.1.0;12;2011-09-04T05:28:23.613+0000;2011-09-10T04:04:01.559+0000;0;2;2011-09-07T05:40:19.208+0000;2011-09-08T18:44:48.775+0000;2;2011-09-07T05:40:19.208+0000;2011-09-08T18:44:48.775+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-30;Minor;Resolved;apurtell;apurtell;;base:1 directory:1 created:1;directory:2 throw:2 base:1 created:1 example:1 running:1 secure:1 user:1 home:1 exist:1 trying:1 list:1 better:1 informative:1 message:1;apache:11 java:10 issue:5 thanks:4 directory:4 trunk:4 andrew:3 setup:3 base:3 fix:2 child:2 error:2 please:2 another:2 commit:2 aching:2 rev:2 incubator:2 hi:1 reporting:1 like:1 modify:1 returning:1 null:1 valid:1 return:1 able:1 recreate:1 setting:1 path:1 access:1 warn:1 running:1 patch:1 check:1 bit:1 earlier:1 code:1 new:1 get:1 file:1 status:1 set:1 configuration:1 option:1 graph:1 let:1 know:1 think:1 helpful:1 newcomers:1 great:1 need:1 added:1 contributor:1 assigned:1 issues:1 taking:1 long:1 review:1 committed:1 reopen:1 integrated:1 see:1 https:1 builds:1 job:1 created:1 http:1 root:1 view:1 files:1 main:1;2011-09-11T00:52:42.000+0000;2011-09-14T03:53:28.000+0000;;0.1.0;0.1.0;6;2011-09-11T04:45:18.951+0000;2011-09-14T14:36:01.307+0000;0;2;2011-09-11T00:53:10.651+0000;2011-09-11T04:47:05.862+0000;2;2011-09-11T00:53:10.651+0000;2011-09-11T04:47:05.862+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-34;Major;Closed;ckunz;aching;;failure:1 vertex:1 reflection:1;java:25 apache:15 client:8 io:6 run:4 child:4 call:3 graph:3 security:3 error:2 lm:2 failed:2 local:2 exception:2 mapper:2 subject:2 caused:2 connection:2 making:2 christian:1 actually:1 found:1 bug:1 filing:1 behalf:1 running:1 map:1 native:1 method:1 main:1 invoke:1 unknown:1 source:1 identified:1 fixed:1 issue:1 implement:1 state:1 set:1 one:1 though:1 try:1 solve:1 putting:1;apache:33 java:30 vertex:22 message:18 trunk:18 incubator:15 messages:13 sent:11 http:11 main:11 local:9 object:9 https:8 value:8 graph:7 bug:6 issues:6 e:5 package:5 reviews:5 r:5 also:5 users:5 see:5 using:4 issue:4 instance:4 job:4 reflection:4 seems:4 like:4 delivered:4 get:4 context:4 therefore:4 next:4 modify:4 pretty:4 simply:4 copying:4 expensive:4 code:4 think:4 key:4 byte:4 one:4 immutable:4 prevent:3 running:3 try:3 actual:3 run:3 tracker:3 another:3 make:3 less:3 review:3 maybe:3 compute:3 remote:3 copied:3 error:3 test:3 passed:3 thanks:3 instead:3 always:3 changes:3 current:3 land:3 objects:3 regular:2 fix:2 first:2 part:2 hard:2 trying:2 hours:2 automatically:2 generated:2 mail:2 reply:2 visit:2 request:2 summary:2 problem:2 shows:2 locally:2 reflected:2 hence:2 modifies:2 receiving:2 chance:2 access:2 operate:2 shared:2 simultaneously:2 method:2 potential:2 occur:2 eventually:2 workers:2 solution:2 proposing:2 occuring:2 tough:2 debug:2 alternative:2 tell:2 create:2 copies:2 convenient:2 intuitive:2 opinion:2 addresses:2 browse:2 testing:2 machine:2 anymore:2 right:2 example:2 destination:2 must:2 used:2 later:2 bit:2 possibly:2 analogous:2 instances:2 use:2 map:2 never:2 container:2 disk:2 values:2 containers:2 call:2 write:2 user:2 updated:2 examples:2 safe:2 thing:2 serialize:2 recipient:2 commit:2 aching:2 rev:2 fixed:2 meantime:1 cropping:1 reproduce:1 show:1 unit:1 tests:1 component:1 getting:1 early:1 weird:1 cases:1 unfortunately:1 little:1 rip:1 checkout:1 working:1 reflect:1 fails:1 null:1 state:1 sorry:1 lack:1 detail:1 wake:1 figured:1 someone:1 please:1 wait:1 sending:1 even:1 reference:1 document:1 treated:1 ephemeral:1 retained:1 bunch:1 prohibitively:1 look:1 notice:1 extends:1 v:1 needs:1 let:1 people:1 extend:1 extending:1 killed:1 exceptions:1 balancing:1 suppose:1 send:1 supposedly:1 good:1 force:1 ensure:1 sure:1 similar:1 happened:1 place:1 really:1 avoid:1 dangerous:1 mutable:1 types:1 cause:1 likely:1 around:1 awhile:1 glad:1 reported:1 christian:1 mentioned:1 elsewhere:1 change:1 require:1 subclass:1 address:1 definitely:1 open:1 subclasses:1 dig:1 topic:1 yes:1 expect:1 hang:1 mapper:1 c:1 buffer:1 practically:1 guaranteed:1 break:1 read:1 new:1 bytes:1 invocation:1 rarely:1 created:1 constantly:1 simple:1 operations:1 stream:1 setting:1 inside:1 basic:1 contracts:1 least:1 considered:1 soon:1 handle:1 whatever:1 assuming:1 framework:1 reuse:1 original:1 analogy:1 closer:1 digging:1 slight:1 difference:1 okay:1 guess:1 submit:1 patch:1 augments:1 emphasize:1 modified:1 agree:1 instantiation:1 perhaps:1 safety:1 valuable:1 performance:1 sense:1 rely:1 inform:1 contract:1 failing:1 making:1 difficult:1 guarantee:1 questions:1 identify:1 yeah:1 mind:1 envelope:1 matter:1 concern:1 calling:1 methods:1 contained:1 course:1 control:1 thoughts:1 flight:1 leaves:1 cluster:1 going:1 reading:1 ways:1 possible:1 efficient:1 take:1 pass:1 able:1 inexpensively:1 fly:1 time:1 essentially:1 committed:1 better:1 way:1 future:1 much:1 vs:1 instantiating:1 copy:1 integrated:1 builds:1 failure:1 root:1 view:1 files:1 marked:1 build:1 today:1 still:1 experiencing:1 reopen:1 report:1 provide:1 info:1 follows:1 revision:1 reporting:1 true:1 found:1;2011-09-15T01:31:12.000+0000;2011-09-16T21:00:32.000+0000;;1.0.0 0.1.0;0.1.0;21;2011-09-16T04:39:20.945+0000;2012-09-28T23:33:55.543+0000;0;1;2011-09-16T05:52:44.327+0000;2011-09-16T05:52:44.327+0000;1;2011-09-16T05:52:44.327+0000;2011-09-16T05:52:44.327+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-39;Major;Resolved;jghoman;jghoman;;rat:1 like:1 git:1 idea:1;fails:2 idea:2 verify:1 due:1 existence:1 git:1 tracking:1 folder:1 files:1 within:1 directories:1;trunk:4 apache:3 patch:2 git:2 idea:2 rat:2 commit:2 rev:2 incubator:2 add:1 exclude:1 list:1 verify:1 succeeds:1 committed:1 resolving:1 integrated:1 see:1 https:1 builds:1 job:1 like:1 http:1 root:1 view:1 files:1 pom:1;2011-09-19T21:01:00.000+0000;2011-09-19T21:08:51.000+0000;;0.1.0;0.1.0;4;2011-09-19T21:01:39.440+0000;2011-09-19T21:13:06.214+0000;0;1;2011-09-19T21:01:39.407+0000;2011-09-19T21:01:39.407+0000;1;2011-09-19T21:01:39.407+0000;2011-09-19T21:01:39.407+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-42;Minor;Resolved;hyunsik.choi;;bsp;counter:1 sent:1 messages:1 work:1;info:5 sent:2 messages:2 current:2 aggregate:2 vertices:2 counter:1 work:1 always:1 shows:1 workers:1 master:1 task:1 partition:1 finished:1;messages:20 counter:16 patch:12 sent:10 test:9 issue:6 problem:5 sure:5 add:5 code:5 increment:4 method:4 number:4 think:4 counters:4 tested:4 unsecured:4 fix:3 vertex:3 combined:3 show:3 also:3 approach:3 current:3 seems:3 better:3 still:3 trivial:3 hi:3 always:3 mode:3 clean:3 know:2 one:2 like:2 third:2 run:2 result:2 shows:2 correct:2 count:2 updated:2 subtract:2 understand:2 fixed:2 new:2 previous:2 job:2 name:2 tests:2 thanks:2 perhaps:2 total:2 sum:2 quote:2 looked:1 today:1 reason:1 bud:1 right:1 applying:1 currently:1 impossible:1 connection:1 map:1 executing:1 next:1 delays:1 counting:1 moment:1 greetings:1 implementation:1 aim:1 see:1 implement:1 allows:1 user:1 view:1 addition:1 found:1 implementing:1 point:1 together:1 thus:1 quite:1 issued:1 standard:1 big:1 got:1 adding:1 behind:1 compute:1 call:1 changed:1 timers:1 caused:1 change:1 bad:1 condition:1 reproduce:1 yet:1 tried:1 example:1 looking:1 reset:1 master:1 obtained:1 applied:1 first:1 addresses:1 discussed:1 saw:1 cause:1 zero:1 lines:1 thing:1 calls:1 sets:1 local:1 simply:1 last:1 wrong:1 instead:1 need:1 originally:1 consider:1 counts:1 anyhow:1 find:1 attempts:1 follow:1 assuming:1 required:1 version:1 attached:1 fixing:1 testing:1 details:1 actual:1 value:1 lack:1 deep:1 understanding:1 added:1 check:1 existing:1 cases:1 able:1 modified:1 expose:1 submitted:1 may:1 useful:1 elsewhere:1 return:1 shown:1 tracker:1 showed:1 rather:1 say:1 passed:1 windows:1 linux:1 failed:1 running:1 cluster:1 failures:1 effect:1 validity:1 means:1 distributed:1 setup:1 regardless:1 fails:1 passes:1 separate:1 discussion:1 mentioning:1 clear:1 points:1 review:1 left:1 two:1 question:1 marks:1 expected:1 reading:1 taking:1 look:1 aching:1 reviewing:1 oh:1 aware:1 work:1 valid:1 latest:1 git:1 trunk:1 otherwise:1 let:1 close:1;2011-09-28T05:34:26.000+0000;2018-11-09T16:30:46.000+0000;;0.1.0;;12;2011-09-28T05:51:59.810+0000;2013-01-19T05:39:03.587+0000;0;2;2012-10-11T19:40:25.997+0000;2012-10-18T18:56:41.908+0000;2;2012-10-11T19:40:25.997+0000;2012-10-18T18:56:41.908+0000;;
GIRAPH;ASF;Apache Giraph Committee;big-data;GIRAPH-46;Minor;Resolved;aching;aching;;race:1 condition:1 servers:1 started:1 time:1 requests:1 sent:1;java:13 apache:9 run:4 child:4 one:3 happen:3 worker:3 security:3 maybe:2 never:2 exist:2 vertex:2 every:2 edge:2 graph:2 mapper:2 subject:2 hi:1 occasionally:1 time:1 four:1 fails:1 according:1 code:1 null:1 constructor:1 throw:1 new:1 happens:1 second:1 application:1 actually:1 adds:1 edges:1 make:1 also:1 destination:1 running:1 workers:1 surprised:1 registered:1 layer:1 initially:1 hypothesis:1 funny:1 server:1 heavy:1 load:1 launched:1 another:1 replace:1 slow:1 ml:1 compute:1 map:1 native:1 method:1 main:1;trunk:4 apache:4 commit:2 aching:2 rev:2 incubator:2 java:2 reported:1 success:1 able:1 run:1 local:1 instance:1 committed:1 thanks:1 review:1 integrated:1 see:1 https:1 builds:1 job:1 race:1 condition:1 servers:1 started:1 time:1 requests:1 sent:1 http:1 root:1 view:1 files:1 main:1 graph:1;2011-10-01T18:12:42.000+0000;2011-10-01T18:26:26.000+0000;;0.1.0;0.1.0;4;2011-10-01T18:13:46.663+0000;2011-10-01T18:32:10.770+0000;0;1;2011-10-01T18:13:46.567+0000;2011-10-01T18:13:46.567+0000;0;;;;
