Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
IO;ASF;Apache Commons Committee;library;IO-196;Minor;Closed;jukkaz;;;occasional:1 test:1 failures:1;assert:8 framework:6 java:6 apache:3 continuum:2 commons:2 io:2 monitor:2 method:1 fails:1 occasionally:1 build:1 http:1 action:1 failure:1 happens:1 e:1 directories:1 changed:1 expected:1 fail:1;assert:8 framework:6 java:6 apache:3 builds:3 following:2 commons:2 io:2 monitor:2 failed:2 made:2 changes:2 failures:2 revision:2 also:1 test:1 fails:1 occasionally:1 e:1 directories:1 changed:1 expected:1 fail:1 continuum:1 much:1 historical:1 data:1 moment:1 shows:1 ran:1 ones:1 hopefully:1 reduce:1 http:1 view:1 run:1 times:1 failing:1 full:1 log:1 date:1 along:1 causes:1 try:1 improve:1 situation:1 recent:1 mail:1 archive:1 tell:1 cause:1 though:1 emails:1 portion:1 output:1;2009-02-14T10:26:18.000+0000;2010-10-01T01:38:06.000+0000;;;2.0;4;2009-02-17T15:57:24.218+0000;2010-10-08T02:03:12.342+0000;0;0;;;0;;;;
IO;ASF;Apache Commons Committee;library;IO-201;Major;Closed;sebb;niallp;Filters;partially:1 synchronized:1;count:3 stream:3 synchronized:2 read:2 threads:2 thread:2 partially:1 updated:1 operations:1 guaranteed:1 published:1 correctly:1 synchronization:1 removed:1 loss:1 functionality:1 sure:1 makes:1 sense:1 share:1 anyway:1 underlying:1 unlikely:1 safe:1 one:1 reads:1 field:1 made:1 volatile:1 allow:1 safely:1;revision:6 apache:3 view:3 https:2 applies:1 method:1 added:1 synchronized:1 methods:1 later:1 changes:1 io:1 theres:1 mention:1 agree:1 incomplete:1 probably:1 removed:1 seems:1 like:1 minor:1 thing:1 though:1 assigning:1 x:1 fixed:1 http:1;2009-03-26T13:59:51.000+0000;2010-10-04T01:12:33.000+0000;;1.4;2.0;3;2009-03-26T14:00:39.523+0000;2010-10-04T01:12:33.226+0000;0;0;;;0;;;Reference:IO-214;
IO;ASF;Apache Commons Committee;library;IO-202;Major;Closed;mattflaschen;niallp;Filters;documentation:1 incorrect:1;commons:3 apache:3 io:3 http:2 java:2 documentation:1 release:1 index:1 html:1 incorrectly:1 states:1 checks:1 see:1 filters:1 true:1 looks:1 result:1 hasty:1 copy:1 paste:1 old:1 version:1 proper:1 trunk:1 revision:1 view:1 markup:1 say:1 like:1 returns:1 logical:1 underlying:1 filter:1 return:1 value:1 arguments:1 patch:1 attached:1;patch:2 documentation:1 fixed:1 thanks:1;2009-04-26T17:31:43.000+0000;2009-04-26T19:25:22.000+0000;;1.4;2.0;2;2009-04-26T17:32:50.522+0000;2009-04-26T19:25:22.715+0000;0;1;2009-04-26T17:32:50.518+0000;2009-04-26T17:32:50.518+0000;1;2009-04-26T17:32:50.518+0000;2009-04-26T17:32:50.518+0000;;
IO;ASF;Apache Commons Committee;library;IO-204;Major;Closed;bjornharvold;;;manifest:1 invalid:1 syntax:1;package:2 version:2 uses:2 posted:1 issue:1 problem:1 manifest:1 io:1 specifies:1 export:1 import:1 invalid:1 syntax:1 extra:1 attributes:1 need:1 quotes:1 around:1 e:1 g:1 abc:1;commons:1 parent:1 pom:1 use:1 maven:1 bundle:1 generate:1 part:1 manifest:1 fix:1 next:1 release:1;2009-05-11T14:33:55.000+0000;2010-08-04T22:42:23.000+0000;;1.4;2.0;1;2010-08-04T22:42:23.019+0000;2010-08-04T22:42:23.019+0000;0;0;;;0;;;;
IO;ASF;Apache Commons Committee;library;IO-205;Major;Closed;trejkaz;;Utilities;unclear:1;file:10 directory:6 say:4 already:4 exists:4 normal:4 also:3 method:3 fail:2 checking:2 supposed:1 happen:1 path:1 misleadingly:1 fails:1 interpreted:1 mean:1 said:1 however:1 reality:1 passes:1 clarity:1 succeeds:1 probably:1 explicitly:1 instead:1 directories:1 files:1 internally:1 notice:1 existing:1 implementing:1 thing:1 situation:1 expect:1 pass:1 commons:1 implementation:1 maybe:1 trip:1 sun:1 documented:1 meaning:1 going:1 break:1 moment:1 someone:1 runs:1 exotic:1;file:5 also:4 directory:3 java:3 io:3 neither:2 may:2 true:2 apache:2 rev:2 commons:2 surely:1 possible:1 entry:1 maybe:1 check:1 later:1 perhaps:1 relevant:1 interested:1 existing:1 docs:1 say:1 impossible:1 false:1 think:1 part:1 oversight:1 assuming:1 fixed:1 updated:1 code:1 use:1 rather:1 url:1 http:1 view:1 log:1 unclear:1 modified:1 proper:1 trunk:1;2009-05-15T01:27:21.000+0000;2010-03-05T01:42:42.000+0000;;;2.0;3;2009-05-15T01:39:25.082+0000;2010-03-05T01:42:42.502+0000;0;0;;;0;;;;
IO;ASF;Apache Commons Committee;library;IO-206;Minor;Closed;jeremias@apache.org;niallp;Streams/Writers;misleading:1 parameter:1 names:1;public:4 read:2 byte:2 end:2 void:2 mark:2 following:1 method:1 signatures:1 length:1 especially:1 parameter:1 misinterpreted:1;patch:2 reason:1 currently:1 commit:1 io:1 trunk:1 attaching:1 fixed:1 thanks:1 http:1 apache:1 view:1 rev:1 revision:1;2009-05-18T16:46:18.000+0000;2009-05-18T19:40:35.000+0000;;2.0;2.0;2;2009-05-18T16:51:51.210+0000;2009-05-18T19:40:35.814+0000;0;1;2009-05-18T16:51:51.183+0000;2009-05-18T16:51:51.183+0000;0;;;;
IO;ASF;Apache Commons Committee;library;IO-207;Minor;Closed;luke-nuix;;Utilities;race:1 condition:1;directory:2 two:1 processes:1 threads:1 call:1 chance:1 one:1 throw:1 even:1 though:1 correctly:1 created:1 process:1 thread:1;io:3 patch:2 apache:2 rev:2 commons:2 java:2 small:1 fix:1 issue:1 thanks:1 applied:1 url:1 http:1 view:1 log:1 race:1 condition:1 modified:1 proper:1 trunk:1;2009-05-18T23:24:47.000+0000;2010-03-05T01:28:02.000+0000;;1.4;2.0;2;2009-05-18T23:25:30.338+0000;2010-03-05T01:28:02.510+0000;0;1;2009-05-18T23:25:30.305+0000;2009-05-18T23:25:30.305+0000;1;2009-05-18T23:25:30.305+0000;2009-05-18T23:25:30.305+0000;;
IO;ASF;Apache Commons Committee;library;IO-209;Major;Closed;adityakishore;niallp;Utilities;fails:1 return:1 correct:1 size:1 windows:1 mount:1 point:1;c:10 data:4 return:3 mounted:3 result:2 partition:2 free:2 space:2 path:2 blah:2 fails:1 correct:1 mount:1 point:1 junction:1 suppose:1 assume:1 call:1 running:1 given:1 code:1 retains:1 first:1 chars:1 e:1 de:1 called:1 incorrect:1;revision:4 windows:3 file:3 first:2 added:2 apache:2 view:2 names:2 wondering:1 line:1 put:1 place:1 comment:1 seems:1 make:1 work:1 indication:1 https:1 h:1 looks:1 like:1 done:1 contain:1 things:1 spaces:1 cause:1 command:1 fail:1 also:1 guess:1 whatever:1 directory:1 passed:1 gives:1 free:1 space:1 result:1 anyway:1 removed:1 code:1 takes:1 two:1 characters:1 path:1 quotes:1 around:1 name:1 resolves:1 problems:1 works:1 http:1;2009-07-23T10:36:48.000+0000;2010-09-29T19:33:44.000+0000;;3.x 2.0 1.4;2.0;2;2010-08-04T22:33:40.525+0000;2010-09-29T19:33:44.901+0000;0;1;2010-08-04T22:33:40.430+0000;2010-08-04T22:33:40.430+0000;1;2010-08-04T22:33:40.430+0000;2010-08-04T22:33:40.430+0000;;
IO;ASF;Apache Commons Committee;library;IO-212;Trivial;Closed;jukkaz;jukkaz;Streams/Writers;incorrect:1 skip:1;skip:2 method:2 number:2 bytes:2 skipped:2 documents:1 return:1 value:1 end:1 stream:1 underlying:1 returns:1 actual:1 e:1 never:1;fixed:1 revision:1;2009-08-17T21:43:36.000+0000;2009-08-17T21:44:31.000+0000;;1.4;2.0;1;2009-08-17T21:44:31.235+0000;2009-08-17T21:44:31.235+0000;0;0;;;0;;;;
IO;ASF;Apache Commons Committee;library;IO-213;Trivial;Closed;robertc;;Utilities;implement:1 string:1 well:1 instead:1;nicer:1 cast:1 object:1 every:1 pass:1 loop:1 outputs:1 strings:1 trivial:1;fixed:1;2009-08-19T05:26:44.000+0000;2010-03-05T01:21:19.000+0000;;;2.0;1;2010-03-05T01:21:19.143+0000;2010-03-05T01:21:19.143+0000;0;0;;;0;;;;
