Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-24;Major;Resolved;abayer;abayer;jclouds-core;add:1 apache:1 rat:1 check:1 top:1 level:1 pom:1;need:2 failures:2 add:1 apache:1 rat:1 pom:1 ideally:1 build:1 process:1 catch:1 violations:1 bite:1 us:1 release:1 time:1 said:1 adding:1 result:1 also:1 deal:1;pom:8 patch:5 poms:5 build:4 x:4 project:4 apache:4 rat:3 first:3 pushed:3 repository:3 exclude:3 going:3 need:3 git:3 space:3 prefer:3 right:3 check:2 also:2 see:2 needs:2 test:2 resources:2 get:2 ignore:2 line:2 new:2 getting:2 version:2 looks:2 like:2 https:2 yeah:2 switch:2 much:2 switching:2 dependency:2 parent:2 many:2 licenses:2 leave:2 indent:2 throughout:2 work:2 adds:1 akin:1 used:1 whirr:1 attached:1 output:1 run:1 cleaned:1 filtering:1 qualify:1 reasonable:1 approach:1 entirely:1 sure:1 probably:1 mentors:1 give:1 thoughts:1 delete:1 old:1 code:1 sense:1 discussions:1 stuff:1 updated:1 pass:1 demos:1 basically:1 empty:1 think:1 whoops:1 wrong:1 fails:1 due:1 workspace:1 private:1 maven:1 let:1 reviewed:1 branches:1 well:1 applying:1 following:1 master:1 latest:1 file:1 runs:1 fine:1 workstation:1 sorry:1 round:1 seeing:1 uses:1 spaces:1 instead:1 rest:1 specify:1 already:1 us:1 p:1 incubator:1 blob:1 f:1 h:1 hb:1 hate:1 indents:1 silly:1 makes:1 things:1 hard:1 read:1 common:1 strong:1 advocate:1 declaring:1 versions:1 place:1 show:1 tree:1 control:1 go:1 look:1 eventually:1 end:1 inheriting:1 management:1 dependencies:1 wanted:1 done:1 oh:1 wait:1 preference:1 either:1 way:1 nice:1 consistent:1 nit:1 though:1 ps:1 main:1 failing:1 message:1 failed:1 execute:1 goal:1 default:1 cause:1 ci:1 job:1 changes:1 second:1 directory:1 sounds:1 perfect:1 works:1 watching:1;2013-05-10T20:03:14.000+0000;2013-05-10T21:53:29.000+0000;;1.7.0;1.7.0;19;2013-05-10T20:04:54.344+0000;2013-05-12T14:52:50.324+0000;0;5;2013-05-10T20:04:54.338+0000;2013-05-10T23:34:47.541+0000;4;2013-05-10T20:04:54.338+0000;2013-05-10T23:34:47.541+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-27;Major;Resolved;gaul;gaul;jclouds-blobstore;allow:1 repeatable:1 payload:1 input:1;repeatable:3 fails:2 payload:2 part:1 upload:1 retry:1 unexpectedly:1 due:1 converting:1 non:1;pushed:2 looks:1 straightforward:1 x:1;2013-05-10T21:36:47.000+0000;2013-05-10T23:00:04.000+0000;;1.7.0;1.7.0;3;2013-05-10T21:44:39.851+0000;2013-05-17T16:42:10.999+0000;0;1;2013-05-10T21:38:03.282+0000;2013-05-10T21:38:03.282+0000;1;2013-05-10T21:38:03.282+0000;2013-05-10T21:38:03.282+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-35;Blocker;Resolved;abayer;;jclouds-labs;labs:1 many:1 rat:1 check:1 failures:1 x:1 master:1;rat:2 incubator:2 labs:2 many:1 check:1 failures:1 master:1 x:1 see:1 run:1 clean:1 install:1 top:1 level:1 look:1 target:1 means:1 bunch:1 files:1 missing:1 invalid:1 license:1 headers:1;pull:4 x:2 request:2 https:2 labs:2 master:2 pushed:1;2013-05-13T21:03:03.000+0000;2013-05-14T16:28:19.000+0000;;1.7.0 1.6.1;1.7.0 1.6.1;4;2013-05-14T00:06:31.349+0000;2013-05-14T16:28:19.584+0000;0;0;;;0;;;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-37;Major;Resolved;abayer;abayer;jclouds-core;fix:1 rat:1 violations:1 incubator:1;original:1 configuration:1 actually:1 work:1 right:1 rat:1 check:1 tweaked:1 locally:1 found:1 ton:1 failures:1 pull:1 requests:1 incoming:1;x:6 pull:6 request:3 https:3 master:3 pushed:2 pending:1 deployed:1 new:1 prs:1;2013-05-13T23:32:21.000+0000;2013-05-14T17:54:18.000+0000;;1.7.0 1.6.1 1.5.10;1.7.0 1.6.1;6;2013-05-13T23:34:23.672+0000;2013-05-14T17:54:18.069+0000;0;0;;;0;;;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-41;Major;Resolved;andrewp;andrewp;jclouds-karaf;fix:1 compilation:1 failure:1;https:2 currently:1 fails:1 build:1 ci:1 view:1 integrations:1 job:1 console:1 see:1 pull:1;https:14 git:13 x:12 patch:10 apache:6 incubator:5 apply:4 commit:4 also:4 chef:4 comment:4 issue:3 pull:3 cherry:3 pick:3 still:3 problem:3 core:3 us:3 p:3 h:3 job:3 supplementary:3 issues:3 browse:3 required:3 push:2 like:2 master:2 far:2 source:2 truth:2 attaching:2 workflow:2 previous:2 reproduce:2 change:2 line:2 build:2 sorry:2 least:2 page:2 system:2 applied:2 tests:2 failing:2 java:2 compiling:2 ensure:1 correctly:1 guessing:1 following:1 clone:1 fetch:1 hash:1 commits:1 origin:1 understood:1 requirements:1 attached:1 anywhere:1 guess:1 question:1 assuming:1 goes:1 wrong:1 ends:1 corrupt:1 approach:1 merge:1 succeed:1 acceptable:1 make:1 point:1 view:1 unreproducible:1 time:1 ago:1 way:1 go:1 offered:1 allowed:1 user:1 give:1 code:1 grant:1 gone:1 projects:1 directly:1 prs:1 right:1 mentor:1 clarify:1 thanks:1 input:1 looking:1 seems:1 use:1 patches:1 updated:1 using:1 suggested:1 commands:1 weird:1 another:1 compilation:1 failure:1 hidden:1 one:1 services:1 console:1 trying:1 locally:1 perhaps:1 recent:1 submit:1 yes:1 part:1 removed:1 methods:1 marked:1 deprecated:1 versions:1 problematic:1 builder:1 group:1 know:1 going:1 crazy:1 imaging:1 compiled:1 created:1 pr:1 handle:1 new:1 failures:1 note:1 update:1 feature:1 work:1 builds:1 ci:1 blocked:1 upstream:1 missing:1 first:1 actually:1 call:1 explicitly:1 provides:1 context:1 type:1 desired:1 blob:1 main:1 see:1 brings:1 second:1 seem:1 fine:1 though:1 yay:1 fantastic:1;2013-05-14T17:20:00.000+0000;2013-05-16T19:35:01.000+0000;;1.7.0;1.7.0;20;2013-05-14T23:41:53.399+0000;2013-05-16T19:43:03.611+0000;0;3;2013-05-14T22:40:48.879+0000;2013-05-15T20:39:16.463+0000;3;2013-05-14T22:40:48.879+0000;2013-05-15T20:39:16.463+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-42;Minor;Closed;gaul;gaul;jclouds-cli;cli:1 map:1 exit:1 code:1;error:2 mapping:1 gives:1 human:1 users:1 better:1 message:1 allows:1 callers:1 e:1 g:1 shell:1 scripts:1 retry:1 kind:1;committed:1 master:1 x:1;2013-05-14T18:16:34.000+0000;2013-05-15T20:33:50.000+0000;;1.6.0;1.6.1;1;2013-05-15T20:33:30.074+0000;2013-05-15T20:33:30.074+0000;0;1;2013-05-14T18:28:58.018+0000;2013-05-14T18:28:58.018+0000;1;2013-05-14T18:28:58.018+0000;2013-05-14T18:28:58.018+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-44;Major;Resolved;gaul;gaul;jclouds-blobstore;translate:1;;pushed:1 master:1 x:1;2013-05-14T22:49:46.000+0000;2013-05-17T17:56:32.000+0000;;1.6.0;1.7.0 1.6.1;1;2013-05-17T17:56:32.439+0000;2013-05-17T17:56:32.439+0000;0;1;2013-05-14T22:58:31.150+0000;2013-05-14T22:58:31.150+0000;1;2013-05-14T22:58:31.150+0000;2013-05-14T22:58:31.150+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-45;Minor;Closed;gaul;gaul;jclouds-cli;cli:1 map:1 exit:1 code:1;error:2 mapping:1 gives:1 human:1 users:1 better:1 message:1 allows:1 callers:1 e:1 g:1 shell:1 scripts:1 handle:1 appropriate:1;committed:1 master:1 x:1;2013-05-14T23:08:49.000+0000;2013-05-15T20:34:21.000+0000;;1.6.0;1.6.1;2;2013-05-14T23:24:12.237+0000;2013-05-15T20:34:21.537+0000;0;1;2013-05-14T23:10:27.635+0000;2013-05-14T23:10:27.635+0000;1;2013-05-14T23:10:27.635+0000;2013-05-14T23:10:27.635+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-46;Blocker;Resolved;ke4qqq;nacx;;add:1 incubator:1 disclaimer:1 branches:1 release:1 expected:1;apache:5 disclaimer:3 incubator:3 incubation:3 git:3 file:2 projects:2 called:1 root:1 branch:1 release:1 expected:1 see:1 section:1 http:1 guides:1 branding:1 html:1 content:1 clouds:1 effort:1 undergoing:1 software:1 foundation:1 sponsored:1 required:1 newly:1 accepted:1 review:1 indicates:1 infrastructure:1 communications:1 decision:1 making:1 process:1 stabilized:1 manner:1 consistent:1 successful:1 status:1 necessarily:1 reflection:1 completeness:1 stability:1 code:1 indicate:1 project:1 yet:1 fully:1 endorsed:1 already:1 exists:1 master:1 x:1 branches:1 https:1 us:1 p:1 blob:1 f:1 h:1 hb:1 head:1;x:3 also:2 apply:1 attached:1 patch:1 master:1 mind:1 done:1;2013-05-15T02:29:33.000+0000;2013-05-15T14:16:02.000+0000;;;;3;2013-05-15T07:41:21.234+0000;2013-05-15T14:16:02.300+0000;0;1;2013-05-15T07:39:44.942+0000;2013-05-15T07:39:44.942+0000;1;2013-05-15T07:39:44.942+0000;2013-05-15T07:39:44.942+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-51;Major;Closed;andrewp;andrewp;jclouds-karaf;fix:1 integration:1 tests:1;integration:2 tests:2 build:2 https:2 ci:2 view:2 integrations:2 job:2 compiles:1 see:1 nice:1 worked:1 currently:1 failing:1 explains:1 assume:1 artifacts:1 installed:1 local:1 maven:1 repository:1 found:1 fail:1 options:1 make:1 sure:1 using:1 install:1 goal:1 look:1 features:1 module:1 target:1 x:1 branch:1;git:6 https:5 features:3 us:3 apache:3 p:3 incubator:3 commit:3 h:3 java:2 job:2 ported:2 x:2 hm:1 looks:1 like:1 still:1 looking:1 old:1 group:1 id:1 root:1 snapshot:1 ha:1 blob:1 master:1 test:1 updated:1 testing:1 change:1 currently:1 blocked:1 success:1 patch:1 applied:1 really:1 glad:1 hear:1;2013-05-15T23:08:48.000+0000;2013-05-20T20:33:51.000+0000;;1.7.0 1.6.1 1.5.10;1.7.0 1.6.1;7;2013-05-15T23:35:39.481+0000;2013-05-16T22:24:14.108+0000;0;1;2013-05-16T22:03:25.440+0000;2013-05-16T22:03:25.440+0000;1;2013-05-16T22:03:25.440+0000;2013-05-16T22:03:25.440+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-52;Major;Closed;andrewp;andrewp;jclouds-core;update:1 group:1 id:1 change:1 apache:1;java:5 file:3 core:3 pom:2 properties:2 maven:2 google:2 preconditions:2 retrieves:1 information:1 generated:1 path:1 includes:1 group:1 id:1 project:1 changed:1 resulting:1 unable:1 find:1 required:1 caused:1 common:1 base:1 guava:1 snapshot:1 https:1 blob:1 master:1 main:1;git:6 x:4 https:3 us:3 apache:3 p:3 incubator:3 commit:3 h:3 applied:2 patch:1 yeah:1 corresponds:1 directly:1 published:1 artifact:1 java:1 packages:1;2013-05-16T16:14:39.000+0000;2013-05-16T19:33:01.000+0000;;1.7.0 1.6.1 1.5.10;1.7.0 1.6.1;6;2013-05-16T17:48:25.845+0000;2013-05-16T20:04:37.444+0000;0;1;2013-05-16T17:29:38.954+0000;2013-05-16T17:29:38.954+0000;1;2013-05-16T17:29:38.954+0000;2013-05-16T17:29:38.954+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-56;Major;Closed;andrewp;andrewp;jclouds-cli;fix:1 cli:1 build:1 tests:1;cli:7 ci:4 https:3 view:3 job:3 x:2 branch:2 three:1 builds:1 currently:1 broken:1;cli:12 https:10 x:8 git:6 apache:5 features:4 commit:4 see:4 patch:4 run:4 windows:4 master:3 labs:3 pull:3 job:3 applied:3 us:3 p:3 incubator:3 h:3 made:3 think:3 build:2 assembly:2 pom:2 snapshot:2 removed:2 view:2 seems:2 problem:2 related:2 builds:2 together:2 able:2 sense:2 look:1 weekend:1 beat:1 main:1 currently:1 failing:1 caused:1 java:1 unable:1 find:1 feature:1 guessing:1 coming:1 blob:1 indeed:1 listed:1 repository:1 content:1 repositories:1 snapshots:1 disappeared:1 actually:1 added:1 remove:1 compiles:1 ci:1 different:1 resolve:1 bundle:1 glad:1 working:1 thanks:1 andrew:1 pushed:1 fix:1 suspect:1 mistake:1 side:1 opened:1 request:1 additional:1 issues:1 trying:1 gaul:1 pr:1 good:1 go:1 open:1 issue:1 add:1 originally:1 tests:1 also:1 already:1 closed:1 mentioned:1 change:1 prerequisite:1 done:1;2013-05-16T22:10:35.000+0000;2013-05-17T03:39:19.000+0000;;1.7.0 1.6.1 1.5.10;1.7.0 1.6.1;19;2013-05-16T22:17:15.211+0000;2013-05-24T01:35:53.236+0000;0;2;2013-05-17T00:32:12.016+0000;2013-05-17T03:09:53.979+0000;2;2013-05-17T00:32:12.016+0000;2013-05-17T03:09:53.979+0000;;
JCLOUDS;ASF;Apache jclouds Committee;cloud;JCLOUDS-75;Major;Closed;andrewp;;;update:1 allow:1 incubating:1 release:1 versions:1;x:6 z:4 n:3 currently:1 supports:1 snapshot:1 alpha:1 beta:1 versions:1 need:1 adapted:1 support:1 new:1 incubating:1 version:1 upcoming:1 release:1 see:1 http:1 mail:1 archives:1 apache:1 incubator:1 open:1 questions:1;https:6 git:6 x:6 pull:4 patch:4 applied:3 us:3 apache:3 p:3 incubator:3 commit:3 h:3 see:1 attached:1 thanks:1 master:1 guess:1 yes:1 please:1 request:1 away:1 friend:1 waiting:1 applying:1 change:1;2013-05-20T21:19:04.000+0000;2013-05-22T10:46:38.000+0000;;1.7.0 1.6.1 1.5.10;1.7.0 1.6.1;7;2013-05-21T04:16:57.889+0000;2013-05-22T10:46:24.321+0000;0;1;2013-05-21T04:17:34.967+0000;2013-05-21T04:17:34.967+0000;1;2013-05-21T04:17:34.967+0000;2013-05-21T04:17:34.967+0000;;
