Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-5;Major;Resolved;tomwhite;tomwhite;Core;fix:1 provider:1 following:1 changes:1;http:2 www:2 changed:1 compliant:1 current:1 spec:1 instead:1 use:1;patch:2 tests:2 updated:2 preliminary:1 fixes:1 also:1 changes:1 parsing:1 logic:1 ip:1 addresses:1 structure:1 changed:1 yet:1 new:1 ready:1 commit:1 committed:1 paul:1;2010-01-14T19:04:20.000+0000;2010-02-03T05:36:24.000+0000;;;;3;2010-01-14T19:08:11.756+0000;2010-02-03T05:36:24.277+0000;0;2;2010-01-14T19:08:11.672+0000;2010-01-28T23:28:27.114+0000;2;2010-01-14T19:08:11.672+0000;2010-01-28T23:28:27.114+0000;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-9;Major;Resolved;pquerna;jerry@apache.org;;list:1 locations:1 wrong:1;returns:2 dallas:1 objects:1 things:1 like:1 sydney:1 names:1 implying:1 plain:1 wrong:1;fixed:1 trunk:1;2010-02-09T03:12:34.000+0000;2010-02-11T01:02:37.000+0000;;0.2.0;0.2.0;1;2010-02-11T01:02:37.709+0000;2010-02-11T01:02:37.709+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-16;Minor;Resolved;kylemurph;jerry@apache.org;Website;link:1 mailing:1 list:1 developer:1 information:1 page:1 points:1 wrong:1 email:1 address:1;link:4 incubator:3 apache:3 points:3 result:2 subscribe:2 http:1 html:1 hover:1 main:1 mailing:1 list:1 view:1 bottom:1 browser:1 see:1 expected:1 actual:1 spelled:1 incorrectly:1;fixed:1 revision:1;2010-04-01T02:18:42.000+0000;2010-04-01T02:58:21.000+0000;;;;1;2010-04-01T02:58:21.916+0000;2010-04-01T02:58:21.916+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-21;Major;Closed;gmcdonald;;;test:1;test:1;test:1 complete:1 setting:1 permissions:1 project:1 solved:1 problem:1;2010-04-26T00:29:54.000+0000;2010-04-27T07:45:35.000+0000;;;;1;2010-04-27T07:45:35.051+0000;2010-04-27T07:45:35.051+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-23;Major;Resolved;pquerna;jerry@apache.org;Core;support:1 needs:1 improvement:1;needs:2 currently:1 support:1 busted:1 throws:1 exception:1 looks:1 like:1 need:1 better:1 wrapping:1 use:1 disk:1 size:1 example:1 lots:1 custom:1 going:1 unification:1 standard:1;method:1 improved:1 test:1 cases:1 lacking:1 time:1 closing:1 issue:1 meantime:1 cheers:1 report:1;2010-05-04T22:16:44.000+0000;2011-01-04T07:06:39.000+0000;;0.3.0;0.4.1;1;2011-01-04T07:06:39.195+0000;2011-01-04T07:06:39.195+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-25;Major;Resolved;sebb;jerry@apache.org;;test:1 suite:1 fails:1;file:7 line:7 c:5 setup:4 test:3 module:3 python:2 self:2 run:2 name:2 fails:1 running:1 recent:1 call:1 last:1 topic:1 software:1 development:1 libraries:1 modules:1 core:1 tests:1 suites:1 names:1 parent:1 part:1 object:1 attribute:1;test:10 secrets:8 file:4 hacking:2 copy:2 fixed:2 trunk:2 suite:2 check:2 message:2 error:2 noted:1 sorry:1 actually:1 mentioned:1 copying:1 fixes:1 imo:1 present:1 print:1 suitable:1 current:1 give:1 clue:1 write:1 found:1 minor:1 problem:1 case:1 fix:1 maybe:1 forgot:1 note:1 additional:1 source:1 extension:1 back:1 thanks:1;2010-05-06T22:27:33.000+0000;2010-12-24T21:51:10.000+0000;;0.3.0;;7;2010-05-06T22:29:27.486+0000;2010-12-24T21:51:10.852+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-26;Minor;Resolved;sebb;jerry@apache.org;;missing:1 properties:1;source:1 files:1 missing:1 style:1 native:1 properties:1 patch:1 follow:1;trunk:2 issue:1 fixed:1 resolved:1;2010-05-07T14:45:37.000+0000;2010-05-08T12:30:30.000+0000;;0.3.0;;2;2010-05-07T18:56:42.423+0000;2010-05-08T12:30:30.749+0000;0;1;2010-05-07T14:47:02.041+0000;2010-05-07T14:47:02.041+0000;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-27;Minor;Resolved;sebb;jerry@apache.org;;download:1 page:1 link:1 keys:1 file:1;http:1 incubator:1 apache:1 downloads:1 html:1 fails:1 include:1 link:1 keys:1 file:1 also:1 provide:1 instructions:1 use:1 hashes:1;keys:5 http:4 https:4 use:3 file:3 instructions:2 added:2 incubator:2 apache:2 link:2 provide:2 fixed:1 awhile:1 back:1 still:1 useful:1 details:1 hashes:1 downloads:1 html:1 feedback:1 welcome:1 cheers:1 look:1 good:1 uses:1 www:1 ideally:1 better:1 think:1 one:1 argue:1 providing:1 gives:1 protection:1 certification:1 identity:1 requires:1 slightly:1 resources:1 links:1 know:1 benefit:1 authentication:1 contents:1 ignore:1 fine:1 probably:1 adopted:1 projects:1 want:1 guard:1 attack:1 happened:1 twice:1 past:1;2010-05-07T15:25:15.000+0000;2010-12-24T20:31:22.000+0000;;0.2.0;;7;2010-06-28T18:09:09.267+0000;2010-12-31T01:22:44.861+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-28;Trivial;Resolved;sebb;;Website;keys:1 file:1 refers:1;apache:2 http:1 www:1 incubator:1 keys:1 refers:1;fixed:1 waiting:1 sync:1 https:1 apache:1 release:1 incubator:1 keys:1;2010-05-08T11:43:02.000+0000;2010-05-08T17:58:37.000+0000;;;;1;2010-05-08T17:58:37.855+0000;2010-05-08T17:58:37.855+0000;0;0;;;0;;;;
LIBCLOUD;ASF;Apache Libcloud Committee;cloud;LIBCLOUD-29;Trivial;Closed;kylemurph;;;typo:1 downloads:1 page:1;result:2 released:2 may:2 release:1 date:1 extra:1 within:1 year:1 actual:1 expected:1;fixed:1 thanks:1;2010-05-11T21:20:12.000+0000;2010-05-11T22:26:12.000+0000;;;;1;2010-05-11T22:26:12.392+0000;2010-05-11T22:26:12.392+0000;0;0;;;0;;;;
