Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-48;Major;Closed;jvasileff;rgoers;API;;message:3 methods:2 void:2 info:2 objects:1 capable:1 identifying:1 provided:1 last:1 parameter:1 like:1 string:1 object:1 properly:1 logged:1 addition:1 logger:1 may:1 specified:1 types:1 support:1 msg:1 see:1 http:1 mail:1 archives:1 apache:1 logging:1;message:3 issue:3 interface:2 properly:2 resolved:2 patch:1 add:1 remove:1 logger:1 methods:1 accept:1 corrected:1 bridge:1 pass:1 included:1 logged:1 actual:1 defect:1 raised:1 include:1 create:1 new:1 separate:1 topic:1 previous:1 comment:1 marking:1 fixed:1 closing:1 comments:1 marked:1;2011-09-16T17:22:03.000+0000;2011-09-18T06:38:48.000+0000;;0.1;0.1;4;2011-09-16T17:25:41.743+0000;2012-07-11T20:14:17.571+0000;0;1;2011-09-16T17:25:41.694+0000;2011-09-16T17:25:41.694+0000;1;2011-09-16T17:25:41.694+0000;2011-09-16T17:25:41.694+0000;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-49;Major;Closed;jvasileff;rgoers;API;double:1 message:1 formatting:1 w:1;info:8 format:5 formated:5 twice:5 main:4 null:3 marker:2 string:2 message:2 works:2 fails:2 implements:1 public:1 void:1 log:1 level:1 object:1 callers:1 method:1 advance:1 also:1 performs:1 formatting:1 example:1 output:1;two:2 implementation:2 issue:2 using:2 really:1 opened:1 separate:1 issues:1 identified:1 problems:1 formats:1 twice:1 one:1 parameters:1 contains:1 tested:1 consider:1 reference:1 behaves:1 less:1 way:1 regarding:1 inserted:1 fixing:1 second:1 item:1 output:1 logged:1 formatting:1 incorrectly:1 corrected:1 also:1 point:1 rather:1 appropriate:1 underlying:1 closing:1 updates:1 marked:1 resolved:1;2011-09-16T17:46:49.000+0000;2011-09-18T03:27:43.000+0000;;;;3;2011-09-18T03:27:43.583+0000;2012-07-11T20:13:33.639+0000;0;0;;;0;;;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-50;Major;Closed;jvasileff;rgoers;Core;incorrect:1 c:1 output:1;c:8 info:6 test:6 category:4 main:4 handled:2 fails:2 l:2 java:2 fully:1 qualified:1 class:1 name:1 must:1 set:1 correctly:1 support:1 conversions:1 like:1 cases:1 information:1 incorrect:1 think:1 related:1 allowing:1 overridden:1 log:1 methods:1 subclass:1 example:1 works:1 overrides:1 method:1 output:1;patch:6 category:5 log:4 test:3 code:3 methods:3 problems:2 problem:2 use:2 using:2 apache:2 private:2 static:2 final:2 logger:2 class:2 order:2 able:2 correct:2 application:2 method:2 string:2 subclasses:2 data:2 subclass:2 marker:2 level:2 corrected:1 probably:1 also:1 corrects:1 assume:1 meant:1 however:1 appropriate:1 component:1 underlying:1 implementation:1 actually:1 original:1 report:1 puzzle:1 determine:1 passed:1 mine:1 failed:1 looked:1 like:1 import:1 logging:1 turns:1 loggers:1 created:1 changed:1 result:1 see:1 get:1 results:1 flipping:1 calls:1 resolved:1 longer:1 extends:1 remains:1 logic:1 builds:1 patches:1 note:1 temporarily:1 causes:1 new:1 case:1 fail:1 forthcoming:1 fixes:1 root:1 cause:1 comments:1 cleanup:1 make:1 sure:1 facing:1 resolves:1 unit:1 failure:1 c:1 pattern:1 removed:1 previously:1 override:1 caused:1 incorrect:1 location:1 called:1 directly:1 e:1 overridden:1 introduce:1 call:1 message:1 applied:1 please:1 verify:1 close:1;2011-09-16T17:55:18.000+0000;2011-09-27T06:35:21.000+0000;;;;4;2011-09-18T06:33:56.848+0000;2011-09-27T06:35:21.388+0000;0;1;2011-09-19T01:19:13.223+0000;2011-09-19T01:19:13.223+0000;1;2011-09-19T01:19:13.223+0000;2011-09-19T01:19:13.223+0000;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-51;Blocker;Closed;jvasileff;rgoers;log4j 1.2 emulation;category:1 logger:1;category:2 created:2 name:1 previously:1 logger:1 occurs:1 calling:1 see:1 additional:1 symptoms:1;info:17 logger:14 factory:11 test:6 category:6 success:6 patch:5 fix:4 cached:4 name:4 type:4 new:3 class:3 custom:3 created:3 loggers:3 returned:3 remove:3 apache:3 problem:2 returning:2 context:2 code:2 provided:2 create:2 using:2 attaching:2 dangerous:2 override:2 one:2 used:2 applied:2 build:2 clean:2 log:2 time:2 attached:1 case:1 issue:1 commit:1 notes:1 creating:1 instances:1 passed:1 casted:1 uses:1 simply:1 different:1 occur:1 operations:1 called:1 series:1 support:1 factories:1 following:1 string:1 guaranteed:1 value:1 specifying:1 diminished:1 guarantee:1 instance:1 exists:1 behavior:1 defined:1 caller:1 wins:1 race:1 determine:1 patches:1 still:1 throwing:1 addition:1 second:1 unit:1 failing:1 believe:1 said:1 error:1 fixed:1 yes:1 required:1 occurring:1 wonder:1 due:1 interaction:1 mix:1 old:1 versions:1 like:1 happened:1 cleared:1 git:1 head:1 cleanup:1 add:1 enhance:1 comments:1 message:1 correct:1 reactor:1 summary:1 core:1 compatibility:1 binding:1 commons:1 logging:1 successful:1 total:1 minute:1 seconds:1 finished:1 mon:1 sep:1 final:1 memory:1 cat:1 target:1 reports:1 set:1 tests:1 run:1 failures:1 errors:1 skipped:1 elapsed:1 sec:1 please:1 verify:1 close:1;2011-09-19T01:10:05.000+0000;2011-09-27T06:34:31.000+0000;;;;7;2011-09-19T01:11:22.703+0000;2011-09-27T06:34:31.664+0000;0;3;2011-09-19T01:11:22.682+0000;2011-09-19T01:15:30.219+0000;3;2011-09-19T01:11:22.682+0000;2011-09-19T01:15:30.219+0000;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-52;Minor;Closed;jvasileff;;Core;test:1 requires:1 initial:1 install:1;apache:18 snapshot:14 logging:12 core:12 repository:11 jar:11 tests:9 test:8 file:7 repositories:5 http:5 snapshots:5 install:4 https:4 content:4 releases:4 info:4 java:3 downloading:3 error:3 path:3 deploy:3 required:2 maven:2 version:2 home:2 os:2 mac:2 unable:2 resource:2 url:2 missing:2 artifact:2 run:1 example:1 rf:1 m2:1 v:1 library:1 contents:1 default:1 locale:1 platform:1 encoding:1 name:1 x:1 arch:1 family:1 warning:1 get:1 transferring:1 server:1 response:1 code:1 find:1 build:1 failed:1 resolve:1 dependencies:1 one:1 projects:1 reactor:1 reason:1 try:1 manually:1 project:1 website:1 using:1 command:1 alternatively:1 host:1 id:1 dependency:1 specified:1 remote:1 central:1;test:5 know:3 maven:2 jar:2 classes:2 phase:2 goal:2 afraid:1 way:1 fix:1 find:1 artifact:1 installed:1 alternative:1 copy:1 like:1 every:1 trouble:1 spots:1 bootstrap:1 difficulty:1 install:1 first:1 operations:1 may:1 execute:1 stale:1 found:1 adding:1 execution:1 makes:1 work:1 seems:1 ugly:1 see:1 also:1 http:1 browse:1 appears:1 fixed:1 closing:1 comments:1 marked:1 resolved:1;2011-09-26T15:47:43.000+0000;2012-05-01T06:24:08.000+0000;;;;4;2011-09-27T06:37:46.013+0000;2012-07-11T20:22:27.893+0000;0;0;;;0;;;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-56;Minor;Closed;johnowenatala;rgoers;API;level:2 throws:1 instead:1 returning:1 default:1;level:8 return:5 string:3 exception:3 try:3 catch:3 instead:2 like:2 b:2 apache:1 logging:1 java:1 line:1 uses:1 static:1 method:1 throws:1 returning:1 null:1 exists:1 makes:1 methods:1 throw:1 default:1 value:1 solution:1 statement:1 e:1 matter:1 translate:1 manually:1 de:1 constant:1 values:1 name:1 equals:1 prefer:1 saves:1 context:1 nearly:1;verify:2 thanks:1 created:1 unit:1 test:1 problem:1 resolved:1 using:1 option:1 b:1 please:1 close:1 verified:1;2012-02-02T19:37:25.000+0000;2012-02-03T07:27:03.000+0000;;0.1;;2;2012-02-03T07:27:03.339+0000;2012-02-03T19:21:31.122+0000;0;0;;;0;;;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-59;Major;Closed;tgkprog;rgoers;Core;test:1 fail:1 mar:1;see:2 zip:2 got:1 code:1 trunk:1 ran:1 bat:1 clean:1 install:1 attached:1 cant:1 attach:1 files:1 need:1 special:1 rights:1 http:1 pages:1 reports:1 console:1;server:4 windows:3 however:3 performance:3 able:2 os:2 x:2 old:2 linux:2 machine:2 better:2 hotspot:2 nanoseconds:2 iteration:2 making:2 changes:2 recreate:1 address:1 unit:1 test:1 failures:1 noticed:1 considerably:1 slower:1 even:1 need:1 dig:1 see:1 performs:1 running:1 issues:1 raised:1 fixed:1 deal:1 separate:1 issue:1 discovered:1 adding:1 debug:1 command:1 line:1 yields:1 similar:1 implication:1 benefitting:1 greatly:1 compiler:1 default:1 probably:1 also:1 explains:1 tried:1 profiling:1 eliminate:1 finding:1 hot:1 spots:1 made:1 absolutely:1 difference:1 already:1 eliminating:1 manually:1 might:1 bring:1 client:1 mode:1 closer:1 closing:1 make:1 sure:1 recommendation:1 always:1 use:1;2012-03-20T19:51:04.000+0000;2012-03-26T20:18:58.000+0000;;0.1;2.0-alpha1;3;2012-03-26T20:18:58.518+0000;2012-08-30T07:33:48.917+0000;0;0;;;0;;;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-61;Major;Closed;ronghai.ma;rgoers;;error:1 http:1 logging:1 apache:1 index:1 html:1;found:2 server:2 apache:2 requested:1 url:1 index:1 html:1 unix:1 logging:1 port:1;sure:1 linked:1 created:1 link:1 actual:1 location:1 done:1;2012-07-14T05:36:07.000+0000;2012-07-14T18:01:42.000+0000;;;2.0-alpha1;2;2012-07-14T18:01:42.167+0000;2012-07-23T06:06:58.655+0000;0;0;;;0;;;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-64;Major;Closed;ivan.anev;rgoers;Core;working:1;java:27 apache:7 logging:7 logger:6 net:5 test:4 core:4 class:3 main:3 method:3 import:2 public:2 static:2 final:2 error:2 native:2 security:2 run:2 launcher:2 log:2 even:1 simple:1 example:1 private:1 void:1 string:1 testing:1 results:1 exception:1 thread:1 overrides:1 v:1 access:1 sun:1;committed:1 fixes:1 revision:1 compiles:1 unit:1 tests:1 pass:1 java:1 please:1 verify:1 works:1;2012-08-07T22:48:07.000+0000;2012-08-08T06:31:16.000+0000;;2.0-alpha1;2.0-alpha2;1;2012-08-08T06:31:16.950+0000;2012-08-08T06:31:16.950+0000;0;0;;;0;;;;
LOG4J2;ASF;Apache Logging Services Committee;library;LOG4J2-65;Major;Closed;rgoers;rgoers;Core;variables:1 supported:1 status:1 attribute:1 occurs:1 variable:1 specified:1 root:1 log:1 level:1;console:4 configuration:3 root:3 level:3 log:2 name:2 loggers:2 ref:2 following:1 causes:1 message:1 null:1 object:1 returned:1 version:1 encoding:1 status:1 strict:1 false:1 packages:1 target:1 pattern:1 msg:1 n:1;variables:1 supported:1 status:1 attribute:1 fixed:1 null:1 pointer:1 exception:1 using:1 variable:1 log:1 level:1;2012-08-08T04:24:34.000+0000;2012-08-08T04:29:41.000+0000;;2.0-alpha1;2.0-alpha2;1;2012-08-08T04:29:41.501+0000;2012-08-08T04:29:41.501+0000;0;0;;;0;;;;
