Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
MATH;ASF;Apache Commons Committee;library;MATH-238;Minor;Closed;chsemrau;;;u:2 v:2 fails:1 contain:1 high:1 power:1;u:4 v:4 test:2 zero:2 beginning:1 arguments:1 equal:1 fails:1 contain:1 high:1 enough:1 powers:1 product:1 overflows:1 fix:1 replace:1 start:1;fixed:1 trunk:1 thanks:1 report:1;2009-01-16T22:24:24.000+0000;2009-01-16T23:07:17.000+0000;;2.0;;1;2009-01-16T23:07:17.149+0000;2009-01-16T23:07:17.149+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-240;Minor;Closed;chsemrau;psteitz;;n:2 factorial:1 fails:1;result:3 long:3 n:2 factorial:1 wrong:1 probably:1 rounding:1 errors:1 double:1 calculations:1 replace:1 first:1 line:1 check:1 valid:1 arguments:1 see:1 failure:1 suggest:1 implementing:1 simple:1 loop:1 multiply:1 even:1 using:1 instead:1 adding:1 logarithms:1;thanks:1 reporting:1 fixed:1;2009-01-16T22:43:04.000+0000;2009-01-19T19:43:52.000+0000;;2.0;2.0;1;2009-01-19T19:43:52.673+0000;2009-01-19T19:43:52.673+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-241;Major;Closed;chsemrau;psteitz;;n:1 k:1 fails:1 large:1 results:1;directly:2 expected:2 test:2 probably:1 due:1 rounding:1 errors:1 n:1 k:1 fails:1 results:1 near:1 long:1 existence:1 failures:1 demonstrated:1 testing:1 recursive:1 property:1 using:1 externally:1 calculated:1 hopefully:1 correct:1 value:1 suggest:1 implementation:1 along:1 lines:1 allow:1 values:1;n:10 version:8 values:7 log:6 patch:6 double:5 k:5 long:4 current:4 attached:3 accuracy:3 recursive:3 slower:3 first:2 thanks:2 many:2 much:2 exact:2 ensures:2 computation:2 implementation:2 also:2 valued:2 versions:2 better:2 still:2 overflow:2 j:2 applied:2 reporting:1 due:1 rounding:1 conversion:1 code:1 returns:1 bad:1 representable:1 starting:1 low:1 returned:1 value:1 error:1 binomial:1 b:1 specified:1 constant:1 allows:1 user:1 force:1 beyond:1 desired:1 works:1 like:1 unwound:1 improved:1 latter:1 perform:1 implementations:1 approximately:1 benchmark:1 suspect:1 accurate:1 non:1 formula:1 find:1 one:1 implemented:1 investigated:1 behavior:1 added:1 tests:1 confirm:1 correctness:1 stated:1 doc:1 overflows:1 start:1 less:1 greater:1 computed:1 throw:1 appreciate:1 feedback:1 ideas:1 fix:1 problem:1 new:1 function:1 think:1 pascal:1 triangle:1 even:1 caching:1 dynamic:1 programming:1 unnecessarily:1 complicated:1 except:1 ensure:1 correct:1 represented:1 integer:1 running:1 time:1 proportional:1 assuming:1 takes:1 steps:1 faster:1 computes:1 different:1 might:1 modify:1 second:1 along:1 changes:1;2009-01-16T23:34:23.000+0000;2009-01-19T23:53:48.000+0000;;2.0;2.0;4;2009-01-19T18:40:57.164+0000;2009-01-19T23:53:48.728+0000;0;2;2009-01-19T18:40:57.126+0000;2009-01-19T22:05:59.554+0000;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-243;Minor;Closed;chsemrau;;;integer:2 throw:1 exception:1 instead:1 returning:1;integer:3 method:2 throw:1 exception:1 like:1 return:1 nonnegative:1 results:1;patch:2 also:2 lcm:2 failed:2 special:2 cases:2 attached:1 integer:1 power:1 added:1 fixed:1 trunk:1 thanks:1;2009-01-21T21:15:30.000+0000;2009-02-21T13:55:19.000+0000;;;;2;2009-01-21T21:50:48.882+0000;2009-02-21T13:55:19.546+0000;0;1;2009-01-21T21:50:48.832+0000;2009-01-21T21:50:48.832+0000;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-244;Minor;Closed;jparker;;;website:1 instructions:1 refer:1 nonexistent:1 branch:1;source:2 repository:2 math:2 page:1 website:1 http:1 commons:1 apache:1 html:1 checkout:1 instructions:1 refer:1 branch:1 exist:1 substituted:1 trunk:1 instead:1;fixed:1 subversion:1 site:1 regenerated:1 put:1 online:1 hours:1 thanks:1;2009-01-23T17:28:38.000+0000;2009-01-23T19:43:43.000+0000;;;;1;2009-01-23T19:43:43.872+0000;2009-01-23T19:43:43.872+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-252;Major;Closed;luc;luc;;fraction:1 returns:1 fractions:1;two:1 different:1 fractions:1 evaluate:1 double:1 due:1 limited:1 precision:1 returns:1 identical:1;fixed:1 subversion:1;2009-03-29T16:50:35.000+0000;2009-03-29T16:52:34.000+0000;;1.2;2.0;1;2009-03-29T16:52:34.038+0000;2009-03-29T16:52:34.038+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-253;Major;Closed;sebb;luc;;thread:1 hostile:1;thread:3 use:3 may:3 locales:2 case:2 us:2 method:2 fetch:2 hostile:1 mutable:1 static:1 field:1 used:1 performing:1 translations:1 two:1 threads:1 different:1 highly:1 likely:1 non:1 methods:1 locale:1 get:1 corrupt:1 incorrect:1 output:1 cache:1 really:1 desired:1 either:1 volatile:1 translate:1 needs:1 value:1 update:1 necessary:1 stands:1 check:1 resource:1 find:1 ok:1 time:1 might:1 changed:1 one:1 set:1 variable:1 another:1 see:1 partially:1 constructed:1 resources:1 object:1 final:1;used:2 fixed:1 subversion:1 repository:1 cache:1 removed:1 completely:1 bundle:1 retrieved:1 request:1 errors:1 triggered:1 noticeable:1 drop:1 performance:1 thanks:1 fo:1 report:1;2009-04-04T21:22:53.000+0000;2009-04-05T15:37:33.000+0000;;;2.0;1;2009-04-05T15:37:33.354+0000;2009-04-05T15:37:33.354+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-254;Major;Closed;sebb;luc;;factory:1 mutable:1 static:1 field:1 initialised:1 safely:1;factory:1 mutable:1 static:1 field:1 initialised:1 safely:1 suggest:1 using:1 demand:1 holder:1 idiom:1 use:1 synchronized:1;fixed:1 subversion:1 repository:1 thanks:1 report:1 suggestion:1 pattern:1 really:1 appreciate:1 neat:1 elegant:1;2009-04-04T21:24:02.000+0000;2009-04-05T15:18:18.000+0000;;;2.0;1;2009-04-05T15:18:18.775+0000;2009-04-05T15:18:18.775+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-255;Minor;Closed;sebb;luc;;package:1 protected:1 mutable:1 static:1 array:1 made:1 private:1;array:2 package:1 protected:1 mutable:1 static:1 made:1 private:1 appear:1 accessed:1 outside:1 class:1 anyway:1 method:1 provides:1 safe:1 access:1 clone:1;fixed:1 subversion:1 repository:1 thanks:1 report:1;2009-04-04T21:28:30.000+0000;2009-04-05T14:37:08.000+0000;;;2.0;1;2009-04-05T14:37:08.184+0000;2009-04-05T14:37:08.184+0000;0;0;;;0;;;;
MATH;ASF;Apache Commons Committee;library;MATH-257;Major;Closed;sebb;luc;;get:1 consistent:1 set:1;get:3 set:2 method:2 allow:2 null:2 parameter:2 length:2 consistent:1 past:1 first:1 check:1 allows:1 provided:1 seems:1 wrong:1 inconsistent:1 may:1 later:1;fixed:1 subversion:1 repository:1 took:1 opportunity:1 also:1 simplify:1 initialization:1 array:1 using:1 two:1 passes:1 algorithm:1 inconsistency:1 removed:1 bot:1 set:1 get:1 null:1 vectors:1;2009-04-05T17:35:07.000+0000;2009-04-05T18:43:21.000+0000;;;2.0;1;2009-04-05T18:43:21.969+0000;2009-04-05T18:43:21.969+0000;0;0;;;0;;;;
