Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-12;Minor;Resolved;woggle;;containerization;leaks:1 file:1 descriptors:1 execute:1;isolation:1 module:1 leaks:1 file:1 descriptors:1 besides:1 err:1 exec:1 execute:1 recent:1 versions:1 user:1 tools:1 detect:1 refuse:1 launch:1 process:1;patch:2 reads:1 self:1 close:1 open:1 file:1 descriptors:1 running:1 execute:1 thanks:1 charles:1 great:1 moving:1 apache:1 saturday:1 tomorrow:1 apply:1 well:1 awesome:1 think:1 committed:1 part:1;2011-06-02T19:49:51.000+0000;2011-11-23T17:38:29.000+0000;;;;3;2011-06-02T19:51:21.595+0000;2011-11-23T17:38:30.107+0000;0;1;2011-06-02T19:51:21.525+0000;2011-06-02T19:51:21.525+0000;1;2011-06-02T19:51:21.525+0000;2011-06-02T19:51:21.525+0000;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-14;Major;Resolved;woggle;;containerization;path:1 problems:1;launcher:2 linux:1 container:1 isolation:1 module:1 assumes:1 instead:1 bin:1 requires:1 set:1 even:1 though:1 fallback:1;attached:1 patches:1 correct:1 uses:1 empty:1 string:1 trigger:1 fallback:1 code:1 launcher:1 var:1 present:1 believe:1 fixed:1;2011-06-04T22:12:58.000+0000;2011-11-23T17:44:22.000+0000;;;;2;2011-06-04T22:14:37.920+0000;2011-11-23T17:44:22.129+0000;0;2;2011-06-04T22:14:37.882+0000;2011-06-04T22:14:37.892+0000;2;2011-06-04T22:14:37.882+0000;2011-06-04T22:14:37.892+0000;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-17;Minor;Resolved;woggle;;containerization;executors:1 killed:1 tasks:1;tasks:2 executor:2 memory:2 allocation:2 task:2 framework:1 considers:1 finished:1 state:1 using:1 isolation:1 module:1 cause:1 reduced:1 actually:1 commits:1 happens:1 sometimes:1 killed:1 exceeding:1 leaving:1 stalled:1 master:1 detects:1 lost:1 tracker:1;problem:1 anymore:1 latest:1;2011-06-06T21:12:28.000+0000;2013-02-07T21:54:47.000+0000;;0.9.0;0.10.0;1;2013-02-07T21:54:47.062+0000;2013-02-07T21:54:47.062+0000;0;0;;;0;;;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-22;Minor;Resolved;matei;matei;;update:1 deploy:1 scripts:1 pass:1 new:1 resources:1 parameter:1 correctly:1;cpus:2 n:2 mem:2 resources:2 used:1 looks:1 like:1 plus:1 potentially:1;fixed:1 master:1 branch:1;2011-06-27T06:43:24.000+0000;2011-06-27T23:24:35.000+0000;;;;1;2011-06-27T23:24:35.943+0000;2011-06-27T23:24:35.943+0000;0;0;;;0;;;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-23;Blocker;Resolved;bill.zhao;;build;lastest:1 compile:1 mac:1 os:1 x:1 snow:1 leopard:1;third_party:58 slave:54 common:38 swig:34 make:26 include:26 c:25 std:24 internal:24 state:24 master:19 framework:17 fused:12 detector:12 vector:12 allocator:12 task:12 error:11 g:11 l:10 python:8 nothing:8 done:8 pb:8 messages:8 function:8 declared:8 scope:8 f:6 strict:6 boost:6 mp:6 build:6 void:6 system:5 library:5 frameworks:5 versions:5 version:5 h:5 generated:5 making:4 cc:4 scripts:4 sets:4 local:4 launcher:4 exec:4 fatal:4 lock:4 logging:4 resources:4 java:3 u:3 released:2 see:2 bin:2 http:2 p:2 r:2 w:2 module:2 deprecated:2 import:2 date:2 reaper:2 lev:2 ldl:2 ar:2 warning:2 following:1 setup:1 environment:1 echo:1 home:1 installed:1 install:1 latest:1 tried:1 still:1 problem:1 compile:1 told:1 issue:1 message:1 compiled:1 apple:1 configured:1 options:1 please:1 www:1 reporting:1 bugs:1 information:1 parser:1 recursive:1 user:1 shared:1 main:1 file:1 included:1 redefined:1 command:1 line:1 location:1 previous:1 definition:1;commit:4 fixed:2 merge:2 author:2 berkeley:2 date:2 fix:2 benjamin:1 pull:1 request:1 master:1 temporary:1 issue:1 long:1 term:1 needs:1 identify:1 process:1 actually:1 gets:1 eecs:1 create:1 spark:1 configuration:1 file:1 script:1;2011-06-28T19:41:30.000+0000;2011-07-01T19:05:59.000+0000;;;;2;2011-07-01T19:05:27.264+0000;2011-07-01T19:05:59.853+0000;0;0;;;0;;;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-24;Major;Resolved;bill.zhao;;webui;crash:1;master:14 process:5 google:4 starting:3 seems:2 work:2 linux:2 bin:2 logging:2 main:2 web:2 started:2 check:2 end:2 crash:1 try:1 load:1 otherwise:1 version:1 checkout:1 commit:1 author:1 eecs:1 berkeley:1 date:1 mon:1 fixes:1 deploy:1 scripts:1 new:1 command:1 line:1 options:1 url:1 format:1 error:1 message:1 u:1 generic:1 wed:1 apr:1 utc:1 gnu:1 home:1 logs:1 build:1 port:1 id:1 creating:1 simple:1 allocator:1 acting:1 thread:1 loading:1 bottle:1 server:1 using:1 listening:1 http:1 use:1 c:1 quit:1 failed:1 find:1 begin:1 failure:1 stack:1 trace:1 fail:1 flush:1 cleanup:1 trampoline:1 unknown:1 aborted:1;commit:3 fixed:2 merge:2 author:2 date:2 fix:2 benjamin:1 berkeley:1 pull:1 request:1 master:1 temporary:1 issue:1 long:1 term:1 needs:1 identify:1 process:1 actually:1 gets:1 problem:1 caused:1;2011-06-28T21:28:39.000+0000;2011-07-01T19:28:36.000+0000;;;;1;2011-07-01T19:28:36.106+0000;2011-07-01T19:28:36.106+0000;0;0;;;0;;;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-25;Minor;Resolved;mwee;srs747;webui;web:2 slave:2 port:2 slaves:1 table:1 master:1 index:1 page:1 always:1 links:1 regardless:1 actually:1;;fixed:1 part:1;2011-06-29T22:01:15.000+0000;2011-12-12T20:53:26.000+0000;;;;1;2011-12-12T20:53:26.723+0000;2011-12-12T20:53:26.723+0000;0;0;;;0;;;;dependent:MESOS-33
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-27;Major;Resolved;bill.zhao;;master;trouble:1 starting:1 bundle:1 version:1;apache:14 server:13 java:12 storage:7 version:5 start:4 common:4 error:3 current:3 bin:3 related:2 however:2 problem:2 data:2 read:2 stop:2 sure:1 https:1 issues:1 browse:1 summary:1 trying:1 get:1 run:1 top:1 keep:1 getting:1 message:1 try:1 value:1 ran:1 observe:1 full:1 looked:1 like:1 unexpected:1 directory:1 reported:1 expecting:1 main:1 process:1 edit:1 parameter:1 name:1;data:4 directory:4 rf:2 fixed:1 delete:1 running:1 two:1 different:1 version:1 local:1 bin:1 format:1 command:1 remove:1 name:1 works:1;2011-07-14T23:34:50.000+0000;2011-07-20T00:49:11.000+0000;;;;2;2011-07-20T00:45:20.423+0000;2011-07-20T00:49:11.146+0000;0;0;;;0;;;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-32;Major;Resolved;bill.zhao;benjaminhindman;master;mac:1 os:1 x:1 lion:1 errors:1;master:11 error:3 trace:2 trap:2 logging:2 main:2 starting:2 started:2 web:2 code:1 compiled:1 however:1 run:1 got:1 bin:1 users:1 logs:1 build:1 port:1 id:1 thread:1 creating:1 simple:1 allocator:1 loading:1;process:213 third_party:134 include:129 master:94 slave:87 tests:50 declared:38 https:38 apache:38 warning:32 h:32 deprecated:30 std:30 internal:30 python:30 log:30 thread:27 state:27 function:26 reading:26 symbols:25 shared:25 libraries:25 done:25 reviews:24 r:24 void:22 error:21 swig:20 http:19 java:19 common:18 native:18 timer:17 creation:17 updated:16 review:15 benjamin:15 allocator:14 e:14 generated:14 issues:14 browse:14 main:13 framework:13 local:13 automatically:13 mail:13 reply:13 visit:13 run:12 thanks:12 vector:12 task:12 john:12 lock:12 exec:12 reaper:12 latch:12 bin:11 lion:10 apple:10 users:10 changes:10 starting:9 switching:9 select:9 dispatch:9 request:9 summary:9 addresses:9 testing:9 os:8 x:8 pid:8 scope:8 mac:7 c:7 member:7 program:7 issue:7 value:7 temporarily:7 unavailable:7 due:7 optimizations:7 corresponding:7 logging:6 web:6 started:6 threads:6 google:6 make:6 first:6 stab:6 probably:6 go:6 iterations:6 even:6 feedback:6 looking:6 proto:6 scheduler:6 network:6 replica:6 future:6 gc:6 wrote:6 serve:5 trace:5 port:5 id:5 info:5 secs:5 bug:5 event:5 message:5 bugs:5 g:4 spawn:4 double:4 gnu:4 version:4 free:4 software:4 conditions:4 type:4 show:4 warranty:4 received:4 signal:4 configure:4 compilation:4 invalid:4 conversion:4 initializing:4 argument:4 trampoline:3 change:3 logs:3 build:3 loading:3 gate:3 dispatcher:3 manage:3 operator:3 system:3 new:3 file:3 line:3 charles:3 deal:3 strict:2 boost:2 mp:2 wait:2 static:2 stack:2 fri:2 utc:2 copyright:2 foundation:2 inc:2 covered:2 general:2 public:2 license:2 welcome:2 distribute:2 copies:2 certain:2 copying:2 see:2 absolutely:2 details:2 configured:2 darwin:2 creating:2 simple:2 trap:2 great:2 functional:2 true:2 current:2 waiting:2 total:2 time:2 number:2 priority:2 problems:2 like:2 maybe:2 however:2 f:2 q:2 changed:2 headers:2 fixed:2 server:2 check:2 aborted:2 ben:2 get:2 set:2 coordinator:2 group:2 seeing:1 compile:1 parser:1 schedule:1 receive:1 pause:1 poll:1 invoke:1 give:1 us:1 traps:1 please:1 want:1 completeness:1 provide:1 back:1 traces:1 arrive:1 deliver:1 sender:1 thunk:1 self:1 false:1 delay:1 mach:1 frame:1 wide:1 unique:1 user:1 scaled:1 cpu:1 usage:1 percentage:1 scheduling:1 policy:1 effect:1 flags:1 swapped:1 seconds:1 slept:1 max:1 suspend:1 count:1 best:1 guess:1 stuff:1 read:1 developer:1 regarding:1 believe:1 shipped:1 upgraded:1 dealing:1 correctly:1 somehow:1 references:1 searched:1 much:1 yet:1 found:1 forms:1 discussing:1 cause:1 compatibility:1 application:1 help:1 discussions:1 problem:1 www:1 search:1 chrome:1 ie:1 hl:1 en:1 source:1 hp:1 made:1 template:1 getting:1 errors:1 library:1 frameworks:1 versions:1 seem:1 came:1 elected:1 failed:1 ready:1 failure:1 abort:1 flush:1 string:1 opt:1 bits:1 look:1 actively:1 working:1 added:1 race:1 well:1 needed:1 order:1 pass:1 updating:1 lot:1 soon:1 represents:1 update:1 updates:1 clock:1 defer:1 deferred:1 executor:1 filter:1 patch:1 account:1 recent:1 commits:1 still:1 worked:1 step:1 recursive:1 ship:1 cool:1 submitting:1;2011-07-21T22:31:01.000+0000;2012-01-27T01:37:58.000+0000;;;;24;2011-07-21T22:34:13.716+0000;2012-02-01T17:38:57.906+0000;0;0;;;0;;;;
MESOS;ASF;Apache Mesos Committee;cloud;MESOS-33;Major;Resolved;benjaminhindman;srs747;agent master webui;fix:1 slave:1 representation:1 pass:1 back:1 master:1;slave:1 needs:1 report:1 port:1 back:1 master:1 correctly:1 display:1;https:40 apache:40 slave:37 master:33 reviews:32 r:32 benjamin:15 automatically:13 generated:13 e:13 mail:13 reply:13 visit:13 include:12 proto:12 http:12 slaves:10 thanks:10 updated:10 bug:9 review:9 wrote:9 request:8 summary:8 added:8 field:8 message:8 correctly:8 display:8 hyperlinks:8 addresses:8 issues:8 browse:8 index:8 testing:8 changes:6 line:6 please:5 port:5 file:5 get:5 let:4 changed:4 done:4 files:3 url:3 order:3 parameter:3 always:2 web:2 link:2 change:2 swap:2 forget:2 propagate:2 feel:2 free:2 stick:2 required:2 string:2 use:2 info:2 references:2 make:2 move:2 hi:1 undergrad:1 new:1 starting:1 work:1 fixing:1 looking:1 main:1 think:1 idea:1 approach:1 design:1 wise:1 suggestions:1 know:1 noticed:1 ideally:1 hard:1 coded:1 possible:1 set:1 report:1 register:1 maybe:1 also:1 pass:1 pages:1 back:1 deal:1 registration:1 process:1 object:1 model:1 swapped:1 eliminate:1 unnecessary:1 variable:1 passing:1 result:1 directly:1 lines:1 ship:1 fantastic:1 committed:1 keep:1 related:1 stuff:1 together:1 stay:1 consistent:1 sure:1 made:1 described:1 recent:1 patch:1;2011-08-23T04:00:35.000+0000;2011-11-24T07:25:34.000+0000;;;;13;2011-10-18T23:06:33.905+0000;2011-11-24T07:25:34.510+0000;0;0;;;0;;;dependent:MESOS-25;
