Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
MNG;ASF;Apache Maven Committee;build-management;MNG-3953;Blocker;Closed;bentmann;jvanzyl;Artifacts and Repositories;regression:1 deployment:1 secured:1 repository:1 fails:1;authentication:1 info:1 settings:1 properly:1 forwarded:1 makes:1 deployment:1 secured:1 fail:1;fixed:1 http:1 eu:1 apache:1 view:1 rev:1 revision:1;2009-01-03T10:43:23.000+0000;2009-01-03T10:44:05.000+0000;;3.0-alpha-1;3.0-alpha-1;1;2009-01-03T10:44:05.421+0000;2009-01-03T10:44:05.421+0000;0;0;;;0;;;;
MNG;ASF;Apache Maven Committee;build-management;MNG-3955;Major;Closed;bentmann;bentmann;Settings;regression:1 settings:1 reflect:1 actual:1 path:1 maven:1 local:1 used:1;path:2 settings:2 command:1 line:1 like:1 maven:1 local:1 parameter:1 expression:1 resolves:1 given:1 global:1 user:1 e:1 override:1 cli:1 reflected:1;fixed:1 http:1 eu:1 apache:1 view:1 rev:1 revision:1;2009-01-04T14:05:47.000+0000;2009-01-13T13:03:12.000+0000;;3.0-alpha-1;3.0-alpha-2;1;2009-01-13T13:03:12.587+0000;2009-01-13T13:03:12.587+0000;0;0;;;0;;;;
MNG;ASF;Apache Maven Committee;build-management;MNG-3957;Major;Closed;heymjo;bentmann;;regression:1 artifact:1 null:1 jar:1 version:1 empty:1;module:1 build:1 includes:1 spring:1 ws:1 clean:1 install:1 get:1 exception:1;spring:4 ws:4 core:3 problem:3 dependency:3 target:3 pom:2 using:2 maven:2 project:2 profile:2 profiles:2 based:2 version:2 build:2 source:2 running:1 compile:1 attached:1 x:1 worked:1 provide:1 minimal:1 test:1 least:1 debug:1 logs:1 occurs:1 due:1 triggered:1 appears:1 applied:1 dependencies:1 inside:1 perhaps:1 ordering:1 changed:1 builder:1 unfortunately:1 general:1 hit:1 declares:1 additional:1 activated:1 used:1 run:1 use:1 artifact:1 compatible:1 suddenly:1 missing:1 applies:1 independent:1 setting:1 list:1 lacks:1 activation:1 guided:1 analysis:1 checking:1 poms:1 parent:1 issue:1 duplicates:1;2009-01-05T03:01:34.000+0000;2009-02-14T05:03:12.000+0000;;3.0-alpha-1;;4;2009-01-05T11:24:50.618+0000;2009-02-14T05:03:12.656+0000;0;1;2009-01-05T11:24:50.600+0000;2009-01-05T11:24:50.600+0000;0;;;;"Duplicate:MNG-4034
Related:MNG-1957"
MNG;ASF;Apache Maven Committee;build-management;MNG-3960;Major;Closed;olamy;jvanzyl;Class Loading;build:1 projects:1 use:1 plexus:1 maven:1 alpha:1;maven:2 building:1 projects:1 alpha:1 plexus:1 release:1 project:1 changes:1 continuum:1 following:1 exception:1 java:1;plexus:3 result:1 cleaning:1 code:1 one:1 ever:1 implemented:1 interface:1 hurt:1 restore:1 problem:1 go:1 away:1 updated:1 allow:1 operation:1 maven:1;2009-01-05T12:37:07.000+0000;2009-01-11T19:10:03.000+0000;;3.0-alpha-1;3.0-alpha-2;2;2009-01-05T19:13:05.965+0000;2009-01-11T19:10:03.194+0000;0;0;;;0;;;;Related:MNG-3972
MNG;ASF;Apache Maven Committee;build-management;MNG-3961;Major;Closed;siveton;;POM;update:1 version:1;model:1 adds:1 new:1 field:1 think:1 version:1;maven:4 version:3 custom:3 profile:3 added:2 part:2 activation:2 know:1 aligning:1 jump:1 major:1 probably:1 two:1 years:1 ago:1 trunk:1 intended:1 rewritten:1 project:1 builder:1 accommodate:1 new:1 versions:1 yet:1 bump:1 time:1 another:1 approach:1 handling:1 activators:1 let:1 remove:1 maybe:1 need:1 look:1 closely:1 make:1 issue:1 address:1 take:1 keep:1 model:1 reasoning:1 talked:1 actually:1 deal:1 think:1 best:1 roll:1 back:1 sounds:1 fine:1 revert:1 addition:1;2009-01-05T13:14:11.000+0000;2009-01-09T00:06:41.000+0000;;3.0-alpha-1;3.0-alpha-2;7;2009-01-05T17:31:56.302+0000;2009-01-09T00:06:41.105+0000;0;0;;;0;;;;
MNG;ASF;Apache Maven Committee;build-management;MNG-3965;Major;Closed;olle;sisbell;;shade:1 error:1 compiling:1 mercury:1 trunk:1;mercury:3 trunk:2 x:2 compile:1 alpha:1 attached:1 output:1 duplicate:1 check:1 http:1 apache:1 maven:1 clean:1 install:1;execution:9 id:9 executions:5 remote:4 resources:4 goals:4 goal:4 configuration:4 apache:4 pom:4 default:4 two:3 ids:3 maven:3 one:3 version:2 process:2 jar:2 resource:2 bundle:2 thus:2 original:1 parse:1 error:1 longer:1 see:1 following:1 problem:1 w:1 traced:1 tree:1 find:1 additional:1 entry:1 idea:1 coming:1 shade:1 generates:1 dependency:1 reduce:1 parent:1 also:1 defined:1 builder:1 treats:1 valid:1 output:1 stripped:1 leaving:1 neither:1 failure:1 solution:1 remove:1 explicit:1 make:1 weaker:1 functioning:1 implied:1;2009-01-05T17:41:33.000+0000;2009-01-21T13:33:42.000+0000;;3.0-alpha-1;3.0-alpha-2;3;2009-01-21T05:03:07.607+0000;2009-01-21T13:33:42.155+0000;0;1;2009-01-05T17:45:05.906+0000;2009-01-05T17:45:05.906+0000;0;;;;dependent:MNG-3979
MNG;ASF;Apache Maven Committee;build-management;MNG-3970;Minor;Closed;bentmann;sisbell;Artifacts and Repositories Profiles;regression:1 repositories:1 injected:1 profiles:1 used:1 dependency:1 resolution:1;dependencies:1 resolvable:1 even:1 profile:1 active:1;;2009-01-06T07:46:15.000+0000;2009-01-21T03:08:45.000+0000;;3.0-alpha-1;3.0-alpha-2;0;;;0;0;;;0;;;Related:MNG-3853;
MNG;ASF;Apache Maven Committee;build-management;MNG-3972;Minor;Closed;sisbell;;General;core:1 fails:1 build:1 using:1 maven:1 trunk:1;plexus:2 core:1 fails:1 build:1 using:1 maven:1 trunk:1 java:1 personality:1 phase:1;plexus:2 possible:1 duplicate:1 build:1 projects:1 use:1 maven:1 alpha:1 particular:1 issue:1 fixed:1 upgrading:1;2009-01-06T10:28:41.000+0000;2009-01-11T19:14:58.000+0000;;3.0-alpha-2;;2;2009-01-06T10:37:01.666+0000;2009-01-11T19:14:58.310+0000;0;0;;;0;;;Related:MNG-3960;
MNG;ASF;Apache Maven Committee;build-management;MNG-3973;Major;Closed;olle;sisbell;;throw:1 exception:1 parent:1 pom:1 found:1;please:1 indicate:1 problems:1 like:1 throw:1 thrown:1 reader:1 callback:1 currently:1 logs:1 warning:1 moves:1;exceptions:2 null:2 parent:2 code:2 definitely:1 need:1 information:1 throws:1 logging:1 also:1 swallow:1 traced:1 returning:1 pom:1 available:1 please:1 process:1 possible:1 nulls:1 gracefully:1 simply:1 get:1 back:1 mean:1 much:1 fixed:1 might:1 needs:1 review:1 correct:1 processing:1 erroneous:1 conditions:1 went:1 looks:1 like:1 one:1 place:1 return:1 empty:1 bytes:1 added:1 check:1;2009-01-06T14:27:04.000+0000;2009-01-21T04:57:31.000+0000;;3.0-alpha-1;3.0-alpha-2;4;2009-01-07T03:53:59.011+0000;2009-01-21T04:57:31.920+0000;0;0;;;0;;;;
MNG;ASF;Apache Maven Committee;build-management;MNG-3974;Major;Closed;brianf;bentmann;Artifacts and Repositories;new:1 mirror:1 syntax:1 stopping:1 first:1 match:1;pattern:2 first:1 match:1 returned:1 last:1 one:1 found:1 exact:1 matches:1 always:1 supercede:1;match:4 mirror:2 first:2 later:2 issue:2 mirrors:2 test:2 take:1 look:1 looks:1 like:1 code:1 trunk:1 appears:1 support:1 extended:1 syntax:1 instance:1 checking:1 external:1 passes:1 maven:1 x:1 however:1 according:1 proposal:1 comments:1 win:1 loop:1 quit:1 continues:1 potentially:1 choosing:1 cause:1 talk:1 ordering:1 settings:1 b:1 chosen:1 e:1 last:1 definition:1 due:1 equal:1 overriding:1 former:1 ones:1 feel:1 consistent:1 strategy:1 wins:1 confirmed:1 unit:1 fixed:1 needs:1 happy:1;2009-01-07T12:10:07.000+0000;2009-01-09T16:19:41.000+0000;;3.0-alpha-1 2.1.0-M1 2.0.9;3.0-alpha-2 2.1.0 2.0.10;5;2009-01-09T00:15:34.639+0000;2009-01-09T16:19:41.376+0000;0;0;;;0;;;Related:MNG-3461;
