Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
MRM;ASF;Apache Archiva Committee;build-management;MRM-1057;Minor;Closed;agramirez;oching;Users/Security;user:1 able:1 view:1 logging:1 security:1 alert:1 page:1;security:5 http:3 go:2 action:2 alert:2 page:2 displayed:2 success:2 steps:1 reproduce:1 log:1 click:1 ahead:1 url:1 shows:1 edit:1 still:1 going:1 see:1 user:1 already:1 logged:1;replicated:1 continuum:1 filed:1 http:1 browse:1 issue:1 already:1 resolved:1 fix:1 yet:1 included:1 latest:1 release:1 beta:1 writing:1 verified:1 fixed:1 upgrading:1 snapshot:1;2009-01-04T21:01:38.000+0000;2009-02-19T21:26:17.000+0000;;1.1.2;1.2;3;2009-01-13T00:25:27.863+0000;2009-02-19T21:26:17.774+0000;0;0;;;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1061;Major;Closed;mccloud;brettporter;Web Interface;page:2 dependency:2 used:1 incorrect:1 tree:1 crash:1 specifying:1 version:1 using:1 parent:1 pom:1;artifact:4 dependencies:3 pom:3 version:3 modules:3 page:3 specify:2 versions:2 parent:2 using:2 mechanism:2 used:2 looking:2 quote:2 unable:2 projects:1 artifacts:1 enables:1 us:1 easily:1 project:1 however:1 module:1 listed:1 furthermore:1 opening:1 dependency:1 tree:1 screen:1 crashes:1 following:1 error:1 apache:1 maven:1 common:1 generate:1 graph:1 integration:1 create:1 empty:1 null:1 another:1 problem:1 probably:1 result:1 issue:1 example:1 list:1 use:1 specified:1;pom:18 maven:11 effective:10 artifact:10 information:10 build:8 repository:7 used:7 way:6 within:6 indexing:6 actual:5 additional:5 dependency:5 artifacts:4 tree:4 dependencies:4 one:3 help:3 maybe:3 present:3 e:3 instead:3 manager:3 use:3 time:3 even:3 understand:3 alternative:3 http:2 browse:2 possible:2 require:2 built:2 generated:2 like:2 alongside:2 file:2 project:2 index:2 olivier:2 order:2 properly:2 version:2 opinion:2 hints:2 non:2 standard:2 external:2 g:2 wonder:2 let:2 archiving:2 feature:2 relevant:2 access:2 format:2 retrieve:2 processes:2 based:2 repositories:2 demand:2 requires:2 bound:2 agreed:2 nodes:2 names:2 also:2 cause:1 issue:1 loaded:1 may:1 related:1 thanks:1 solving:1 invocation:1 mojo:1 jar:1 inside:1 attach:1 gets:1 deployed:1 main:1 exploit:1 generate:1 db:1 info:1 behavior:1 remain:1 today:1 rather:1 prefer:1 stuff:1 equivalent:1 interpret:1 model:1 supplying:1 plain:1 hard:1 modify:1 existing:1 projects:1 inevitably:1 lead:1 chaos:1 confusion:1 integrate:1 emerging:1 tools:1 code:1 google:1 p:1 creating:1 last:1 least:1 cleaner:1 easier:1 separate:1 concerns:1 task:1 universal:1 viewer:1 first:1 thought:1 missing:1 managers:1 come:1 think:1 might:1 turn:1 bug:1 thoughts:1 talking:1 facility:1 viewing:1 tool:1 indexer:1 setup:1 seems:1 fairly:1 jarring:1 nice:1 enhancement:1 uses:1 construct:1 jars:1 wars:1 ears:1 helping:1 environment:1 technical:1 process:1 end:1 self:1 contained:1 clients:1 successfully:1 indeed:1 accept:1 system:1 create:1 well:1 m2:1 basically:1 prepare:1 advance:1 otherwise:1 consuming:1 compute:1 stem:1 besides:1 internal:1 possibly:1 efficiently:1 implementing:1 automatic:1 purges:1 groups:1 virtual:1 humans:1 continuous:1 systems:1 benefit:1 structural:1 two:1 choices:1 derive:1 stated:1 interpolated:1 however:1 comprehensive:1 reactor:1 performing:1 knowledge:1 specify:1 describe:1 incorporated:1 results:1 supplied:1 small:1 incomplete:1 showing:1 vertices:1 unknown:1 probably:1 lack:1 required:1 complete:1 implemented:1 local:1 fashion:1 cooperation:1 far:1 beyond:1 reach:1 solely:1 accepts:1 produced:1 hudson:1 continuum:1 builders:1 data:1 provide:1 us:1 producing:1 meantime:1 stick:1 try:1 extract:1 reflects:1 semantics:1 truly:1 suggestion:1 appears:1 fit:1 bill:1 searching:1 important:1 features:1 provides:1 ability:1 developer:1 method:1 package:1 working:1 allow:1 perform:1 impact:1 analysis:1 report:1 statistics:1 shared:1 components:1 usage:1 possibilities:1 endless:1 simple:1 common:1 case:1 versions:1 defined:1 section:1 parent:1 enough:1 render:1 search:1 useless:1 alone:1 dependent:1 activation:1 profile:1 using:1 output:1 better:1 nexus:1 deals:1 testing:1 fixed:1 changes:1 trunk:1;2009-01-08T06:41:21.000+0000;2010-02-28T23:08:44.000+0000;;1.1.3;1.4-M1;8;2009-02-09T04:15:10.559+0000;2010-02-28T23:08:44.831+0000;0;0;;;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1062;Major;Closed;olle.hallin;brettporter;browser;find:1 artifact:1 broken:1;file:4 error:3 message:3 clicking:2 search:2 find:1 artifact:1 broken:1 browsing:1 pops:1 saying:1 exist:1 part:1 despite:1 full:1 absolute:1 path:1 shown:1 selection:1 field:1 windows:1 absolutely:1 nothing:1 happens:1 even:1;tried:1 yes:1 difference:1;2009-01-13T01:59:30.000+0000;2009-03-08T19:56:37.000+0000;;1.1.2;1.2;2;2009-02-26T08:28:27.873+0000;2009-03-02T04:47:28.845+0000;0;1;2009-01-13T01:59:30.762+0000;2009-01-13T01:59:30.762+0000;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1064;Major;Closed;ksperling;brettporter;;dependency:1 tree:1 show:1 dependencies:1 correctly:1;saxon:3 see:1 attached:1 pom:1 depends:1 dependency:1 tree:1 shows:1;testing:1;2009-01-13T16:27:12.000+0000;2010-02-23T04:18:04.000+0000;;1.1.3;1.4-M1;1;2010-02-23T02:00:17.421+0000;2010-02-23T02:00:17.421+0000;0;3;2009-01-13T16:31:06.485+0000;2009-01-13T16:31:06.497+0000;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1066;Blocker;Closed;dimand;oching;Web Interface;shutdown:1 tomcat:1 causes:1 exception:1 running:1 project:1;java:11 quartz:8 thread:3 class:3 web:2 exception:2 illegal:2 access:2 caused:2 apache:2 loader:2 unknown:2 source:2 looks:1 like:1 still:1 running:1 context:1 unloaded:1 maybe:1 happen:1 threads:1 yet:1 spring:1 control:1 http:1 browse:1 summary:1 info:1 application:1 instance:1 stopped:1 already:1 load:1 eventual:1 following:1 stack:1 trace:1 error:1 thrown:1 debugging:1 purposes:1 well:1 attempt:1 terminate:1 functional:1 impact:1 native:1 method:1 core:1 run:1;java:12 apache:9 application:7 maven:5 bug:5 scheduled:5 fix:4 able:4 solution:4 find:4 thanks:4 regards:4 solve:4 still:4 threads:4 shutdown:4 thread:4 issue:4 quartz:4 run:4 revision:4 mr:3 dear:3 please:3 following:3 problem:3 loader:3 porter:2 right:2 context:2 plexus:2 implementation:2 checked:2 tested:2 best:2 mentioned:2 also:2 starts:2 running:2 stop:2 proper:2 exception:2 already:2 stopped:2 reproduce:2 wait:2 till:2 started:2 set:2 managed:2 repository:2 minute:2 piece:2 code:2 review:2 bit:2 attached:2 see:2 trunk:2 tomcat:2 illegal:2 access:2 tasks:2 stack:2 trace:2 caused:2 execute:2 core:2 patch:2 x:2 branch:2 http:2 view:2 need:1 know:1 go:1 installation:1 answer:1 questions:1 regarding:1 reported:1 planning:1 track:1 waiting:1 alternatives:1 committed:1 upcoming:1 m2:1 release:1 test:1 note:1 destroyed:1 call:1 close:1 initialize:1 spring:1 correct:1 exists:1 james:1 previously:1 provided:1 worked:1 realized:1 queues:1 schedulers:1 even:1 hence:1 process:1 performed:1 execution:1 raises:1 way:1 configuration:1 familiar:1 architecture:1 implement:1 class:1 closes:1 important:1 scan:1 interval:1 seems:1 work:1 kind:1 changes:1 maybe:1 one:1 guys:1 place:1 hope:1 helps:1 little:1 file:1 attachments:1 submitting:1 take:1 look:1 tried:1 replicate:1 using:1 steps:1 took:1 setup:1 add:1 expression:1 logs:1 displays:1 aug:1 info:1 web:1 instance:1 load:1 eventual:1 error:1 thrown:1 debugging:1 purposes:1 well:1 attempt:1 terminate:1 functional:1 impact:1 include:1 version:1 planned:1 recently:1 get:1 exact:1 tweaked:1 applied:1 merged:1;2009-01-19T10:09:08.000+0000;2010-05-20T08:42:05.000+0000;;1.1.3;1.3.1;12;2009-02-13T07:42:07.423+0000;2010-05-20T08:42:05.232+0000;0;2;2009-01-19T10:09:08.521+0000;2009-06-04T03:25:47.656+0000;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1070;Major;Closed;bastiaan01;brettporter;;dependencies:1 dependency:1 tree:1 used:1 work:1 correctly:1 properties:1 version:1;commons:10 version:9 dependency:5 pom:3 dependencies:3 go:3 define:2 property:2 properties:2 correctly:2 de:2 tree:2 page:2 common:2 number:1 modules:1 done:1 module:1 following:1 maven:1 retrieves:1 pages:1 used:1 work:1 use:1 link:1 expected:1 exist:1;plans:1 fix:1 issue:1 near:1 future:1 testing:1;2009-01-21T03:55:33.000+0000;2010-02-23T05:29:52.000+0000;;1.2-M1;1.4-M1;2;2009-10-01T04:32:16.415+0000;2010-02-23T03:26:25.347+0000;0;2;2009-01-21T04:04:28.190+0000;2009-01-21T04:04:28.213+0000;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1073;Major;Closed;smatyas;brettporter;;errors:1 upgrading:1 m1:1;;using:1 built:1 database:1 need:1 extensive:1 testing:1 going:1 m2:1 significant:1 model:1 changes:1 company:1 logo:1 issue:1 organisation:1 url:1 separate:1;2009-01-27T13:10:30.000+0000;2009-03-06T03:53:47.000+0000;;1.2-M1;1.2;4;2009-02-10T17:32:26.360+0000;2009-03-06T03:53:47.921+0000;0;0;;;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1075;Blocker;Closed;oching;oching;Users/Security Web Interface;error:1 accessing:1 repository:1 url:1;java:30 jetty:19 handle:11 apache:4 handler:4 filter:3 http:2 caused:2 integration:2 authentication:2 maven:2 service:2 dispatcher:2 server:2 run:2 error:1 repository:1 sample:1 authenticate:1 basic:1 module:1 security:1 io:1 thread:1 looks:1 like:1 upgrade:1 beta:1 occur:1 m1:1 release:1;fixed:2 upgrade:2 need:1 latest:1 trunk:1 beta:1 released:1 verified:1 snapshot:1 new:1 error:1;2009-02-04T02:53:26.000+0000;2009-02-19T21:25:05.000+0000;;;1.2;3;2009-02-04T04:07:25.852+0000;2009-08-25T09:38:34.854+0000;0;0;;;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1076;Major;Closed;oching;oching;indexing;executed:1 artifact:1 deployed:1 repository:1;java:39 jetty:19 apache:12 handle:11 index:5 server:4 handler:4 nexus:3 maven:3 context:2 repository:2 scanner:2 execute:2 jackrabbit:2 service:2 dispatcher:2 run:2 error:1 logs:1 creator:1 consumers:1 commons:1 collections:1 http:1 module:1 filter:1 security:1 content:1 io:1 thread:1;fixed:2 getting:2 trunk:1 remove:1 second:1 invocation:1 complete:1 scan:1 causes:1 error:1 supposed:1 stack:1 trace:1 logs:1 get:1 http:1 attempting:1 deploy:1 new:1 snapshot:1 temporary:1 work:1 around:1 delete:1 index:1 repository:1 root:1 restart:1 run:1 indexer:1 fixes:1 days:1 though:1 exception:1;2009-02-04T04:11:18.000+0000;2009-02-18T00:51:24.000+0000;;;1.2;3;2009-02-18T00:51:24.361+0000;2009-05-19T05:43:42.431+0000;0;0;;;0;;;;
MRM;ASF;Apache Archiva Committee;build-management;MRM-1085;Major;Closed;bernd;oching;Web Interface;clone:1 failing:1 startup:1 due:1 invalid:1 bean:1 definition:1;java:32 apache:20 core:11 start:10 startup:8 context:6 reflect:4 bootstrap:4 beans:3 factory:3 support:3 web:3 sun:3 method:3 invoke:3 war:1 install:1 running:1 tomcat:1 yields:1 following:1 exception:1 invalid:1 bean:1 definition:1 name:1 defined:1 null:1 resolve:1 placeholder:1 base:1 refresh:1 native:1 main:1;set:8 tomcat:6 base:5 windows:4 issue:3 bat:3 following:3 home:3 reopen:2 property:2 file:2 apache:2 application:2 properties:2 classes:2 find:2 configuration:2 service:2 software:2 actually:1 cause:1 permission:1 clone:1 exception:1 happens:1 created:1 bin:1 content:1 environment:1 variable:1 pointing:1 directory:1 deploying:1 add:1 folder:1 web:1 report:1 another:1 user:1 removed:1 files:1 believe:1 longer:1 possible:1 decent:1 link:1 registry:1 seem:1 like:1 place:1 configure:1 guide:1 best:1 consistent:1 latest:1 give:1 positive:1 leads:1 http:1 confluence:1 display:1 increasing:1 memory:1 ok:1 fix:1 edit:1 foundation:1 parameters:1 java:1 modify:1 options:1 parameter:1 make:1 sure:1 wish:1 documented:1 somewhere:1 andrew:1 sorry:1 tried:1 reproduce:1 added:1 docs:1 instructions:1 setting:1 troubleshooting:1 tips:1 startup:1 errors:1;2009-02-12T03:09:24.000+0000;2009-08-17T03:37:18.000+0000;;1.1;1.2.2;8;2009-02-12T03:13:53.422+0000;2009-08-17T03:37:18.119+0000;0;0;;;0;;;;dependent:MRM-881
