Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-678;Critical;Closed;jnioche;dogacan;;requires:1 update:1;string:3 jar:2 java:2 service:2 currently:1 directory:1 relies:1 version:1 getting:1 model:1 z:1 map:1 apache:1 fs:1 rename:1 using:1 tried:1 yet:1 suspect:1 cause:1 hurt:1 upgrade:1 anyway:1;confirm:2 problem:2 fixed:2 trunk:2 hudson:2 agree:1 hurt:1 upgrade:1 old:1 version:1 upgrading:1 getting:1 exception:1 longer:1 ok:1 rev:1 thanks:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 requires:1 update:1;2009-01-14T21:23:00.000+0000;2009-01-19T17:10:10.000+0000;;1.0.0;1.0.0;4;2009-01-19T13:49:23.686+0000;2009-01-20T04:15:55.039+0000;0;0;;;0;;;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-681;Major;Closed;wildan.m;dogacan;indexer;parse:1 compilation:1 problem:1;parse:19 apache:15 java:10 home:8 build:5 content:5 parser:4 compile:3 protocol:3 error:3 due:2 compiling:2 abstract:2 public:2 class:2 symbol:2 string:2 note:2 unchecked:2 details:2 failed:2 following:2 occurred:2 executing:2 line:2 changes:1 compiled:1 default:1 licensing:1 problem:1 anymore:1 echo:1 source:1 files:1 classes:1 override:1 method:1 implements:1 implement:1 attempting:1 use:1 incompatible:1 return:1 type:1 found:1 required:1 find:1 constructor:1 configuration:1 location:1 links:1 add:1 new:1 value:1 uses:1 unsafe:1 operations:1 errors:1 see:1 compiler:1 output:1;patch:5 trunk:3 submitted:2 test:2 works:2 issue:2 parse:2 hudson:2 please:1 check:1 resolve:1 resolved:1 e:1 relevant:1 commits:1 made:1 fine:1 committed:1 rev:1 cleanup:1 also:1 updated:1 unit:1 sorry:1 new:1 people:1 thanks:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 compilation:1 problem:1;2009-01-20T08:17:09.000+0000;2009-01-21T13:10:35.000+0000;;;1.0.0;6;2009-01-20T09:16:37.670+0000;2009-01-22T04:15:32.346+0000;0;2;2009-01-20T09:16:37.630+0000;2009-01-20T09:16:37.667+0000;0;;;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-682;Major;Closed;jnioche;;injector;indexer:1 set:1 boost:1 document:1;doc:3 string:3 e:3 method:2 final:2 apache:1 indexer:1 write:1 call:1 illustrated:1 entry:1 list:1 done:1;trunk:2 hudson:2 obviously:1 correct:1 believe:1 missed:1 committed:1 rev:1 thanks:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 indexer:1 set:1 boost:1 document:1 patch:1;2009-01-29T18:53:18.000+0000;2009-01-29T19:12:34.000+0000;;1.0.0;1.0.0;2;2009-01-29T19:12:34.816+0000;2009-01-30T04:19:46.521+0000;0;0;;;0;;;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-683;Minor;Closed;dogacan;dogacan;;broke:1;also:2 work:2 switch:1 broke:1 part:1 reason:1 reuse:1 instance:1 reduce:1 apparently:1 big:1 think:1 see:1 around:1;trunk:2 hudson:2 patch:1 issue:1 fixed:1 rev:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 broke:1;2009-01-29T19:45:22.000+0000;2009-02-11T09:14:03.000+0000;;1.0.0;1.0.0;4;2009-01-29T19:45:42.774+0000;2009-02-12T04:13:38.134+0000;0;1;2009-01-29T19:45:42.735+0000;2009-01-29T19:45:42.735+0000;1;2009-01-29T19:45:42.735+0000;2009-01-29T19:45:42.735+0000;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-688;Blocker;Closed;siren;siren;;fix:1 missing:1 wrong:1 headers:1 source:1 files:1;;rat:2805 report:2803 apache:1063 java:888 import:828 trunk:362 home:360 sam:360 workspace:360 eu:360 al:178 public:176 commons:145 io:135 string:129 indexer:112 private:105 cli:105 searcher:91 class:91 static:85 final:81 package:75 field:61 text:61 scoring:56 crawl:52 fs:51 html:47 path:42 parse:41 metadata:39 new:39 configuration:39 url:39 logging:38 node:37 log:37 null:32 return:32 list:32 response:29 void:29 throws:29 analysis:28 fields:27 value:26 concurrent:26 name:25 set:23 content:22 p:22 http:22 boolean:21 tools:20 extends:20 tool:20 configured:19 get:19 body:18 reporter:18 type:18 request:18 li:18 net:17 query:17 implements:17 job:17 classes:16 map:16 options:16 document:16 extension:15 link:15 option:15 index:15 protocol:14 reducer:14 mapper:13 current:13 writer:12 interface:12 random:12 old:11 code:11 score:11 objects:11 id:11 stack:11 loops:10 domain:10 add:10 e:10 anchor:10 segment:9 writers:9 doc:9 indexed:9 system:9 point:9 boost:9 see:9 gen:8 hits:8 float:8 order:8 true:8 search:8 summary:7 vector:7 information:7 readers:7 details:7 clues:7 headers:6 open:6 close:6 given:6 error:6 occurs:6 run:6 cache:6 different:6 stored:6 false:6 store:6 extensions:6 number:6 file:6 executors:6 next:6 files:5 hit:5 filters:5 key:5 entry:5 indexing:5 byte:5 try:5 filter:5 single:5 one:5 reverse:5 integer:5 results:5 queries:5 tree:5 nodes:5 override:4 marked:4 protocols:4 output:4 write:4 exception:4 throw:4 equals:4 types:4 title:4 named:4 yes:4 writing:4 core:4 time:4 prints:4 reader:4 program:4 top:4 urls:4 database:4 callable:4 utility:4 object:4 atomic:4 thread:4 caller:4 replacement:4 rename:4 w:4 en:4 archives:3 generated:3 license:3 header:3 licenses:3 overview:3 b:3 clustering:3 ontology:3 arc:3 length:3 catch:3 create:3 creates:3 input:3 added:3 implementations:3 constructor:3 split:3 computation:3 action:3 holds:3 common:3 host:3 site:3 size:3 info:3 client:3 part:3 actually:3 points:3 check:3 getting:3 allows:3 sort:3 start:3 rows:3 simple:3 used:3 build:2 sources:2 documents:2 parser:2 printing:2 instance:2 collection:2 unit:2 version:2 collections:2 converting:2 returns:2 stop:2 processing:2 passed:2 provides:2 way:2 digest:2 compress:2 pos:2 offset:2 super:2 segments:2 clear:2 functionality:2 available:2 loading:2 problem:2 example:2 holding:2 long:2 need:2 updates:2 print:2 future:2 executor:2 call:2 beans:2 methods:2 formats:2 returned:2 mime:2 populated:2 returning:2 end:2 multiple:2 format:2 useful:2 threads:2 ip:2 failing:2 due:2 fetching:2 pool:2 perform:2 servers:2 also:2 times:2 icu:2 detecting:2 auto:2 guess:2 encoding:2 often:2 extra:2 step:2 replace:2 exists:2 closing:2 recursion:2 children:2 root:2 head:2 hudson:2 missing:2 trying:1 definition:1 task:1 notes:1 binaries:1 standards:1 licensed:1 optional:1 required:1 unknown:1 indicates:1 readable:1 unreadable:1 binary:1 require:1 compressed:1 notices:1 n:1 token:1 generator:1 injector:1 signature:1 entities:1 feed:1 office:1 cached:1 protected:1 control:1 robot:1 configure:1 ignored:1 progress:1 put:1 unchecked:1 inbound:1 included:1 converted:1 enumeration:1 properties:1 manipulate:1 responsible:1 adding:1 aggregated:1 databases:1 therefore:1 possible:1 removed:1 changed:1 representing:1 standard:1 collect:1 active:1 trim:1 handled:1 placed:1 well:1 names:1 special:1 grouping:1 perm:1 temp:1 maintain:1 full:1 indexes:1 server:1 commit:1 starting:1 valued:1 container:1 constant:1 extend:1 large:1 provided:1 parsing:1 searching:1 accomplished:1 various:1 providing:1 existing:1 hooks:1 defined:1 defines:1 must:1 implemented:1 listed:1 manifest:1 central:1 technical:1 concepts:1 behind:1 including:1 default:1 show:1 eventually:1 forms:1 cycle:1 identifies:1 cycles:1 inside:1 web:1 graph:1 along:1 dumps:1 major:1 uses:1 reads:1 represented:1 arrays:1 ping:1 allow:1 many:1 sets:1 though:1 variables:1 easily:1 changing:1 plain:1 debugging:1 application:1 production:1 writes:1 containing:1 correct:1 configures:1 already:1 nothing:1 found:1 populate:1 handle:1 summaries:1 bean:1 takes:1 converts:1 endings:1 spaces:1 working:1 streaming:1 languages:1 synchronized:1 spin:1 resolve:1 addresses:1 verify:1 pages:1 bad:1 gets:1 address:1 load:1 testing:1 specified:1 searches:1 approximate:1 running:1 individual:1 showtimes:1 significant:1 changes:1 made:1 representative:1 logic:1 redirects:1 character:1 encodings:1 broadly:1 encompasses:1 two:1 functions:1 distinctly:1 separate:1 taking:1 making:1 best:1 real:1 might:1 g:1 tags:1 wrong:1 still:1 potentially:1 may:1 differ:1 thus:1 typical:1 calling:1 sequence:1 generate:1 detected:1 combine:1 dependent:1 probable:1 answer:1 operations:1 replaces:1 removes:1 replaced:1 removing:1 remove:1 needed:1 delete:1 closes:1 group:1 generic:1 wrapper:1 inject:1 abstract:1 initialize:1 walking:1 using:1 instead:1 walked:1 popped:1 automatically:1 called:1 currently:1 safe:1 assumed:1 accessing:1 starts:1 pushes:1 allowing:1 us:1 walk:1 use:1 contains:1 please:1 refer:1 following:1 source:1 engine:1 successful:1 total:1 second:1 think:1 done:1 integrated:1 zones:1 rest:1 issues:1 released:1;2009-02-17T14:03:06.000+0000;2009-02-18T09:15:52.000+0000;;;1.0.0;4;2009-02-17T14:03:57.748+0000;2009-03-27T20:28:13.393+0000;0;0;;;0;;;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-694;Blocker;Closed;nadine hochstotter;siren;;distributed:1 search:1 server:1 fails:1;java:50 apache:42 server:17 invoke:14 searcher:12 info:10 core:9 reflect:8 call:8 run:6 sun:6 method:6 handler:6 search:4 unknown:4 distributed:3 io:3 protocol:3 reload:3 manager:3 service:3 valves:3 process:3 starting:3 use:2 mode:2 error:2 native:2 client:2 http:2 coyote:2 thread:2 return:2 ping:2 single:1 two:1 crawl:1 directories:1 described:1 manual:1 new:1 trunk:1 version:1 fails:1 local:1 one:1 index:1 works:1 fine:1 throws:1 following:1 exception:1 source:1 start:1 authenticator:1 connector:1 tomcat:1 net:1 worker:1 log:1 true:1 working:1 properly:1;java:38 info:25 apache:25 return:12 call:11 client:10 run:8 concurrent:8 true:7 ping:7 server:5 searcher:5 search:4 tomcat:4 thread:4 logger:4 commons:4 logging:4 hi:3 web:3 application:3 new:3 exception:3 null:3 loader:3 access:3 connection:3 sami:2 tried:2 patch:2 work:2 job:2 results:2 try:2 fine:2 thank:2 help:2 context:2 feb:2 pm:2 already:2 illegal:2 caused:2 unknown:2 executors:2 worker:2 thanks:2 trunk:2 hudson:2 fixed:1 problem:1 probably:1 use:1 single:1 strange:1 update:1 ends:1 normally:1 war:1 patching:1 ant:1 clean:1 deploy:1 best:1 still:1 updated:1 query:1 get:1 blank:1 page:1 even:1 terminal:1 ideas:1 worked:1 idea:1 log:1 default:1 der:1 false:1 hits:1 reloading:1 started:1 core:1 listener:1 configured:1 duplicate:1 definition:1 ignored:1 creating:1 bean:1 instance:1 stopped:1 load:1 eventual:1 following:1 stack:1 trace:1 error:1 thrown:1 debugging:1 purposes:1 well:1 attempt:1 terminate:1 functional:1 impact:1 invoke:1 source:1 sync:1 de:1 user:1 close:1 may:1 occur:1 reload:1 restarting:1 directly:1 related:1 please:1 restart:1 using:1 shutdown:1 startup:1 also:1 wrong:1 attaching:1 manually:1 tested:1 lost:1 somewhere:1 local:1 reinstalled:1 sides:1 restarted:1 reloaded:1 deleted:1 cookies:1 working:1 time:1 cheers:1 committed:1 testing:1 integrated:1 see:1 http:1 zones:1 distributed:1 fails:1 closing:1 issues:1 released:1 version:1;2009-02-19T08:37:42.000+0000;2009-02-23T07:03:11.000+0000;;1.0.0;1.0.0;10;2009-02-19T08:44:52.899+0000;2009-03-27T20:28:13.539+0000;0;2;2009-02-19T08:44:52.764+0000;2009-02-20T08:46:16.838+0000;2;2009-02-19T08:44:52.764+0000;2009-02-20T08:46:16.838+0000;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-695;Major;Closed;dmitry.lihachev;siren;indexer;incorrect:1 mime:1 type:1 detection:1;type:3 content:2 server:1 sends:1 header:1 optional:1 like:1 text:1 html:1 returns:1 null:1 field:1;bug:2 patch:2 trunk:2 hudson:2 test:1 case:1 fixes:1 committed:1 thanks:1 thank:1 sami:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 incorrect:1 mime:1 type:1 detection:1 contributed:1 closing:1 issues:1 released:1 version:1;2009-02-19T10:04:43.000+0000;2009-02-19T10:26:44.000+0000;;1.0.0;1.0.0;6;2009-02-19T10:10:32.524+0000;2009-03-27T20:28:13.673+0000;0;2;2009-02-19T10:11:17.687+0000;2009-02-19T10:13:49.872+0000;2;2009-02-19T10:11:17.687+0000;2009-02-19T10:13:49.872+0000;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-698;Blocker;Closed;dogacan;dogacan;;corrupted:1 crawl:1 cycles:1;change:1 becomes:1 corrupted:1 fetch:1 cycles:1 details:1 see:1 discussion:1 thread:1 http:1 www:1 crashes:1 current:1 trunk:1 html:1;see:2 trunk:2 hudson:2 patch:1 issue:1 broken:1 another:1 wrong:1 priority:1 elevating:1 blocker:1 committed:1 thanks:1 guys:1 integrated:1 http:1 zones:1 apache:1 job:1 corrupted:1 crawl:1 cycles:1 contributed:1 closing:1 issues:1 released:1 version:1;2009-02-20T08:53:10.000+0000;2009-02-24T10:10:14.000+0000;;;1.0.0;5;2009-02-20T08:54:26.560+0000;2009-03-27T20:28:13.991+0000;0;1;2009-02-20T08:54:26.510+0000;2009-02-20T08:54:26.510+0000;1;2009-02-20T08:54:26.510+0000;2009-02-20T08:54:26.510+0000;;
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-700;Critical;Closed;jnioche;siren;;goes:1 loop:1;http:2 issues:2 goes:1 loop:1 documents:1 e:1 g:1 archive:1 bb:1 post:1 co:1 kr:1 main:1 reverting:1 seems:1 fix:1 problem:1 approach:1 mentioned:1 https:1 apache:1 browse:1 way:1 alleviate:1 similar:1 ps:1 time:1 report:1 people:1 yet:1 stage:1;trunk:2 hudson:2 reported:1 https:1 net:1 tracker:1 index:1 detail:1 aid:1 one:1 bit:1 effect:1 parsing:1 hangs:1 forever:1 promoting:1 fixed:1 reverted:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 closing:1 issues:1 released:1 version:1;2009-02-20T10:44:02.000+0000;2009-03-02T10:21:06.000+0000;;1.0.0;1.0.0;5;2009-02-20T11:33:22.182+0000;2009-03-27T20:28:14.216+0000;0;0;;;0;;;Reference:NUTCH-680;Reference:NUTCH-696
NUTCH;ASF;Apache Nutch Committee;web-framework;NUTCH-703;Blocker;Closed;ab;ab;;upgrade:1;release:2 notes:1 fixes:1 many:1 critical:1 bugs:1 including:1 data:1 loss:1 issues:1;trunk:2 hudson:2 working:1 fixed:1 rev:1 integrated:1 see:1 http:1 zones:1 apache:1 job:1 upgrade:1;2009-02-25T16:45:42.000+0000;2009-02-27T18:54:59.000+0000;;1.0.0;1.0.0;3;2009-02-27T06:23:10.208+0000;2009-02-28T04:15:39.078+0000;0;0;;;0;;;;
