Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-1;Major;Closed;ilgrosso;mdisabatino;;license:1 headers:1 correct:1;syncope:2 fixing:2 change:1 source:1 file:1 headers:1 java:1 pom:1 js:1 configuration:1 indicated:1 https:1 apache:1 incubator:1 trunk:1 license:1 header:1 see:1 reference:1 mail:1 thread:1 http:1 search:1 q:1 query:1 page:1 mid:1 state:1 results:1;issue:2 version:2 reopening:1 workflow:1 decided:1 fixed:1 goes:1 resolved:1 status:1 release:1 close:1 issues:1 related:1 bulk:1 closing:1 incubating:1;2012-02-21T14:26:29.000+0000;2012-02-27T08:26:21.000+0000;;1.0.0-incubating;1.0.0-incubating;2;2012-02-27T08:23:24.785+0000;2012-04-27T07:54:02.585+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-3;Major;Closed;ilgrosso;ilgrosso;;include:1 notice:1 license:1 artifacts:1;described:1 http:1 www:1 apache:1 release:1 html:1 distribute:1 artifacts:1;issues:5 issue:5 workflow:4 version:4 close:4 http:4 release:3 one:3 adopt:2 fixed:2 goes:2 resolved:2 status:2 related:2 suggest:1 adopted:1 maven:1 commons:1 sound:1 best:1 people:1 apache:1 twitter:1 www:1 sounds:1 good:1 use:1 work:1 usually:1 opened:1 allows:1 users:1 check:1 resolution:1 correct:1 project:1 becomes:1 think:1 safe:1 done:1 used:1 slightly:1 different:1 tracker:1 always:1 space:1 learn:1 read:1 reasons:1 course:1 projects:1 agree:1 going:1 reopen:1 closed:1 days:1 including:1 current:1 thanks:1 reopening:1 decided:1 bulk:1 closing:1 incubating:1;2012-02-23T07:41:54.000+0000;2012-02-27T08:26:32.000+0000;;1.0.0-incubating;1.0.0-incubating;6;2012-02-24T19:45:49.710+0000;2012-04-27T07:43:01.151+0000;0;0;;;0;;;Reference:SYNCOPE-2;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-8;Critical;Closed;ilgrosso;ilgrosso;core;error:1 type:1 exist:1;seems:1 report:1 handling:1 serialized:1 instance:1 work:1 probably:1 oracle:1;http:9 apache:7 subversion:4 commits:4 issue:3 people:3 syncope:3 closing:2 comment:2 contained:2 twitter:2 www:2 hi:1 te:1 resolution:1 nice:1 including:1 also:1 revision:1 number:1 fix:1 link:1 find:1 commit:1 message:1 give:1 details:1 review:1 patch:1 hum:1 make:1 particularly:1 happy:1 enough:1 purpose:1 mean:1 https:1 issues:1 browse:1 page:1 tabs:1 example:1 fixed:1 two:1 duplicating:1 information:1 section:1 forgot:1 automatic:1 enabled:1 please:1 forget:1 mind:1 projects:1 involved:1 bits:1 sometimes:1 get:1 lost:1 somewhere:1 anyway:1 important:1 new:1 community:1 understands:1 deal:1 correctly:1 tools:1 procedures:1 comments:1 always:1 welcome:1 cocoon:1 member:1 bulk:1 incubating:1;2012-02-24T17:13:02.000+0000;2012-02-27T11:47:58.000+0000;;1.0.0-incubating;1.0.0-incubating;5;2012-02-27T12:29:46.866+0000;2012-05-08T12:50:38.212+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-10;Major;Closed;fmartelli;fmartelli;core;update:1 imply:1 related:1 connector:1 spring:1 beans:1 reloading:1;connector:2 modifying:1 instance:1 console:1 related:1 spring:1 beans:1 reloaded:1;bulk:1 closing:1 incubating:1;2012-02-28T10:56:09.000+0000;2012-02-28T15:36:42.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:46:19.710+0000;2012-04-27T07:46:19.710+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-11;Major;Closed;mdisabatino;mdisabatino;console;editing:1 virtual:1 attribute:1 error:1 submit:1;rest:7 syncope:5 core:5 error:4 log:4 controller:4 java:4 jar:4 release:4 virtual:3 attribute:3 na:3 console:2 click:2 save:2 button:2 opt:2 update:2 test:2 invoke:2 framework:2 spring:2 saved:1 change:1 procedure:1 reproduces:1 problem:1 password:1 create:1 new:1 edit:1 warn:1 web:1 client:1 post:1 request:1 http:1 user:1 resulted:1 found:1 invoking:1 handler:1 find:1 derived:1 schema:1 exception:1 thrown:1 methods:1 class:1 generated:1 net:1 proxy:1 proceed:1;bulk:1 closing:1 incubating:1;2012-02-29T10:19:28.000+0000;2012-02-29T13:39:58.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:46:31.187+0000;2012-04-27T07:46:31.187+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-12;Major;Closed;mdisabatino;mdisabatino;console;error:1 selenium:1 tests:1;span:14 error:9 syncope:8 console:8 element:7 found:7 delete:6 tests:2 id:2 table:2 selenium:1 tabs:1 li:1 timed:1 users:1 contain:1;bulk:1 closing:1 incubating:1;2012-02-29T14:02:13.000+0000;2012-02-29T18:09:44.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:46:44.747+0000;2012-04-27T07:46:44.747+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-16;Major;Closed;fmartelli;fmartelli;core;update:1 propagation:1 fails:1 case:1 virtual:1 attributes:1;update:1 propagation:1 fails:1 case:1 virtual:1 attributes:1;bulk:1 closing:1 incubating:1;2012-03-01T11:41:37.000+0000;2012-03-01T15:09:42.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:47:27.399+0000;2012-04-27T07:47:27.399+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-17;Major;Closed;mdisabatino;mdisabatino;core;manage:1 configuration:1 exception:1;framework:9 java:8 na:8 reflect:4 local:4 internal:4 jar:4 invoke:4 operations:3 rest:2 sun:2 method:2 manage:1 error:1 syncope:1 core:1 controller:1 exception:1 thrown:1 methods:1 common:1 exceptions:1 validate:1 unknown:1 source:1;bulk:1 closing:1 incubating:1;2012-03-01T14:28:34.000+0000;2012-03-01T14:53:40.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:50:03.988+0000;2012-04-27T07:50:03.988+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-18;Major;Closed;fmartelli;fmartelli;console core;virtual:1 attributes:1 mapped:1;virtual:1 attributes:1 mapped:1 external:1 resource:1 current:1 behavior:1 must:1 modified:1 order:1 prevent:1 action:1;bulk:1 closing:1 incubating:1;2012-03-01T15:14:01.000+0000;2012-03-13T16:38:51.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:50:00.502+0000;2012-04-27T07:50:00.502+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-21;Critical;Closed;fmartelli;massi;core;unique:1 index:1 primary:1 key:1 violation:1 non:1 empty:1 database:1;apache:15 java:13 jar:13 executor:5 update:5 execute:4 database:3 statement:3 tables:2 error:2 insert:2 values:2 wrap:2 starting:1 empty:1 creates:1 goes:1 smooth:1 instead:1 already:1 populated:1 including:1 exception:1 thrown:1 reported:1 guess:1 happening:1 sort:1 incremental:1 mechanism:1 generating:1 ids:1 take:1 account:1 existing:1 rows:1 table:1 exceptions:1 updating:1 cause:1 unique:1 index:1 primary:1 key:1 violation:1 public:1 code:1 state:1 access:1 kernel:1 session:1 defaults:1 common:1 frames:1 omitted:1;issue:5 long:5 next:4 class:4 table:4 public:3 property:3 version:2 problem:2 content:2 syncope:2 must:2 new:2 schema:2 export:2 first:2 right:2 value:2 deploy:2 values:2 updating:1 seems:1 raised:1 exception:1 implied:1 including:1 information:1 opened:1 http:1 browse:1 act:1 waiting:1 possible:1 fix:1 coming:1 team:1 found:1 release:1 hi:1 guys:1 downloading:1 source:1 workflow:1 engine:1 debugged:1 understand:1 root:1 cause:1 follow:1 java:1 implements:1 command:1 private:1 static:1 final:1 protected:1 execute:1 return:1 uses:1 retrieve:1 select:1 history:1 create:1 opinion:1 tables:1 ignored:1 equals:1 add:1 attached:1 patch:1 code:1 db:1 import:1 operation:1 delete:1 rows:1 insert:1 default:1 updated:1 bulk:1 closing:1 incubating:1;2012-03-02T09:01:55.000+0000;2012-03-16T14:17:39.000+0000;;1.0.0-incubating;1.0.0-incubating;6;2012-03-02T15:07:58.165+0000;2012-04-27T07:29:47.337+0000;0;3;2012-03-16T09:12:43.330+0000;2012-03-16T14:05:31.471+0000;3;2012-03-16T09:12:43.330+0000;2012-03-16T14:05:31.471+0000;Reference:SYNCOPE-19;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-23;Major;Closed;fmartelli;fmartelli;console;tab:1 glitches:1;tab:1 rows:1 display:1 field:1 little:1 bit:1 box:1 user:1 request:1 table:1 short:1;bulk:1 closing:1 incubating:1;2012-03-02T09:19:01.000+0000;2012-03-02T10:00:31.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:50:12.211+0000;2012-04-27T07:50:12.211+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-27;Major;Closed;ilgrosso;ilgrosso;core;reflection:1 aware:1 rest:1 methods:1 consider:1 classes:1 explicitly:1 implementing:1 interfaces:1;take:1 instance:1 class:1 extending:1 explicitly:1 implementing:1 reported:1;bulk:1 closing:1 incubating:1;2012-03-07T14:40:20.000+0000;2012-03-07T15:00:21.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:56:35.905+0000;2012-04-27T07:56:35.905+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-29;Major;Closed;ilgrosso;ilgrosso;core;deployment:1 final:1 work:1;cargo:2 reported:1 current:1 maven:1 able:1 deal:1 final:1 fix:1 currently:1 available:1 snapshot:1 soon:1 released:1 profile:1 must:1 updated:1 http:1 browse:1;bulk:1 closing:1 incubating:1;2012-03-08T13:27:47.000+0000;2012-04-02T16:18:48.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-05-08T12:50:18.193+0000;2012-05-08T12:50:18.193+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-30;Critical;Closed;ilgrosso;ilgrosso;archetype;archetype:2 generation:1 fails:1 error:1 defined:1 artifact:1;archetype:4 apache:3 syncope:3 project:2 generate:2 snapshot:2 error:2 maven:2 generating:1 new:1 net:1 test:1 https:1 repository:1 content:1 repositories:1 snapshots:1 returned:1 failed:1 execute:1 goal:1 default:1 cli:1 pom:1 defined:1 artifact:1;;2012-03-08T13:45:09.000+0000;2012-03-08T14:36:36.000+0000;;1.0.0-incubating;1.0.0-incubating;0;;;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-31;Major;Closed;fmartelli;fmartelli;core;user:1 status:1 propagated:1 update:1;update:2 user:2 status:2 synchronization:1 necessary:1 propagate:1 unfortunately:1 moment:1 happen:1 code:1 must:1 changed:1 class:1 order:1 retrieve:1 manage:1 calling:1 method:1;bulk:1 closing:1 incubating:1;2012-03-08T14:43:03.000+0000;2012-03-09T09:11:22.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:34:48.712+0000;2012-04-27T07:34:48.712+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-32;Major;Closed;fmartelli;fmartelli;;missing:1 type:1 class:1;missing:1 type:1 class:1;bulk:1 closing:1 incubating:1;2012-03-09T08:54:47.000+0000;2012-03-09T09:11:42.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:36:14.657+0000;2012-04-27T07:36:14.657+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-33;Major;Closed;fmartelli;fmartelli;core;virtual:1 attribute:1 missing:1 synchronization:1;resource:2 virtual:2 synchronization:2 trouble:1 synchronizing:1 external:1 one:1 attributes:1 mapped:1 schemas:1 attribute:1 values:1 retrieved:1 missed:1 perform:1 actions:1;bulk:1 closing:1 incubating:1;2012-03-09T11:45:34.000+0000;2012-03-09T13:58:15.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:39:04.427+0000;2012-04-27T07:39:04.427+0000;0;0;;;0;;;;
SYNCOPE;ASF;Apache Syncope Committee;security;SYNCOPE-34;Major;Closed;fmartelli;fmartelli;core;propagation:1 fo:1 virtual:1 attributes:1 retrieved:1 generated:1 synchronization:1;virtual:1 attributes:1 retrieved:1 generated:1 synchronization:1 propagated:1 external:1 resources:1;bulk:1 closing:1 incubating:1;2012-03-09T15:36:01.000+0000;2012-03-09T15:39:55.000+0000;;1.0.0-incubating;1.0.0-incubating;1;2012-04-27T07:37:24.294+0000;2012-04-27T07:37:24.294+0000;0;0;;;0;;;;
