Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-131;Major;Closed;deron;dusenberrymw;Test;tests:1 run:1 r:1 version:1 x:1;r:5 latest:2 x:2 installed:2 mac:2 using:2 run:2 installation:1 required:1 testing:1 current:1 version:1 brew:1 java:1 see:1 following:1 console:1 error:1 v:1 find:1 function:1 calls:1 execution:1 halted:1 manually:1 installing:1 fixed:1 tests:1 versions:1;issue:1 resolved:1 pr:1 https:1 pull:1;2015-08-14T18:31:55.000+0000;2016-01-06T18:48:49.000+0000;;;;1;2015-08-24T05:18:10.381+0000;2015-08-24T05:18:10.381+0000;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-146;Minor;Closed;deron;mboehm7;;missing:2 input:2 file:2 data:1 error:1 message:1 reports:1 metadata:1;bi:19 java:15 parser:13 missing:11 error:8 file:6 expression:6 algorithms:5 sample:5 incomplete:5 dimension:5 information:5 read:5 statement:5 metadata:4 line:4 column:4 data:3 execute:3 invalid:3 parameters:3 main:3 following:2 script:2 validate:2 let:1 say:1 input:1 exist:1 execution:1 x:1 raised:1 warn:1 provided:1 failed:1 exception:1 thread:1 caused:1 warning:1 basically:1 reporting:1 corresponding:1 make:1 sense:1 report:1 rather:1;;2015-08-14T20:50:33.000+0000;2016-01-10T22:32:54.000+0000;;;;0;;;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-154;Critical;Closed;lresende;lresende;;license:2 using:1 apache:1;;;2015-08-18T17:11:59.000+0000;2016-01-06T18:48:57.000+0000;;;;0;;;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-155;Minor;Closed;deron;mboehm7;APIs;messages:1 doubles:1 instead:1 floats:1;double:3 value:3 messages:2 helper:2 function:2 accepts:2 exactly:2 number:2 types:2 doubles:2 class:1 contains:1 references:1 type:1 arguments:1 constant:1 rows:1 columns:1 argument:1 either:1 string:1 according:1 language:1 reference:1 two:1 data:1 matrix:1 scalar:1 four:1 float:1 supported:1 assume:1 user:1 always:1 see:1 floats:1 rather:1 avoid:1 confusion:1 even:1 actually:1 used:1 actual:1 implementation:1;;2015-08-18T20:43:40.000+0000;2016-01-10T22:32:26.000+0000;;;;0;;;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-248;Major;Closed;freiss;freiss;;maven:1 build:1 still:1 turns:1 variable:1 default:1;build:2 maven:1 system:1 ml:1 pom:1 still:1 sets:1 variable:1 true:1 behavior:1 old:1 problems:1 environment:1 turned:1 also:1 need:1 track:1 documentation:1 tells:1 developers:1 set:1 false:1 running:1 tests:1;reporter:3 resolved:2 issues:2 verification:2 removed:1 portions:1 pom:1 set:1 updated:1 md:1 awaiting:1 self:1 reported:1 assignee:1 need:1 moved:1 closed:1 state:1;2015-08-21T16:25:18.000+0000;2016-01-06T18:48:43.000+0000;;;;2;2015-08-21T16:25:18.405+0000;2015-09-12T02:19:57.526+0000;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-249;Major;Closed;freiss;freiss;;source:1 control:1 metadata:1 fully:1 imported:1;files:3 generated:2 picked:2 metadata:1 keeps:1 source:1 control:1 system:1 still:1 bugs:1 input:1 output:1 test:1 cases:1 old:1 sprinkled:1 throughout:1 project:1;reporter:3 resolved:2 issues:2 verification:2 metadata:1 appears:1 correct:1 awaiting:1 self:1 reported:1 assignee:1 need:1 moved:1 closed:1 state:1;2015-08-21T16:44:07.000+0000;2016-01-06T18:48:49.000+0000;;;;2;2015-09-01T20:15:36.238+0000;2015-09-12T02:19:57.627+0000;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-251;Critical;Closed;dusenberrymw;dusenberrymw;;execution:1 using:1 platform:1 fails:1 due:1 permission:1 issues:1 run:1 local:1 mode:1;local:3 mode:2 folder:2 permissions:2 parent:2 folders:2 installed:1 run:1 laptop:1 execution:1 uses:1 platform:1 fail:1 due:1 permission:1 issues:1 points:1 appended:1 current:1 working:1 directory:1 needs:1 os:1 x:1 default:1;fix:1 simply:1 set:1 scratch:1 default:1 temporary:1 folder:1 location:1 os:1 x:1;2015-09-01T21:26:19.000+0000;2016-01-11T20:59:21.000+0000;;;;1;2016-01-11T20:59:21.296+0000;2016-01-11T20:59:21.296+0000;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-252;Major;Closed;freiss;freiss;;regression:1 suite:1 files:1 missing:1 test:1 classes:1;test:4 tests:3 run:3 currently:2 suites:2 maven:2 build:2 use:1 group:1 together:1 concurrently:1 uses:1 parallel:1 unfortunately:1 many:1 suite:1 files:1 updated:1 set:1 harness:1 classes:1 changed:1 number:1 result:1;reporter:3 resolved:2 issues:2 verification:2 maven:1 build:1 appears:1 run:1 tests:1 awaiting:1 self:1 reported:1 assignee:1 need:1 moved:1 closed:1 state:1;2015-08-24T17:56:46.000+0000;2016-01-06T18:48:48.000+0000;;;;2;2015-09-01T20:16:59.324+0000;2015-09-12T02:19:57.464+0000;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-256;Major;Closed;freiss;freiss;;regression:1 tests:1 delete:1 temporary:1 directories:1;system:7 ml:7 temporary:7 files:6 unable:5 remove:5 directory:5 users:5 git:5 empty:5 tests:4 directories:3 test:2 create:2 finishing:1 case:1 superclass:1 regression:1 attempts:1 delete:1 match:1 pattern:1 temp:1 sure:1 ones:1 names:1 like:1 multiple:1 run:1 parallel:1 maven:1 build:1 cleanup:1 code:1 interferes:1 leading:1 failures:1 following:1;temp:3 run:3 resolved:3 reporter:3 issue:2 x:2 staff:2 aug:2 local:2 going:2 make:2 test:2 tests:2 files:2 root:2 directory:2 project:2 issues:2 verification:2 case:1 helps:1 figure:1 system:1 ml:1 directories:1 links:1 typically:1 disappear:1 quickly:1 example:1 thanks:1 info:1 temporary:1 must:1 coming:1 difficult:1 go:1 away:1 disable:1 cleanup:1 code:1 harness:1 leave:1 long:1 crash:1 middle:1 call:1 close:1 defect:1 complete:1 regression:1 change:1 verified:1 spurious:1 end:1 way:1 laptop:1 errors:1 marking:1 awaiting:1 self:1 reported:1 assignee:1 need:1 moved:1 closed:1 state:1;2015-08-25T21:50:37.000+0000;2016-01-06T18:48:46.000+0000;;;;4;2015-08-25T22:16:41.354+0000;2015-09-12T02:19:56.785+0000;0;0;;;0;;;;
SYSTEMML;ASF; Apache SystemML Committee;machine-learning;SYSTEMML-258;Major;Closed;akchin;akchin;;fails:1 due:1 incorrect:1 filename:1;test:7 inverse:7 functions:6 unary:6 matrix:6 scripts:4 bi:3 java:3 case:2 fails:2 r:2 integration:2 io:2 file:2 directory:2 find:1 files:1 output:1 time:1 elapsed:1 sec:1 failure:1 failed:1 run:1 script:1 exception:1 message:1 sensitivity:1 problem:1 actual:1 filenames:1 begin:1 uppercase:1 e:1 g:1;reporter:3 resolved:2 issues:2 verification:2 edited:1 test:1 case:1 look:1 actual:1 filename:1 capital:1 merged:1 master:1 branch:1 awaiting:1 self:1 reported:1 assignee:1 need:1 moved:1 closed:1 state:1;2015-08-27T20:25:05.000+0000;2016-01-06T18:48:55.000+0000;;;;2;2015-08-27T20:25:51.151+0000;2015-09-12T02:19:57.060+0000;0;0;;;0;;;;
