Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-441;Major;Closed;hlship;hlship;tapestry-core;tapestry:1 using:1 map:1 file:1 extensions:1 mime:1 types:1;slipped:1 cracks:1 guess:1 ok:1 mime:1 type:1 configured:1 within:1 tapestry:1 already:1 standard:1 mechanism:1 exploited:1;;2009-01-08T05:28:10.000+0000;2009-01-09T00:11:02.000+0000;;5.1.0.0;5.1.0.0;0;;;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-443;Blocker;Closed;fern;hlship;tapestry-upload;clicking:1 action:1 link:1 using:1 tapestry:1 upload:1 always:1 throws:1 exception:1;remove:2 java:2 causes:1 bad:1 exception:1 tapestry:1 tries:1 resolve:1 dependency:1 asking:1 traditional:1 think:1 want:1 uses:1 secondary:1 marker:1;java:101 apache:75 tapestry:56 services:55 service:46 info:41 internal:35 upload:29 error:28 snapshot:26 registry:16 traditional:15 jetty:15 jar:13 core:12 class:12 howard:12 work:11 users:11 handle:11 invoking:10 invoke:10 marker:8 target:8 repository:8 list:8 test:7 markers:7 logger:7 main:6 clean:6 injection:6 bind:6 primary:6 method:6 resources:5 checking:5 updates:5 type:5 umbrella:5 copy:4 two:4 install:4 source:4 run:4 patch:4 annotation:4 determining:4 value:4 parameter:4 handler:4 configuration:3 code:3 exception:3 tests:3 building:3 file:3 default:3 warning:3 time:3 sources:3 point:3 unable:3 locate:3 single:3 assignable:3 following:3 match:3 map:3 dispatch:3 index:2 revision:2 working:2 io:2 public:2 component:2 final:2 works:2 currently:2 broken:2 see:2 right:2 sure:2 directory:2 execution:2 using:2 encoding:2 filtered:2 metadata:2 retrieved:2 due:2 transferring:2 blacklisted:2 compiler:2 compiling:2 files:2 classes:2 running:2 failures:2 errors:2 skipped:2 removing:2 needed:2 project:2 installing:2 m2:2 multiple:2 injected:2 based:2 intersection:2 someone:2 issues:2 unit:2 actually:2 way:2 differentiate:2 one:2 dream:2 operations:2 trace:2 realizing:2 collecting:2 ordered:2 builder:2 contribution:2 constructor:2 server:2 pipeline:2 import:1 implements:1 private:1 external:1 url:1 dd:1 dl:1 void:1 verify:1 bug:1 stands:1 bamboo:1 get:1 problem:1 end:1 logs:1 complains:1 including:1 include:1 spring:1 annotations:1 even:1 conceptually:1 declaring:1 scanning:1 projects:1 library:1 task:1 segment:1 deleting:1 compile:1 report:1 reports:1 e:1 parser:1 elapsed:1 sec:1 results:1 preparing:1 forked:1 prevent:1 recursive:1 invocation:1 goals:1 skipping:1 build:1 successful:1 total:1 seconds:1 finished:1 mon:1 jan:1 pst:1 memory:1 thing:1 reading:1 asking:1 marked:1 figure:1 mailing:1 brings:1 dependencies:1 testing:1 maybe:1 integration:1 statement:1 eating:1 smart:1 enough:1 use:1 long:1 determine:1 patched:1 depending:1 implementations:1 fix:1 force:1 also:1 add:1 every:1 want:1 bring:1 go:1 summary:1 trying:1 inject:1 submitted:1 mentioned:1 refers:1 together:1 adding:1 simply:1 sorry:1 dismiss:1 hand:1 bit:1 worked:1 many:1 anyway:1 reproduce:1 created:1 new:1 empty:1 dependency:1 construction:1 failed:1 delegate:1 bar:1 security:1 thread:1 hm:1 found:1 gap:1 used:1 thus:1 instance:1 really:1 distinguish:1 contributed:1;2009-01-09T06:12:31.000+0000;2009-01-15T17:37:33.000+0000;;5.1.0.0;5.1.0.0;9;2009-01-09T06:18:38.751+0000;2009-01-15T17:31:53.145+0000;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-444;Trivial;Closed;fern;hlship;tapestry-core;uses:1 override:1 annotation:1 improperly:1;java:6 interface:3 tapestry:3 test:3 apache:3 internal:3 override:2 eclipse:1 flags:1 error:1 annotating:1 actually:1 overriding:1 parent:1 debated:1 nice:1 remove:1 index:1 revision:1 working:1 copy:1 public:1 string:1;;2009-01-09T06:14:53.000+0000;2009-01-11T22:43:22.000+0000;;5.1.0.0;5.1.0.0;0;;;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-449;Blocker;Closed;hlship;hlship;tapestry-core;render:1 phase:1 methods:1 always:1 invoked:1;page:2 executed:2 defined:1 part:1 rendering:1 also:1 included:1;;2009-01-13T17:01:45.000+0000;2009-01-13T18:13:33.000+0000;;5.0.19 5.1.0.0;5.0.19 5.1.0.0;0;;;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-454;Major;Closed;hlship;hlship;tapestry-core;version:2 number:2 assets:1 automatically:1 application:1 url:1;unmapped:1 package:1 still:1 accessible:1 version:1 number:1 even:1 though:1 assets:1 far:1 future:1 expires:1 header:1;package:2 easy:1 fix:1 contribute:1 mapping:1 version:1 slight:1 tweak:1 allow:1 empty:1 string:1 name:1 prefix:1;2009-01-20T17:05:31.000+0000;2009-01-23T22:53:07.000+0000;;5.1.0.0;5.1.0.0;1;2009-01-23T22:50:33.873+0000;2009-01-23T22:50:33.873+0000;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-457;Critical;Closed;messi;hlship;tapestry-core;illegal:1 prefix:1;de:4 http:3 www:3 html:2 tapestry:1 replaces:1 default:1 alias:1 explicitly:1 defines:1 illegal:1 like:1 one:1 accept:1 valid:1 template:1 output:1 becomes:1;names:3 http:2 www:2 attached:1 patch:1 adds:1 default:1 prefix:1 mappings:1 apache:1 element:1 required:1 ns:1 constraint:1 reserved:1 prefixes:1 another:1 useful:1 reference:1 within:1 spec:1;2009-01-22T18:06:43.000+0000;2009-01-27T02:10:49.000+0000;;5.0.18;5.1.0.0;2;2009-01-22T18:34:59.722+0000;2009-01-27T01:53:24.813+0000;0;2;2009-01-22T18:34:59.628+0000;2009-01-22T18:34:59.718+0000;1;2009-01-22T18:34:59.628+0000;2009-01-22T18:34:59.628+0000;Reference:TAP5-290;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-464;Major;Closed;hlship;hlship;tapestry-ioc;public:2 interface:1 moved:1 package:1 currently:1 internal:1 even:1 though:1 interfaces:1 reference:1;;;2009-01-24T18:09:13.000+0000;2009-01-24T18:52:59.000+0000;;5.1.0.0;5.1.0.0;0;;;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-467;Minor;Closed;pmoriarty;hlship;tapestry-core;trim:1 spaces:1 comparing:1 accepted:1 encoding:1;sends:3 deflate:3 compares:3 compression:3 enables:2 opera:1 disables:1 tried:1 safari:1;;2009-01-26T08:46:50.000+0000;2009-01-27T01:18:20.000+0000;;5.1.0.0;5.1.0.0;0;;;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-468;Minor;Closed;pmoriarty;hlship;tapestry-core;disregard:1 comparing:1 configured:1 mime:1 types:1;application:2 adding:1 configuration:1 work:1 compared:1 equality:1 probably:1 ignored:1;;2009-01-26T08:50:08.000+0000;2009-01-27T01:04:24.000+0000;;5.1.0.0;5.1.0.0;0;;;0;0;;;0;;;;
TAP5;ASF;Apache Tapestry Committee;web-framework;TAP5-469;Major;Closed;pmoriarty;hlship;tapestry-core;application:1 responses:1 default:1;response:2 compressed:1 responses:1 content:1 type:1 application:1 handled:1 correctly:1 least:1 ie:1 configured:1 default:1 received:1 prototype:1 ajax:1 request:1;application:7 problem:5 jetty:5 configuration:5 mac:4 os:4 x:4 ie:4 windows:4 using:4 reproduce:3 content:3 prototype:3 issue:3 compression:3 see:2 suspect:2 type:2 correct:2 works:2 correctly:2 really:2 work:2 test:2 get:2 server:2 longer:2 maven:2 chunked:2 chunk:2 seems:2 time:2 use:1 assume:1 technically:1 list:1 documentation:1 think:1 correction:1 sure:1 got:1 negative:1 earlier:1 may:1 junk:1 stored:1 local:1 cache:1 forgot:1 disabled:1 entirely:1 unable:1 verified:1 firebug:1 java:1 debugger:1 notes:1 http:1 www:1 ruby:1 forum:1 topic:1 tapestry:1 client:1 responsible:1 garbling:1 leave:1 open:1 little:1 bit:1 right:1 headed:1 contribute:1 identify:1 want:1 interesting:1 observed:1 linux:1 seen:1 browser:1 lends:1 credence:1 suggestion:1 interference:1 run:1 custom:1 tried:1 result:1 noticed:1 response:1 always:1 bytes:1 header:1 arriving:1 first:1 viewed:1 next:1 zero:1 length:1 reports:1 bad:1 tcp:1 checksum:1 responses:1 replicated:1 bypass:1 setting:1 delve:1 deeply:1 still:1 convinced:1 necessary:1 public:1 static:1 void:1 string:1 add:1 encountered:1 fixes:1 expected:1 definitely:1 box:1 well:1 tested:1 ok:1 set:1 default:1 compress:1 feelers:1 mailing:1 lists:1 elsewhere:1 figure:1 going:1 rather:1 understand:1 better:1 solves:1 symptoms:1 agree:1 spent:1 much:1 move:1 let:1 us:1 know:1 find:1;2009-01-26T08:55:27.000+0000;2009-04-08T20:23:16.000+0000;;5.1.0.0;5.1.0.3;15;2009-01-26T23:13:49.010+0000;2009-04-09T07:34:44.718+0000;0;0;;;0;;;;
