Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
TIKA;ASF;Apache Tika Committee;library;TIKA-185;Minor;Closed;arusin;jukkaz;parser;files:1 unsatisfied:1 system:1 entities:1 extracted:1;apache:20 java:16 unknown:14 source:13 parse:12 parser:7 url:6 parsers:6 net:4 extract:2 file:2 system:2 entities:2 chrome:2 protocol:2 trying:1 probably:1 best:1 candidate:1 got:1 exception:1 caused:1 refering:1 however:1 obviously:1 contains:1 accessed:1 time:1 extraction:1 extracted:1 properly:1 stack:1 trace:1 dispatch:1;external:16 entities:14 parser:13 input:5 problem:5 http:5 code:5 java:5 entity:5 url:5 return:5 resolving:5 system:5 content:4 files:4 file:4 think:4 decorator:4 like:4 default:4 empty:4 protocol:3 prevent:3 parse:3 general:3 work:3 factory:3 also:3 features:3 sax:3 resolve:3 revision:3 references:3 must:3 try:3 case:2 blah:2 works:2 ok:2 fails:2 chrome:2 defined:2 using:2 trying:2 method:2 whole:2 protocols:2 fix:2 used:2 opinion:2 documents:2 agree:2 means:2 new:2 false:2 safe:2 possible:2 seems:2 net:2 trunk:2 applications:2 source:2 view:2 markup:2 class:2 make:2 resolved:2 example:2 mechanism:2 get:2 much:2 makes:2 may:2 concerned:2 definitely:2 feature:2 minimal:1 test:1 issue:1 present:1 time:1 extracting:1 otherwise:1 always:1 however:1 exist:1 probably:1 parsers:1 invokes:1 access:1 parsing:1 formats:1 matter:1 extraction:1 stream:1 metadata:1 passed:1 open:1 horde:1 tangential:1 issues:1 dealing:1 validation:1 let:1 apply:1 kiss:1 principles:1 perhaps:1 attacked:1 layer:1 fashion:1 cheers:1 coming:1 exactly:1 principal:1 handled:1 application:1 level:1 passes:1 e:1 g:1 additional:1 handler:1 handles:1 type:1 accessing:1 reasons:1 guarantee:1 existence:1 flat:1 situation:1 gets:1 even:1 worse:1 inside:1 zip:1 strange:1 adding:1 maybe:1 smart:1 enough:1 experimented:1 parameter:1 exception:1 became:1 different:1 still:1 imagine:1 passing:1 handling:1 believe:1 colleagues:1 working:1 solved:1 ago:1 remember:1 details:1 looking:1 old:1 ended:1 implementing:1 subclass:1 calling:1 commit:1 message:1 claims:1 ignores:1 completely:1 way:1 sure:1 run:1 problems:1 might:1 useful:1 stuff:1 directory:1 really:1 worked:1 lately:1 know:1 capabilities:1 detail:1 either:1 included:1 principle:1 provide:1 copied:1 given:1 sometimes:1 contain:1 externally:1 linked:1 lot:1 information:1 lost:1 malformed:1 result:1 urls:1 extensions:1 occur:1 id:1 tries:1 returning:1 invalid:1 stops:1 later:1 break:1 create:1 patch:1 include:1 directly:1 removed:1 one:1 reader:1 reused:1 processed:1 approach:1 perfect:1 agreed:1 ideas:1 contrary:1 security:1 simplicity:1 totally:1 ignore:1 behaviour:1 made:1 strongly:1 least:1 opens:1 worms:1 reference:1 pretty:1 breaks:1 simple:1 output:1 contract:1 configuration:1 option:1 enables:1 resolution:1 appears:1 sought:1 need:1 carefully:1 including:1 fixed:1 implemented:1 silently:1 replace:1 nothing:1 places:1 uses:1 enable:1 secure:1 processing:1 designed:1 bombs:1 breaking:1 sun:1 docs:1 html:1;2009-01-08T15:29:08.000+0000;2009-01-15T23:56:28.000+0000;;0.2;0.3;13;2009-01-08T15:41:26.629+0000;2009-01-15T23:56:28.045+0000;0;2;2009-01-08T15:41:26.587+0000;2009-01-08T15:41:26.626+0000;0;;;;
TIKA;ASF;Apache Tika Committee;library;TIKA-189;Minor;Closed;georger_br;jukkaz;general;text:1 extraction:1 excel:1 files:1 juxtaposes:1 cells:1;xl:9 worksheets:5 fairy:5 output:4 begin:4 jar:4 end:4 text:3 tooth:3 using:2 xls:2 files:2 indexing:2 cells:2 file:2 run:2 java:2 snapshot:2 workbook:2 plan:1 extract:1 excel:1 found:1 juxtaposes:1 example:1 attached:1 zip:1 took:1 time:1 apache:1 poi:1 bug:1 e:1 properly:1 separated:1 get:1 following:1 thing:1 theme:1 styles:1 core:1 also:1 note:1 values:1 juxtaposed:1 well:1 way:1 search:1 engine:1 find:1 substring:1 matching:1 used:1 becomes:1 wrong:1 thanks:1 attention:1 best:1 regards:1;files:13 poi:10 output:8 xls:7 hi:7 problem:7 patch:7 issue:6 handler:6 see:6 office:5 text:5 support:5 new:5 bug:4 cell:4 use:4 characters:4 apache:4 java:4 thanks:4 excel:3 file:3 latest:3 using:3 table:3 trunk:3 correct:3 used:2 modified:2 add:2 space:2 even:2 code:2 entry:2 line:2 know:2 version:2 types:2 tried:2 worked:2 well:2 sax:2 good:2 stream:2 saw:2 apply:2 nice:2 way:2 indexing:2 single:2 beta:2 investigate:2 applied:2 implement:2 looks:2 error:2 loop:2 also:2 give:2 cells:2 based:2 old:2 functions:2 deprecated:2 reproduce:1 face:1 character:1 value:1 search:1 engines:1 modification:1 creates:1 x:1 render:1 added:1 love:1 getting:1 parsed:1 zip:1 parses:1 documents:1 document:1 mime:1 great:1 happen:1 change:1 regards:1 resolves:1 supported:1 moment:1 handled:1 parts:1 extracted:1 extra:1 outputted:1 tags:1 extension:1 http:1 main:1 view:1 automatically:1 inserts:1 n:1 tab:1 listens:1 gets:1 working:1 read:1 really:1 solve:1 parameter:1 integrate:1 people:1 forced:1 engine:1 example:1 coax:1 index:1 content:1 parsing:1 step:1 better:1 supports:1 taking:1 time:1 another:1 one:1 current:1 pass:1 outputs:1 forget:1 missed:1 checked:1 rebuilt:1 got:1 sorry:1 fault:1 tested:1 local:1 open:1 wrong:1 tooth:1 fairy:1 seems:1 forgets:1 insert:1 element:1 little:1 bit:1 sure:1 small:1 found:1 handling:1 hand:1 came:1 https:1 issues:1 id:1 gives:1 want:1 rather:1 jar:1 command:1 stay:1 away:1 messing:1 hope:1 helpful:1 already:1 second:1 ask:1 work:1 patches:1 go:1 weekend:1 yet:1 directly:1 starting:1 point:1 get:1 committed:1 currently:1 solved:1 duplicate:1 complicated:1 suggested:1 beginning:1 misses:1 able:1 remove:1 invalid:1 overwrite:1 dummy:1 believe:1 regression:1 like:1 recent:1 switched:1 zero:1 rows:1 columns:1 caused:1 concatenate:1 values:1 first:1 two:1 row:1 fixed:1 revision:1 merging:1 interface:1 uses:1 counting:1 noted:1 parser:1 ones:1;2009-01-17T18:52:10.000+0000;2009-01-25T21:15:28.000+0000;;0.3;0.3;15;2009-01-17T18:53:17.299+0000;2009-01-25T22:01:37.733+0000;0;3;2009-01-17T18:53:17.240+0000;2009-01-24T09:52:38.638+0000;2;2009-01-22T20:53:25.902+0000;2009-01-24T09:52:38.638+0000;;Reference:TIKA-188
TIKA;ASF;Apache Tika Committee;library;TIKA-190;Major;Closed;uschindler;jukkaz;;wrong:1 handling:1 characters:1;investigation:1 found:1 following:1 patch:1 correct:1 looking:1 output:1 internal:1 handling:1 incorrect:1 inserts:1 tabs:1 superclass:1 bug:1 forwards:1 decorators:1 characters:1 event:1 copy:1 n:1 paste:1 error:1 fixing:1 tests:1 fail:1 removes:1;patch:2 attached:1 fixes:1 applied:1 revision:1 thanks:1;2009-01-23T08:18:37.000+0000;2009-01-25T20:32:12.000+0000;;0.3;0.3;2;2009-01-23T08:19:37.782+0000;2009-01-25T20:32:12.333+0000;0;1;2009-01-23T08:19:37.763+0000;2009-01-23T08:19:37.763+0000;1;2009-01-23T08:19:37.763+0000;2009-01-23T08:19:37.763+0000;;
TIKA;ASF;Apache Tika Committee;library;TIKA-193;Minor;Closed;jonathankoren;jukkaz;parser;adds:1 mime:1 type:1 twice:1;metadata:4 added:2 application:2 using:1 call:1 causes:1 mime:1 type:1 twice:1 exactly:1 proposed:1 fix:1 parser:1 java:1 changed:1 add:1 set:1 bundled:1 parsers:1;type:7 set:4 content:4 parser:3 metadata:3 cases:3 parsers:2 add:2 setting:2 patch:2 specific:2 application:2 see:1 currently:1 perhaps:1 remove:1 functionality:1 instead:1 rely:1 component:1 java:1 converts:1 committed:1 revision:1 thanks:1 resolving:1 fixed:1 classes:1 used:1 directly:1 even:1 useful:1 also:1 implementation:1 may:1 information:1 thus:1 provide:1 accurate:1 testing:1 cell:1 current:1 trunk:1 seeing:1 added:1 twice:1 name:1 edit:1 false:1 alarm:1 old:1 jar:1;2009-01-27T06:54:02.000+0000;2009-05-27T18:46:11.000+0000;;0.3;0.4;5;2009-01-27T07:41:20.724+0000;2009-09-10T16:20:35.920+0000;0;1;2009-03-10T05:18:19.310+0000;2009-03-10T05:18:19.310+0000;1;2009-03-10T05:18:19.310+0000;2009-03-10T05:18:19.310+0000;;
TIKA;ASF;Apache Tika Committee;library;TIKA-196;Critical;Closed;jukkaz;jukkaz;config;configuration:1 parser:1 fails:1 java:1;java:3 like:2 parsers:2 put:2 mime:2 trim:2 parser:2 element:2 node:2 reported:1 mailing:1 list:1 class:1 work:1 even:1 version:1 explains:1 suggest:1 minor:1 patch:1 backward:1 compatibilities:1 constructor:1 replaced:1 code:1 null:1 important:1 available:1 become:1 useless:1;fixed:1 revision:1;2009-02-03T20:39:51.000+0000;2009-02-04T00:59:00.000+0000;;0.2;0.3;1;2009-02-04T00:59:00.604+0000;2009-02-04T00:59:00.604+0000;0;0;;;0;;;;
TIKA;ASF;Apache Tika Committee;library;TIKA-197;Major;Closed;kumarraja.j;jukkaz;parser;outlook:1 msg:1 files:1 get:1 parsed:1 multiple:1 times:1;outlook:1 msg:1 files:1 get:1 parsed:1 around:1 times:1 using:1;outlook:4 issue:3 document:2 thanks:2 special:2 pattern:2 specific:2 entries:2 entry:2 sample:1 testing:1 reporting:1 caused:1 class:1 using:1 detecting:1 inside:1 container:1 format:1 parsing:1 triggered:1 internal:1 matching:1 detected:1 previous:1 test:1 msg:1 file:1 contained:1 one:1 never:1 saw:1 apparently:1 possible:1 even:1 likely:1 files:1 contain:1 multiple:1 fixed:1 revision:1 simply:1 introducing:1 marker:1 flag:1 prevents:1 extractor:1 fired:1 parsed:1 bit:1 ugly:1 works:1 fixing:1 sorry:1;2009-02-05T09:12:19.000+0000;2009-02-08T22:28:43.000+0000;;0.3;0.3;3;2009-02-05T09:16:41.460+0000;2009-02-09T12:58:06.185+0000;0;1;2009-02-05T09:16:41.436+0000;2009-02-05T09:16:41.436+0000;0;;;;
TIKA;ASF;Apache Tika Committee;library;TIKA-207;Minor;Closed;mikemccand;jukkaz;parser;ms:1 word:1 doc:1 containing:1 tracked:1 changes:1 produces:1 incorrect:1 text:1;text:8 new:4 ms:3 word:3 changes:3 old:3 discussion:2 docs:2 doc:2 field:2 index:2 least:2 option:2 apis:2 http:1 getting:1 tracked:1 html:1 extracting:1 format:1 pending:1 glommed:1 together:1 contained:1 changed:1 analyzed:1 track:1 enabled:1 extract:1 using:1 produces:1 first:1 nice:1 get:1 inserted:1 second:1 great:1 control:1 indexed:1 see:1 ie:1 current:1 document:1 seems:1 like:1 poi:1 may:1 expose:1 fine:1 grained:1 allow:1 leveraging:1;files:5 deleted:4 fix:3 text:3 also:2 ran:2 problem:2 loop:2 line:2 cr:2 test:2 poi:2 equivalent:2 bug:2 patch:2 using:2 revised:2 way:2 least:1 manifestation:1 addressed:1 trivial:1 apache:1 parsers:1 java:1 method:1 paragraph:1 starting:1 body:1 guarded:1 suppressed:1 adding:1 impact:1 unit:1 tests:1 sufficient:1 going:1 little:1 digging:1 find:1 handled:1 refined:1 suppress:1 doc:1 follow:1 cases:1 later:1 likely:1 file:1 new:1 accomplish:1 replaces:1 earlier:1 throw:1 rendering:1 picture:1 character:1 runs:1 null:1 thanks:1 curt:1 committed:1 revision:1 took:1 years:1 accomplished:1 still:1 getting:1 track:1 exclude:1 tracked:1;2009-03-12T10:38:13.000+0000;2011-09-02T10:59:55.000+0000;;0.3;0.10;7;2011-09-01T15:23:58.977+0000;2018-02-28T18:06:55.449+0000;0;2;2011-09-01T19:09:47.127+0000;2011-09-01T20:09:31.244+0000;2;2011-09-01T19:09:47.127+0000;2011-09-01T20:09:31.244+0000;Reference:TIKA-1321;Reference:TIKA-2187
TIKA;ASF;Apache Tika Committee;library;TIKA-208;Major;Closed;sidgate;jukkaz;parser;special:1 characters:1 html:1 file:1 parsed:1 correctly:1;words:1 containing:1 characters:1 parsed:1 correctly:1 present:1 html:1 document:1 please:1 refer:1 discussion:1 http:1 message:1;fixed:1 revision:1;2009-03-19T13:04:57.000+0000;2009-03-24T12:08:03.000+0000;;0.3;0.4;1;2009-03-24T12:08:03.326+0000;2009-03-24T12:08:03.326+0000;0;0;;;0;;;;
TIKA;ASF;Apache Tika Committee;library;TIKA-209;Major;Closed;rnewson;jukkaz;languageidentifier;language:1 detection:1 weak:1;language:4 metadata:4 match:3 confidence:2 threshold:2 set:2 apache:1 method:1 assigns:1 determination:1 checking:1 rating:1 icu:1 please:1 add:1 level:1 null:1 obviously:1 using:1 imply:1 generally:1 weak:1 sufficient:1 controlled:1 today:1 text:1 hello:1 tagged:1 french:1 example:1;language:7 code:5 detection:3 sure:3 stuff:3 project:2 apache:2 licensed:2 confidence:2 level:2 think:2 like:2 use:2 java:2 implementation:2 fixed:2 profile:2 pulled:1 based:1 might:1 worth:1 integrating:1 directly:1 method:1 character:1 encoding:1 easy:1 way:1 determine:1 robert:1 know:1 differs:1 yes:1 analyzes:1 frequencies:1 compares:1 profiles:1 packages:1 interesting:1 contribute:1 patch:1 thing:1 adapted:1 straightforward:1 days:1 swamped:1 looked:1 forever:1 memory:1 best:1 statistics:1 task:1 approach:1 seems:1 accurate:1 http:1 summary:1 doi:1 sadly:1 handy:1 give:1 ancient:1 c:1 fine:1 find:1 someone:1 port:1 gave:1 look:1 indeed:1 much:1 effort:1 guys:1 awesome:1 intention:1 beginning:1 jerome:1 originally:1 proposed:1 downstream:1 feature:1 time:1 come:1 thanks:1 set:1 component:1 fix:1 version:1 simplified:1 identifier:1 better:1 meet:1 needs:1 notably:1 length:1 three:1 characters:1 reduce:1 size:1 files:1 make:1 classes:1 simpler:1 automatically:1 attempts:1 detect:1 document:1 sets:1 metadata:1 property:1 reasonably:1 certain:1 match:1 found:1 assign:1 goes:1;2009-03-23T11:12:47.000+0000;2009-11-07T04:34:58.000+0000;;0.3;0.5;12;2009-03-24T12:14:19.581+0000;2009-11-14T16:26:29.533+0000;0;0;;;0;;;Reference:TIKA-369;
TIKA;ASF;Apache Tika Committee;library;TIKA-210;Major;Closed;d.de.wit;jukkaz;parser;html:1 content:1 directly:1 body:1 node:1 parsed:1 correctly:1;html:4 body:3 content:2 parser:1 correctly:1 parse:1 directly:1 node:1 passing:1 like:1 empty:1 string:1 returned:1 calling:1;caused:1 postponing:1 output:1 prefix:1 first:1 start:1 tag:1 inside:1 body:1 seen:1 fixed:1 revision:1;2009-03-23T11:56:33.000+0000;2009-03-24T11:58:49.000+0000;;0.3;0.4;1;2009-03-24T11:58:49.745+0000;2009-03-24T11:58:49.745+0000;0;0;;;0;;;;
