Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-1;Major;Closed;heinz_burgstaller;romain.manni-bucau;;beta:1 start:1;apache:67 java:32 info:23 start:22 core:15 c:15 startup:11 bin:9 windows:7 tomcat:6 server:5 service:5 extensions:5 failed:5 component:5 caused:5 sun:4 program:4 files:4 starting:4 adding:4 provider:4 reflect:4 bootstrap:4 found:3 http:3 build:3 singleton:3 warn:3 container:3 successfully:3 ms:3 method:3 invoke:3 following:2 native:2 library:2 production:2 path:2 eclipse:2 engine:2 context:2 property:2 coyote:2 initializing:2 existing:2 thread:2 installed:2 deploying:1 war:1 included:1 jars:1 web:1 fails:1 apr:1 based:1 allows:1 optimal:1 performance:1 environments:1 maven:1 ant:1 digester:1 begin:1 host:1 setting:1 source:1 find:1 matching:1 error:1 beta:1 created:1 new:1 succeeded:1 installing:1 logger:1 please:1 initialize:1 system:1 properly:1 see:1 logging:1 faq:1 html:1 injection:1 points:1 validated:1 started:1 took:1 load:1 initialization:1 processed:1 computed:1 main:1;apache:179 java:150 info:77 id:45 beta:44 container:41 core:38 server:34 enterprise:28 start:27 name:25 startup:24 application:22 default:20 deployment:19 type:17 assembler:17 sample:17 tomcat:16 inject:15 configuring:15 service:13 creating:12 reflect:12 bootstrap:12 manager:11 ear:11 qualifiers:10 error:10 null:10 managed:9 provider:9 stateless:9 sun:9 method:9 invoke:9 global:8 deployed:7 bean:7 loaded:7 assembling:7 comp:7 using:6 resource:6 classic:6 path:6 faces:6 file:6 extensions:6 listener:6 phase:6 injection:6 field:6 transaction:5 validate:5 remove:4 jar:4 test:4 caused:4 exception:4 types:4 object:4 deployments:4 found:4 bin:4 docs:4 host:4 root:4 tried:3 examples:3 solution:3 management:3 see:3 get:3 security:3 singleton:3 created:3 started:3 failed:3 point:3 owner:3 io:3 initialize:3 native:3 main:3 context:3 google:2 stack:2 simple:2 deploy:2 web:2 work:2 issue:2 example:2 worked:2 project:2 log:2 capable:2 version:2 use:2 optional:2 installed:2 database:2 urls:2 exclude:2 include:2 milliseconds:2 build:2 war:2 soon:2 snapshot:2 please:1 check:1 dependencies:1 works:1 perfectly:1 geronimo:1 jars:1 already:1 excepted:1 logging:1 http:1 code:1 extras:1 p:1 prefered:1 included:1 functionality:1 handles:1 removing:1 leave:1 plain:1 wrong:1 keep:1 place:1 also:1 getting:1 asking:1 want:1 configure:1 put:1 make:1 share:1 possible:1 able:1 reproduce:1 added:1 maven:1 packaging:1 ok:1 defined:1 must:1 named:1 strange:1 different:1 vendor:1 home:1 base:1 true:1 filter:1 false:1 inspecting:1 applications:1 consider:1 adjusting:1 current:1 settings:1 searched:1 average:1 url:1 beginning:1 load:1 format:1 importing:1 auto:1 beans:1 module:1 unable:1 collapsed:1 merging:1 ee:1 entries:1 oracle:1 approach:1 investigating:1 last:1 real:1 cast:1 look:1 deeper:1 made:1 got:1 oct:1 cest:1 patch:1 commited:1 bug:1 good:1 hear:1 new:1 release:1 time:1 know:1 next:1 released:1 https:1 repository:1 content:1 groups:1 snapshots:1 filed:1 fix:1 link:1;2011-10-06T09:21:29.000+0000;2011-10-09T10:46:21.000+0000;;1.0.0-beta-1;1.0.0;16;2011-10-06T09:49:07.813+0000;2011-10-10T18:01:27.179+0000;0;1;2011-10-06T12:29:54.609+0000;2011-10-06T12:29:54.609+0000;0;;;Blocker:TOMEE-30;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-10;Major;Closed;dblevins;romain.manni-bucau;;browser:1 war:1 show:1 views:1;user:1 pointed:1;revision:4 http:2 apache:2 view:2;2011-06-14T22:53:05.000+0000;2011-10-09T17:30:48.000+0000;;;1.5.0;2;2012-01-23T10:18:05.540+0000;2012-01-23T10:44:56.282+0000;0;0;;;0;;;;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-27;Major;Closed;jlaskowski;jlaskowski;;thrown:1 web:1 deployed:1;java:106 apache:89 invoke:30 core:28 tomcat:23 sun:10 startup:8 reflect:8 start:7 method:6 manager:6 service:6 run:6 module:5 type:5 file:5 users:5 oss:5 assembly:5 bundle:5 target:5 beta:5 snapshot:5 check:4 http:4 filters:4 valves:4 coyote:4 process:4 concurrent:4 worker:4 thread:4 web:3 oct:3 pm:3 caused:3 unknown:3 url:3 deploying:2 application:2 archive:2 war:2 severe:2 failed:2 component:2 native:2 modeler:2 interceptor:2 upload:2 authenticator:2 connector:2 net:2 unable:2 determine:2 jar:2 load:2 deployed:1 following:1 exception:1 thrown:1 info:1 error:1;revision:3 committed:1 http:1 apache:1 view:1;2011-10-08T11:01:51.000+0000;2011-10-08T18:44:23.000+0000;;1.0.0-beta-1;1.0.0;2;2011-10-08T18:44:23.178+0000;2012-01-23T10:46:29.314+0000;0;0;;;0;;;;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-29;Major;Closed;jgallimore;jgallimore;;applications:1 always:1 seem:1 refreshed:1;sample:2 deploying:1 application:1 noticed:1 applications:1 get:1 starts:1 seems:1 due:1 web:1 touched:1 takes:1 place:1 class:1 tomcat:1 picks:1 redeploys:1 generally:1 annoyance:1 strange:1 issue:1 redeploy:1 fails:1 mine:1 moment:1 output:1 follow:1;apache:219 pm:136 oct:135 info:124 java:94 startup:56 http:27 core:22 thread:20 container:20 adding:20 already:19 body:17 skipped:17 defined:17 stop:16 application:15 faces:15 sun:15 jar:14 starting:14 start:14 service:13 started:13 found:12 ms:12 web:12 warning:11 singleton:11 build:11 loader:11 beta:10 snapshot:10 coyote:10 initializing:10 existing:10 injection:10 points:10 validated:10 successfully:10 took:10 mappings:9 run:9 tomahawk:8 available:8 disabled:8 concurrent:8 abort:8 context:7 error:7 users:7 plus:7 reloading:6 warn:6 deploying:6 standard:6 shared:6 using:5 library:5 reading:5 severe:5 class:5 call:5 directory:5 system:4 worker:4 manager:4 destroy:4 failed:4 revision:4 component:3 tomcat:3 html:3 appears:3 named:3 likely:3 create:3 memory:3 leak:3 stopping:3 note:2 restart:2 invalid:2 transition:2 attempted:2 state:2 destroyed:2 bin:2 extensions:2 logger:2 please:2 initialize:2 properly:2 see:2 logging:2 faq:2 load:2 initialization:2 digester:2 file:2 occured:2 configure:2 sync:2 jakarta:2 docs:2 host:2 called:2 pause:2 pausing:2 illegal:2 access:2 caused:2 destroying:2 view:2 full:1 log:1 lines:1 indicating:1 taking:1 place:1 temp:1 frameworks:1 framework:1 versions:1 home:1 bootstrap:1 listening:1 transport:1 address:1 apr:1 based:1 native:1 allows:1 optimal:1 performance:1 production:1 environments:1 path:1 created:1 new:1 succeeded:1 installing:1 processed:1 engine:1 archive:1 war:1 added:1 commons:1 sax:1 functions:1 parameters:1 root:1 server:1 method:1 second:1 ignored:1 check:1 instance:1 stopped:1 eventual:1 following:1 stack:1 trace:1 thrown:1 debugging:1 purposes:1 well:1 attempt:1 terminate:1 functional:1 impact:1 driver:1 de:1 registration:1 movies:1 committed:1 fix:1;2011-10-09T20:17:54.000+0000;2011-10-09T20:28:47.000+0000;;1.0.0-beta-1;1.0.0;3;2011-10-09T20:24:21.634+0000;2012-01-23T10:46:31.276+0000;0;0;;;0;;;;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-30;Major;Closed;romain.manni-bucau;romain.manni-bucau;;cast:1 object:1;directly:1 cast:1 argument:1 particular:1 web:1 environment:1;already:1 trunk:1;2011-10-10T19:57:04.000+0000;2011-10-10T19:57:16.000+0000;;1.0.0-beta-1;1.0.0;1;2011-10-10T19:57:16.278+0000;2011-10-10T19:57:16.278+0000;0;0;;;0;;;;Blocker:TOMEE-1
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-33;Major;Closed;jharting;;;seam:1 international:1 fails:1 deploy:1;see:1 attached:1 application:1 stack:1 trace:1;java:13 apache:12 exception:9 must:6 seam:6 pm:6 enterprise:5 inject:5 event:5 class:5 injection:4 method:4 like:4 beans:4 el:4 spec:4 princess:3 rescue:3 qualifiers:3 bean:3 null:3 solder:3 container:3 fixed:3 seems:3 fix:3 example:2 caused:2 type:2 found:2 default:2 point:2 name:2 extension:2 thanks:2 file:2 get:2 try:2 add:2 tried:2 faces:2 home:2 line:2 column:2 action:2 target:2 unreachable:2 identifier:2 resolved:2 invoke:2 code:2 https:2 tree:2 develop:2 examples:2 adds:2 also:2 interceptors:2 throw:2 declare:2 return:2 original:2 annotation:2 still:2 work:2 sample:2 currently:2 voting:2 includes:2 exceptions:1 simple:1 fact:1 owner:1 types:1 bootstrap:1 object:1 notify:1 missed:1 log:1 anyway:1 looks:1 bug:1 definitely:1 valid:1 content:1 made:1 difference:1 start:1 tomcat:1 subsequently:1 crashes:1 following:1 component:1 view:1 application:1 source:1 international:1 came:1 bit:1 plenty:1 issues:1 around:1 far:1 none:1 new:1 manually:1 non:1 points:1 catch:1 broken:1 annotated:1 control:1 according:1 throws:1 note:1 make:1 check:1 optional:1 totally:1 harmless:1 updated:1 interceptor:1 signatures:1 public:1 void:1 observes:1 manager:1 vetoing:1 timing:1 issue:1 somewhere:1 added:1 marker:1 configured:1 therefore:1 quoted:1 correct:1 david:1 create:1 today:1 used:1 course:1 fishy:1 fear:1 debug:1 think:1 says:1 agree:1 ambiguous:1 way:1 e:1 g:1 snapshot:1 build:1 verify:1 modules:1 error:1 commit:1 modification:1 revision:1 need:1 validate:1;2011-10-12T12:45:53.000+0000;2011-10-17T17:06:20.000+0000;;1.0.0-beta-1;1.0.0-beta-2;16;2011-10-12T13:21:31.850+0000;2011-10-17T14:16:33.883+0000;0;5;2011-10-12T12:46:51.653+0000;2011-10-14T11:27:15.145+0000;0;;;Blocker:OWB-622;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-34;Major;Closed;jharting;romain.manni-bucau;;seam:1 fails:1 deploy:1;see:1 attached:1 application:1 stack:1 trace:1 details:1;java:14 apache:14 enterprise:10 inject:10 qualifiers:6 type:4 default:4 injection:4 method:4 name:4 extension:4 container:3 event:3 caused:2 found:2 point:2 bean:2 owner:2 null:2 types:2 solder:2 bootstrap:2 object:2 snapshot:2 take:2 exception:1 initialize:1 notify:1 build:1 verify:1 yes:1 https:1 repository:1 content:1 groups:1 snapshots:1 beta:1 think:1 exact:1 trunk:1 close:1 care:1 last:1 one:1;2011-10-12T12:57:22.000+0000;2011-10-17T17:07:05.000+0000;;1.0.0-beta-1;1.0.0-beta-2;3;2011-10-12T13:28:12.879+0000;2011-10-19T11:13:53.385+0000;0;2;2011-10-12T12:58:00.037+0000;2011-10-12T12:58:33.226+0000;0;;;Blocker:OWB-622;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-35;Major;Closed;jharting;romain.manni-bucau;;unable:1 lookup:1;see:1 attached:1 application:1 stack:1 trace:1 details:1;java:8 wicket:8 seam:5 log:4 file:4 apache:4 exception:3 application:3 container:3 issue:2 files:2 bean:2 manager:2 available:2 weld:2 protocol:2 http:2 need:2 get:2 info:2 logging:2 properties:2 persistence:1 resolve:1 another:1 able:1 reproduce:1 problem:1 time:1 provided:1 services:1 el:1 non:1 existing:1 thanks:1 must:1 missed:1 worries:1 even:1 service:1 provider:1 getting:1 detail:1 bit:1 looking:1 bm:1 always:1 remember:1 components:1 last:1 version:1 compiling:1 got:1 instance:1 detach:1 steps:1 request:1 work:1 looked:1 dependency:1 delivered:1 think:1 open:1 https:1 issues:1 browse:1 message:1 see:1 tweak:1 levels:1 simply:1 console:1 logger:1 end:1 used:1 level:1 instead:1 fatal:1;2011-10-12T13:14:17.000+0000;2011-10-24T08:09:12.000+0000;;1.0.0-beta-1;1.0.0-beta-2;12;2011-10-12T13:28:53.891+0000;2011-10-24T11:34:54.720+0000;0;5;2011-10-12T13:14:51.772+0000;2011-10-21T14:02:02.399+0000;0;;;;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-36;Major;Closed;jlaskowski;;;missing:1 required:1 persistence:1;java:55 apache:42 invoke:14 core:13 run:6 coyote:5 process:5 error:5 valves:4 service:4 concurrent:4 worker:4 thread:4 web:4 validation:4 tomcat:3 build:3 name:3 log:2 connector:2 net:2 info:2 users:2 deploy:2 module:2 failed:2 reload:2 manager:2 http:2 given:1 executing:1 reports:1 oct:1 pm:1 severe:1 processing:1 request:1 reported:1 faces:1 file:1 null:1 configuring:1 enterprise:1 application:1 fail:1 missing:1 required:1 persistence:1 ref:1 emf:1 unit:1 invalid:1 path:1 set:1 output:1 level:1 system:1 property:1 verbose:1 increased:1 details:1 unable:1 collapsed:1 ear:1 war:1 exception:1 start:1 filters:1 authenticator:1;revision:2 still:1 issue:1 beta:1 snapshot:1 http:1 apache:1 view:1;2011-10-14T18:26:21.000+0000;2012-01-23T11:09:13.000+0000;;1.0.0-beta-1;1.0.0-beta-2;2;2011-10-24T08:27:09.832+0000;2012-01-23T10:46:28.063+0000;0;0;;;0;;;;
TOMEE;ASF;Apache TomEE Committee;network-server;TOMEE-38;Major;Closed;wfro;romain.manni-bucau;;java:1 comp:1;java:34 apache:22 lookup:11 naming:9 core:8 invoke:8 context:5 service:3 run:3 tomcat:2 follows:2 name:2 bound:2 http:2 valves:2 coyote:2 process:2 concurrent:2 worker:2 thread:2 previous:1 versions:1 able:1 new:1 tm:1 comp:1 sample:1 stack:1 trace:1 looks:1 class:1 method:1 line:1 generic:1 description:1 explanation:1 kernel:1 base:1 rest:1 filter:1 compression:1 authenticator:1 connector:1 net:1 seem:1 work:1 another:1 way:1;java:67 apache:54 lookup:31 naming:31 comp:19 core:9 invoke:9 binding:8 service:6 context:5 ok:4 get:4 jasper:4 valves:4 beta:4 try:3 system:3 e:3 failed:3 name:3 http:3 process:3 run:3 common:3 jar:3 tomcat:2 weird:2 put:2 output:2 string:2 exception:2 bound:2 coyote:2 concurrent:2 worker:2 thread:2 work:2 think:2 list:2 bindings:2 https:2 repository:2 content:2 groups:2 snapshots:2 snapshot:2 revision:2 correction:1 able:1 hi:1 indeed:1 share:1 simple:1 even:1 trivial:1 example:1 please:1 code:1 war:1 watch:1 console:1 null:1 new:1 object:1 catch:1 g:1 index:1 following:1 authenticator:1 connector:1 net:1 instance:1 bit:1 different:1 least:1 module:1 seems:1 resource:1 found:1 federate:1 factory:1 last:1 version:1 available:1 ends:1 extension:1 find:1 simply:1 override:1 works:1 perfect:1 view:1;2011-10-19T09:41:50.000+0000;2011-10-19T22:18:36.000+0000;;1.0.0-beta-2;1.0.0-beta-2;8;2011-10-19T09:43:17.319+0000;2012-01-23T10:46:26.778+0000;0;0;;;0;;;;
