Project;Owner;Manager;Category;Key;Priority;Status;Reporter;Assignee;Components;SummaryTopWords;DescriptionTopWords;CommentsTopWords;CreationDate;ResolutionDate;LastUpdateDate;AffectsVersions;FixVersions;NoComments;FirstCommentDate;LastCommentDate;NoWatchers;NoAttachments;FirstAttachmentDate;LastAttachmentDate;NoAttachedPatches;FirstAttachedPatchDate;LastAttachedPatchDate;InwardIssueLinks;OutwardIssueLinks
VCL;ASF;Apache VCL Committee;cloud;VCL-14;Trivial;Resolved;arkurth;fapeeler;vcld (backend);pm:1 output:1 always:1 displays:1 attempt:1;attempt:4 pm:2 image:2 monitoring:1 loop:1 subroutine:1 correctly:1 displaying:1 number:1 always:1 displays:1 copy:1 complete:1 sleeping:1 second:1;image:5 reset:4 limit:3 notify:2 process:2 size:2 large:2 increases:2 rev:2 log:2 issue:1 need:1 probably:1 remove:1 statement:1 reduce:1 much:1 lower:1 background:1 checks:1 captured:1 confirms:1 state:1 node:1 boot:1 get:1 good:1 chance:1 creation:1 reported:1 failed:1 fix:1 date:1 wed:1 dec:1 new:1 revision:1 url:1 http:1 apache:1 view:1 routine:1 captures:1 gets:1 hit:1 reduced:1 write:1 string:1;2009-01-06T18:29:25.000+0000;2009-01-06T19:44:25.000+0000;;2.0;2.1;2;2009-01-06T19:32:57.116+0000;2009-01-06T19:44:25.891+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-22;Minor;Resolved;arkurth;arkurth;vcld (backend);may:1 produce:1 unexpected:1 results:1 invalid:1 identity:1 key:1 path:1 specified:1;key:6 output:6 invalid:5 command:5 subroutine:4 identity:4 warning:4 first:3 array:3 successful:3 may:2 paths:2 tries:2 file:2 element:2 exit:2 status:2 ran:2 callers:2 see:2 pm:1 produce:1 unexpected:1 results:1 specified:1 reproduce:1 call:1 multiple:1 one:1 node:1 good:1 use:1 following:1 accessible:1 directory:1 next:1 succeeds:1 returns:1 case:1 meaning:1 2nd:1 reference:1 containing:1 lines:1 generated:1 contains:1 message:1 followed:1 expected:1 successfully:1 checked:1 failing:1 messages:1 mixed:1 fix:1 include:1 intended:1;;2009-01-06T18:55:32.000+0000;2015-01-28T21:13:50.000+0000;;2.0;2.4;0;;;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-24;Trivial;Resolved;arkurth;;vcld (backend);occasionally:1 produces:1 warning:1 messages:1 request:1 deleted:1;deleted:9 request:4 reservation:3 state:3 process:3 warning:2 log:2 web:2 interface:2 main:2 line:2 still:2 reserved:2 occasionally:1 produces:1 useless:1 messages:1 output:1 message:1 look:1 like:1 following:1 file:1 already:1 processed:1 pm:1 notify:1 happening:1 user:1 manually:1 deletes:1 immediately:1 changed:1 may:1 active:1 terminate:1 shortly:1 realized:1 picks:1 checks:1 complains:1 alive:1;;2009-01-06T19:02:17.000+0000;2012-03-08T20:03:09.000+0000;;2.0;;0;;;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-26;Minor;Resolved;arkurth;arkurth;vcld (backend);subroutine:1 redefined:1 warning:1;pm:3 warning:2 name:2 subroutine:2 redefined:2 redefine:2 following:1 appears:1 starts:1 subroutines:1 exist:1 local:1 bin:1 line:1 w:1 suppress:1 say:1 warnings:1 sub:1;pm:8 subroutine:3 return:3 incubator:3 trunk:3 new:2 rev:2 error:2 values:2 updated:2 reserved:2 old:2 author:1 date:1 fri:1 jan:1 revision:1 url:1 http:1 apache:1 view:1 log:1 fixed:1 redefined:1 messages:1 changed:1 undefined:1 occurred:1 remote:1 ip:1 set:1 makes:1 consistent:1 rest:1 code:1 use:1 instead:1 one:1 also:1 recognize:1 removed:1 modified:1;2009-01-06T19:29:25.000+0000;2009-01-16T19:11:11.000+0000;;2.0;2.1;1;2009-01-16T19:11:11.191+0000;2009-01-16T19:11:11.191+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-27;Minor;Resolved;arkurth;;vcld (backend);statement:1 error:1 pm:1;image:3 circumstances:2 statement:2 pm:2 error:2 log:2 start:2 interval:2 day:2 group:2 query:2 run:2 computers:2 fails:1 clause:1 contains:1 empty:1 set:1 appears:1 file:1 warning:1 execute:1 select:1 count:1 order:1 limit:1 syntax:1 check:1 manual:1 corresponds:1 server:1 version:1 right:1 tax:1 use:1 near:1 line:1 earlier:1 subroutine:1 populates:1 array:1 ids:1 values:1 inserted:1 parenthesis:1 previous:1 produces:1 results:1 occurred:1 testing:1 handful:1 addition:1 configured:1 able:1 single:1;image:3 issue:2 core:1 appears:1 resolved:1 previously:1 ids:1 returned:1 returns:1 id:1 current:1 reservation:1 opening:1 found:1 routine:1;2009-01-06T19:39:28.000+0000;2014-07-15T18:33:32.000+0000;;2.0;2.4;2;2014-07-14T19:41:57.127+0000;2014-07-15T18:30:35.229+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-34;Major;Resolved;fapeeler;jfthomps;web gui (frontend);adding:1 computers:1 missing:1 requirement:1 provisioning:1 module:1;adding:1 computers:1 missing:1 requirement:1 provisioning:1 module:1;actually:1 fixed:1 transfer:1 code:1 revision:1 old:1;2009-01-08T15:23:28.000+0000;2009-02-20T18:51:17.000+0000;;2.0;2.1;1;2009-02-20T18:51:17.947+0000;2009-02-20T18:51:17.947+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-36;Major;Resolved;fapeeler;fapeeler;vcld (backend);pm:1 return:1 true:1 loaded:1;need:1 add:1 right:1 pm:1 module:1;fixed:1 added:1;2009-01-08T18:26:16.000+0000;2009-01-08T18:33:30.000+0000;;2.0;;1;2009-01-08T18:33:30.487+0000;2009-01-08T18:33:30.487+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-38;Major;Resolved;arkurth;arkurth;vcld (backend);vista:1 administrator:1 account:1 disabled:1 imaging:1 reservations:1;administrator:1 account:1 disabled:1 vista:1 image:1 enabled:1 imaging:1 reservation:1 made:1 user:1;fixed:1 commit:1;2009-01-09T16:21:21.000+0000;2009-01-09T20:28:53.000+0000;;2.0;;1;2009-01-09T20:28:53.731+0000;2009-01-09T20:28:53.731+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-39;Minor;Resolved;arkurth;arkurth;vcld (backend);vista:1 setting:1 administrator:1 password:1 imaging:1 reservations:1;password:1 getting:1 set:1 administrator:1 account:1 imaging:1 reservation:1 made:1 vista:1 image:1;fixed:1 revision:1;2009-01-09T16:27:44.000+0000;2009-01-09T21:51:13.000+0000;;2.0;;1;2009-01-09T21:51:13.388+0000;2009-01-09T21:51:13.388+0000;0;0;;;0;;;;
VCL;ASF;Apache VCL Committee;cloud;VCL-40;Major;Resolved;arkurth;arkurth;vcld (backend);reclaim:1 pm:1 retrieving:1 next:1 image:1 information:1 vista:1 images:1;reclaim:1 pm:1 retrieving:1 next:1 image:1 information:1 vista:1 images:1 also:1 failing:1 immediately:1 bug:1 encountered:1;fixed:1 revision:1;2009-01-09T16:31:54.000+0000;2009-01-09T21:55:55.000+0000;;2.0;;1;2009-01-09T21:55:55.128+0000;2009-01-09T21:55:55.128+0000;0;0;;;0;;;;
